GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Agawam, MA",8610000US01001,9641,01001,142.0,325.31953761636646
"Holtsville, NY",8610000US00501,0,00501,,
"Amherst, MA",8610000US01002,18764,01002,143.0,131.62177790480422
"Belchertown, MA",8610000US01007,1864,01007,146.0,13.671106275307682
"Amherst, MA",8610000US01004,165,01004,,
"Amherst, MA",8610000US01003,267,01003,144.0,144.92077121732362
"Barre, MA",8610000US01005,926,01005,145.0,8.081205326959502
"Bondsville, MA",8610000US01009,142,01009,148.0,68.7650665713641
"Brimfield, MA",8610000US01010,271,01010,149.0,3.0116915309956123
"Blandford, MA",8610000US01008,220,01008,147.0,1.5789700028427203
"Chester, MA",8610000US01011,32,01011,150.0,0.39079261816680333
"Chicopee, MA",8610000US01013,4331,01013,152.0,297.3152998206154
"Chesterfield, MA",8610000US01012,45,01012,151.0,1.3243958782916683
"Chicopee, MA",8610000US01020,8768,01020,153.0,271.4685557179303
"Chicopee, MA",8610000US01014,0,01014,,
"Easthampton, MA",8610000US01027,3892,01027,156.0,37.10268383197739
"Cummington, MA",8610000US01026,70,01026,155.0,1.1259407335359115
"Chicopee, MA",8610000US01022,1931,01022,154.0,156.5832512845746
"Chicopee, MA",8610000US01021,196,01021,,
"East Longmeadow, MA",8610000US01028,7114,01028,157.0,211.1852608005869
"Goshen, MA",8610000US01032,100,01032,161.0,3.280680812131223
"Gilbertville, MA",8610000US01031,59,01031,160.0,2.815183534936261
"Feeding Hills, MA",8610000US01030,1206,01030,159.0,39.236564469839834
"East Otis, MA",8610000US01029,264,01029,158.0,6.431598247292029
"Hadley, MA",8610000US01035,5061,01035,164.0,84.64261374785703
"Granville, MA",8610000US01034,131,01034,163.0,0.7064474868219637
"Granby, MA",8610000US01033,731,01033,162.0,10.143150237677183
"Hampden, MA",8610000US01036,849,01036,165.0,16.79927175453751
"Holyoke, MA",8610000US01040,16968,01040,169.0,307.85563094946247
"Hardwick, MA",8610000US01037,267,01037,166.0,7.305821524854651
"Hatfield, MA",8610000US01038,1358,01038,167.0,52.4448288510512
"Haydenville, MA",8610000US01039,222,01039,168.0,6.4899520924599505
"Leverett, MA",8610000US01054,122,01054,172.0,2.0653084036163145
"Ludlow, MA",8610000US01056,4179,01056,173.0,59.30925369118144
"Huntington, MA",8610000US01050,236,01050,170.0,2.3773339740718487
"Holyoke, MA",8610000US01041,942,01041,,
"Leeds, MA",8610000US01053,1645,01053,171.0,123.77821682467264
"Monson, MA",8610000US01057,753,01057,174.0,6.474059471122991
"North Amherst, MA",8610000US01059,107,01059,,
"Northampton, MA",8610000US01060,11883,01060,175.0,420.1351921012745
"Northampton, MA",8610000US01061,111,01061,,
"Florence, MA",8610000US01062,1797,01062,176.0,38.21858679405969
"Northampton, MA",8610000US01063,0,01063,177.0,0.0
"Palmer, MA",8610000US01069,3349,01069,180.0,46.07303584588119
"North Hatfield, MA",8610000US01066,0,01066,178.0,0.0
"Oakham, MA",8610000US01068,62,01068,179.0,1.1497640776835503
"Southampton, MA",8610000US01073,1017,01073,184.0,13.947977308766717
"Russell, MA",8610000US01071,80,01071,182.0,1.9826865367876458
"Shutesbury, MA",8610000US01072,55,01072,183.0,1.0572450726949216
"Plainfield, MA",8610000US01070,20,01070,181.0,0.3759344014018143
"South Barre, MA",8610000US01074,69,01074,185.0,312.56936548418804
"South Hadley, MA",8610000US01075,4791,01075,186.0,104.40415561226925
"Southwick, MA",8610000US01077,1937,01077,187.0,24.265293088223558
"Ware, MA",8610000US01082,2291,01082,191.0,19.185744765530476
"Wales, MA",8610000US01081,49,01081,190.0,1.3049993646783706
"Three Rivers, MA",8610000US01080,351,01080,189.0,78.46280851699257
"Thorndike, MA",8610000US01079,72,01079,188.0,24.64151726035611
"Warren, MA",8610000US01083,245,01083,192.0,5.9944462067572575
"Westfield, MA",8610000US01085,13404,01085,194.0,86.42466183820342
"West Chesterfield, MA",8610000US01084,22,01084,193.0,0.9235528692667675
"Westfield, MA",8610000US01086,774,01086,195.0,8049.754555287462
"West Hatfield, MA",8610000US01088,324,01088,196.0,24.055405836227532
"West Springfield, MA",8610000US01089,15984,01089,197.0,369.25484884357326
"West Warren, MA",8610000US01092,87,01092,198.0,5.011535460156018
"West Springfield, MA",8610000US01090,92,01090,,
"Wheelwright, MA",8610000US01094,0,01094,200.0,0.0
"Wilbraham, MA",8610000US01095,4113,01095,201.0,70.22357766608175
"Whately, MA",8610000US01093,820,01093,199.0,62.76885354373045
"Springfield, MA",8610000US01101,783,01101,,
"Springfield, MA",8610000US01103,6547,01103,205.0,5493.159351124223
"Springfield, MA",8610000US01102,3024,01102,,
"Williamsburg, MA",8610000US01096,400,01096,202.0,4.874531568179336
"Worthington, MA",8610000US01098,104,01098,204.0,1.2807772781145421
"Springfield, MA",8610000US01104,13689,01104,206.0,1013.27397043585
"Springfield, MA",8610000US01105,6093,01105,207.0,1892.800925990645
"Longmeadow, MA",8610000US01106,3817,01106,208.0,158.4437461813376
"Springfield, MA",8610000US01108,2452,01108,210.0,254.27114865539613
"Springfield, MA",8610000US01107,2398,01107,209.0,614.2787795884229
"Springfield, MA",8610000US01109,7545,01109,211.0,535.2976854636206
"Longmeadow, MA",8610000US01116,36,01116,,
"Springfield, MA",8610000US01118,1501,01118,212.0,161.18633139909736
"Springfield, MA",8610000US01115,834,01115,,
"Springfield, MA",8610000US01111,0,01111,,
"Springfield, MA",8610000US01128,863,01128,214.0,298.32100238622235
"Springfield, MA",8610000US01119,3895,01119,213.0,423.6320328899427
"Springfield, MA",8610000US01144,1204,01144,,
"Springfield, MA",8610000US01138,19,01138,,
"Indian Orchard, MA",8610000US01151,1739,01151,216.0,283.4886217383118
"Springfield, MA",8610000US01139,0,01139,,
"Springfield, MA",8610000US01129,2657,01129,215.0,299.61720716167446
"Springfield, MA",8610000US01152,0,01152,,
"Springfield, MA",8610000US01199,0,01199,217.0,0.0
"Pittsfield, MA",8610000US01201,23192,01201,218.0,169.212926487147
"Pittsfield, MA",8610000US01202,378,01202,,
"Adams, MA",8610000US01220,1593,01220,219.0,25.00638816676991
"Pittsfield, MA",8610000US01203,0,01203,,
"Dalton, MA",8610000US01226,1257,01226,224.0,18.398806738582728
"Ashley Falls, MA",8610000US01222,45,01222,220.0,5.253641736891318
"Berkshire, MA",8610000US01224,23,01224,222.0,31.922010364937975
"Cheshire, MA",8610000US01225,366,01225,223.0,5.628565950276326
"Becket, MA",8610000US01223,234,01223,221.0,1.2952947769579612
"Dalton, MA",8610000US01227,52,01227,,
"Glendale, MA",8610000US01229,12,01229,225.0,6.324747313168282
"Great Barrington, MA",8610000US01230,5045,01230,226.0,21.283288291581336
"Lanesboro, MA",8610000US01237,1849,01237,229.0,11.547473847704033
"Housatonic, MA",8610000US01236,403,01236,228.0,32.40077002882141
"Hinsdale, MA",8610000US01235,189,01235,227.0,1.5987974606832864
"Lenox, MA",8610000US01240,3569,01240,231.0,64.45235534351471
"Lee, MA",8610000US01238,3209,01238,230.0,35.56950659563288
"North Adams, MA",8610000US01247,3982,01247,236.0,29.27059787114692
"Mill River, MA",8610000US01244,0,01244,234.0,0.0
"Monterey, MA",8610000US01245,144,01245,235.0,1.9870961289214721
"Middlefield, MA",8610000US01243,28,01243,233.0,0.5796296568093536
"Lenox Dale, MA",8610000US01242,130,01242,232.0,100.89861862029677
"North Egremont, MA",8610000US01252,5,01252,,
"Otis, MA",8610000US01253,160,01253,237.0,3.381914893054868
"South Egremont, MA",8610000US01258,456,01258,242.0,6.822280797088358
"Richmond, MA",8610000US01254,84,01254,238.0,2.22732651214589
"Savoy, MA",8610000US01256,14,01256,240.0,0.1507998429053408
"Sandisfield, MA",8610000US01255,133,01255,239.0,0.9912259510883803
"Sheffield, MA",8610000US01257,1031,01257,241.0,10.98600877970707
"Tyringham, MA",8610000US01264,0,01264,246.0,0.0
"West Stockbridge, MA",8610000US01266,134,01266,247.0,1.9859574725584768
"Williamstown, MA",8610000US01267,3539,01267,248.0,25.047174715141114
"Stockbridge, MA",8610000US01262,1425,01262,245.0,45.720930031095044
"Southfield, MA",8610000US01259,70,01259,243.0,1.0671826708316672
"South Lee, MA",8610000US01260,499,01260,244.0,76.72633484602608
"Windsor, MA",8610000US01270,22,01270,249.0,0.2666275612910107
"Greenfield, MA",8610000US01301,7943,01301,250.0,120.31131229878187
"Greenfield, MA",8610000US01302,372,01302,,
"Bernardston, MA",8610000US01337,396,01337,253.0,4.107635654874959
"Athol, MA",8610000US01331,2952,01331,252.0,21.41467178939663
"Ashfield, MA",8610000US01330,156,01330,251.0,1.8073581861612762
"Colrain, MA",8610000US01340,106,01340,256.0,0.9263259501746924
"Conway, MA",8610000US01341,106,01341,257.0,1.1468621834431814
"Deerfield, MA",8610000US01342,879,01342,258.0,19.029864026750403
"Charlemont, MA",8610000US01339,336,01339,255.0,2.3596732184070413
"Buckland, MA",8610000US01338,143,01338,254.0,15.983700649206504
"New Salem, MA",8610000US01355,56,01355,267.0,0.4563467648681443
"Gill, MA",8610000US01354,283,01354,266.0,7.938793974326333
"Northfield, MA",8610000US01360,727,01360,268.0,8.18724654024642
"Lake Pleasant, MA",8610000US01347,0,01347,262.0,0.0
"Millers Falls, MA",8610000US01349,22,01349,263.0,1.10529097262139
"Drury, MA",8610000US01343,0,01343,259.0,0.0
"Erving, MA",8610000US01344,255,01344,260.0,7.221324213584341
"Monroe Bridge, MA",8610000US01350,0,01350,264.0,0.0
"Heath, MA",8610000US01346,10,01346,261.0,0.1838950050732954
"Montague, MA",8610000US01351,114,01351,265.0,2.1033954670204014
"Petersham, MA",8610000US01366,56,01366,270.0,0.5351183710025929
"Rowe, MA",8610000US01367,62,01367,271.0,0.9021141408646866
"Orange, MA",8610000US01364,1316,01364,269.0,12.951592939149766
"South Deerfield, MA",8610000US01373,2939,01373,274.0,46.966315595455136
"Royalston, MA",8610000US01368,40,01368,272.0,0.3691083717589759
"Shelburne Falls, MA",8610000US01370,587,01370,273.0,4.549290865142519
"Turners Falls, MA",8610000US01376,1633,01376,276.0,228.39652770143582
"Sunderland, MA",8610000US01375,566,01375,275.0,15.356946583194699
"Warwick, MA",8610000US01378,12,01378,277.0,0.1361859632038238
"Wendell Depot, MA",8610000US01380,0,01380,,
"Wendell, MA",8610000US01379,23,01379,278.0,0.2939615391969339
"Fitchburg, MA",8610000US01420,10041,01420,279.0,127.87738442417543
"Ashburnham, MA",8610000US01430,538,01430,280.0,5.617350060632403
"Ashby, MA",8610000US01431,174,01431,281.0,2.8343775924272205
"Ayer, MA",8610000US01432,4076,01432,282.0,186.3799938726891
"Gardner, MA",8610000US01440,6714,01440,286.0,107.8228167597962
"Baldwinville, MA",8610000US01436,479,01436,284.0,19.27571442678975
"East Templeton, MA",8610000US01438,194,01438,285.0,138.23699378717345
"Devens, MA",8610000US01434,2773,01434,283.0,202.73119050437225
"Westminster, MA",8610000US01441,0,01441,,
"Groton, MA",8610000US01450,2118,01450,287.0,24.965489159979892
"Harvard, MA",8610000US01451,666,01451,288.0,13.440714009476189
"Hubbardston, MA",8610000US01452,277,01452,289.0,2.604036131913213
"Leominster, MA",8610000US01453,17424,01453,290.0,236.30383693472913
"Shirley, MA",8610000US01464,1332,01464,294.0,34.25454221144547
"Townsend, MA",8610000US01469,1336,01469,297.0,22.544156299040605
"Groton, MA",8610000US01471,0,01471,,
"Westminster, MA",8610000US01473,1367,01473,298.0,14.895924128640198
"Still River, MA",8610000US01467,31,01467,295.0,6.315208345853404
"West Groton, MA",8610000US01472,325,01472,,
"Templeton, MA",8610000US01468,264,01468,296.0,4.76312862134219
"Pepperell, MA",8610000US01463,1327,01463,293.0,22.670817390939487
"Lunenburg, MA",8610000US01462,1807,01462,292.0,26.40827921621221
"Littleton, MA",8610000US01460,7847,01460,291.0,183.36755984139677
"Charlton, MA",8610000US01507,2242,01507,306.0,20.52092317720566
"Boylston, MA",8610000US01505,1309,01505,304.0,31.467306814414766
"Brookfield, MA",8610000US01506,159,01506,305.0,3.949037350119441
"Blackstone, MA",8610000US01504,774,01504,303.0,26.98262789390863
"Berlin, MA",8610000US01503,347,01503,302.0,10.327933619781202
"Winchendon Springs, MA",8610000US01477,0,01477,,
"Auburn, MA",8610000US01501,10763,01501,301.0,268.8503755112603
"West Townsend, MA",8610000US01474,110,01474,299.0,4.281705219464834
"Winchendon, MA",8610000US01475,1218,01475,300.0,10.974328351958352
"Holden, MA",8610000US01520,2904,01520,312.0,62.01150723452637
"Jefferson, MA",8610000US01522,96,01522,314.0,2.2631333340327044
"Fiskdale, MA",8610000US01518,497,01518,310.0,21.630842813800964
"Holland, MA",8610000US01521,61,01521,313.0,1.9157272223016777
"Lancaster, MA",8610000US01523,1841,01523,315.0,28.219863856401513
"Grafton, MA",8610000US01519,1267,01519,311.0,44.831800955012895
"Clinton, MA",8610000US01510,3385,01510,307.0,231.12232454572344
"Douglas, MA",8610000US01516,714,01516,309.0,7.50066103514795
"East Brookfield, MA",8610000US01515,432,01515,308.0,16.927789576290373
"Charlton City, MA",8610000US01508,342,01508,,
"Charlton Depot, MA",8610000US01509,11,01509,,
"Millville, MA",8610000US01529,100,01529,319.0,7.870112915658046
"North Brookfield, MA",8610000US01535,717,01535,323.0,13.016467610626224
"New Braintree, MA",8610000US01531,29,01531,320.0,0.5386033454362458
"Northborough, MA",8610000US01532,8523,01532,321.0,178.11092580441752
"Northbridge, MA",8610000US01534,787,01534,322.0,34.69657514383207
"Leicester, MA",8610000US01524,1329,01524,316.0,32.12072015573015
"Millbury, MA",8610000US01527,4319,01527,318.0,107.10951495311076
"Linwood, MA",8610000US01525,171,01525,317.0,147.1057587173066
"Manchaug, MA",8610000US01526,56,01526,,
"Rutland, MA",8610000US01543,1009,01543,329.0,11.097813654818113
"Rochdale, MA",8610000US01542,599,01542,328.0,57.4490621512535
"Princeton, MA",8610000US01541,957,01541,327.0,10.435082306193753
"Shrewsbury, MA",8610000US01545,11210,01545,330.0,208.69688899215134
"Oxford, MA",8610000US01540,4185,01540,326.0,83.48564226492059
"North Oxford, MA",8610000US01537,793,01537,325.0,43.84620696858328
"North Uxbridge, MA",8610000US01538,107,01538,,
"North Grafton, MA",8610000US01536,1774,01536,324.0,82.13660363569758
"Sturbridge, MA",8610000US01566,3580,01566,336.0,48.75355277897566
"Sterling, MA",8610000US01564,2204,01564,335.0,27.774997967598548
"South Lancaster, MA",8610000US01561,575,01561,333.0,1800.9552893273824
"Southbridge, MA",8610000US01550,5034,01550,331.0,95.8383737800526
"South Grafton, MA",8610000US01560,355,01560,332.0,38.424762258960385
"Spencer, MA",8610000US01562,2876,01562,334.0,33.821586029878645
"Westborough, MA",8610000US01581,23864,01581,341.0,447.6180190186639
"Dudley, MA",8610000US01571,2409,01571,340.0,44.680731137011094
"Webster, MA",8610000US01570,6300,01570,339.0,196.48742241904648
"Upton, MA",8610000US01568,706,01568,337.0,12.71386554186774
"Uxbridge, MA",8610000US01569,3476,01569,338.0,46.15227206599743
"Sutton, MA",8610000US01590,1703,01590,345.0,20.541971264013714
"Worcester, MA",8610000US01602,2630,01602,346.0,176.0741477023763
"Worcester, MA",8610000US01601,123,01601,,
"West Boylston, MA",8610000US01583,2509,01583,342.0,76.79294305602797
