GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Tabor City, NC",8600000US28463,0,28463,20413.0,0.0
"Ocean Isle Beach, NC",8600000US28469,1055,28469,20419.0,12.20138483983138
"Plumtree, NC",8600000US28664,72,28664,,
"Albertson, NC",8600000US28508,58,28508,20428.0,0.7629195024691495
"Beaufort, NC",8600000US28516,2437,28516,20434.0,10.399938445337655
"Davis, NC",8600000US28524,44,28524,20440.0,3.730475201496531
"Hobucken, NC",8600000US28537,29,28537,20449.0,0.5617936280553074
"Magnolia, NC",8600000US28453,199,28453,20404.0,0.8737191458432063
"Whiteville, NC",8600000US28472,7973,28472,20422.0,15.631350971533065
"Winnabow, NC",8600000US28479,297,28479,20424.0,1.4705511365713961
"Gloucester, NC",8600000US28528,12,28528,20444.0,3.3584677326816412
"Harrells, NC",8600000US28444,423,28444,20396.0,1.2923714876562438
"Kinston, NC",8600000US28503,718,28503,,
"Atlantic Beach, NC",8600000US28512,1277,28512,20431.0,75.28267997851526
"Grantsboro, NC",8600000US28529,495,28529,20445.0,3.652022839588527
"Hookerton, NC",8600000US28538,221,28538,20450.0,2.5946846206632137
"Mccutcheon Field, NC",8600000US28545,89,28545,,
"Kure Beach, NC",8600000US28449,389,28449,20400.0,34.585936984600636
"Shallotte, NC",8600000US28459,2115,28459,,
"Cedar Island, NC",8600000US28520,20,28520,20437.0,0.283458864272455
"Deep Run, NC",8600000US28525,111,28525,20441.0,0.8823943884613785
"Leland, NC",8600000US28451,2889,28451,20402.0,7.856045250342046
"Alliance, NC",8600000US28509,242,28509,,
"Ayden, NC",8600000US28513,1822,28513,20432.0,7.152095003876557
"Chinquapin, NC",8600000US28521,95,28521,20438.0,0.8336491693651306
"Camp Lejeune, NC",8600000US28542,616,28542,,
"Jacksonville, NC",8600000US28546,11420,28546,20455.0,74.14019912953823
"Hallsboro, NC",8600000US28442,43,28442,20394.0,0.3541783082193732
"Rose Hill, NC",8600000US28458,1461,28458,20409.0,4.753151069130402
"Sunset Beach, NC",8600000US28468,869,28468,20418.0,15.589485259953321
"Shallotte, NC",8600000US28470,1489,28470,20420.0,12.428526581897271
"Jacksonville, NC",8600000US28540,10627,28540,20452.0,42.456879878695815
"La Grange, NC",8600000US28551,1710,28551,20457.0,5.050224258752227
"Maple Hill, NC",8600000US28454,59,28454,20405.0,0.21749768668170205
"Rocky Point, NC",8600000US28457,829,28457,20408.0,1.8764960132450106
"Calabash, NC",8600000US28467,998,28467,20417.0,23.052878359754903
"Harkers Island, NC",8600000US28531,188,28531,20447.0,3.7706259255081562
"Teachey, NC",8600000US28464,118,28464,20414.0,2.0091272608279147
"Hampstead, NC",8600000US28443,1311,28443,20395.0,3.7155915602959313
"Sneads Ferry, NC",8600000US28460,675,28460,20410.0,9.681965506126037
"Southport, NC",8600000US28461,4822,28461,20411.0,25.056546368812263
"Bayboro, NC",8600000US28515,228,28515,20433.0,1.0877244159739257
"Grifton, NC",8600000US28530,536,28530,20446.0,2.7962614047621197
"Columbia, SC",8600000US29204,0,29204,25137.0,0.0
"Saint Matthews, SC",8600000US29135,1565,29135,25109.0,3.052876118687927
