GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Holtsville, NY",8600000US00501,34,00501,,
"Agawam, MA",8600000US01001,8650,01001,12228.0,272.2442687624377
"Amherst, MA",8600000US01002,6827,01002,12229.0,45.90542626883183
"Amherst, MA",8600000US01003,283,01003,,
"Amherst, MA",8600000US01004,178,01004,,
"Barre, MA",8600000US01005,935,01005,12230.0,8.533895546980446
"Belchertown, MA",8600000US01007,1626,01007,12231.0,11.69944564486481
"Blandford, MA",8600000US01008,315,01008,12232.0,2.3347187727472947
"Bondsville, MA",8600000US01009,170,01009,,
"Brimfield, MA",8600000US01010,431,01010,12233.0,4.771689968622319
"Chester, MA",8600000US01011,52,01011,12234.0,0.3545493819856541
"Chesterfield, MA",8600000US01012,83,01012,12235.0,1.9472886328457197
"Chicopee, MA",8600000US01013,5426,01013,12236.0,361.9368866383788
"Chicopee, MA",8600000US01014,104,01014,,
"Chicopee, MA",8600000US01020,8066,01020,12237.0,256.63749644999643
"Chicopee, MA",8600000US01021,316,01021,,
"Chicopee, MA",8600000US01022,2150,01022,12238.0,167.79419160504588
"Cummington, MA",8600000US01026,168,01026,12239.0,2.6503856839669697
"Easthampton, MA",8600000US01027,4467,01027,12240.0,40.50342887775154
"East Longmeadow, MA",8600000US01028,8263,01028,12241.0,245.87588799343078
"East Otis, MA",8600000US01029,96,01029,12242.0,3.009773392593681
"Feeding Hills, MA",8600000US01030,1096,01030,12243.0,38.559553013158165
"Gilbertville, MA",8600000US01031,139,01031,12244.0,4.99130005627601
"Goshen, MA",8600000US01032,65,01032,12245.0,3.778234601863007
"Granby, MA",8600000US01033,692,01033,12246.0,9.43579187026626
"Granville, MA",8600000US01034,103,01034,12247.0,0.5499361807071069
"Hadley, MA",8600000US01035,5196,01035,12248.0,88.83190608190311
"Hampden, MA",8600000US01036,1191,01036,12249.0,23.42167138226917
"Hardwick, MA",8600000US01037,181,01037,12250.0,3.5765731769539615
"Hatfield, MA",8600000US01038,1374,01038,12251.0,53.55532731094453
"Haydenville, MA",8600000US01039,210,01039,12252.0,9.673392192393267
"Holyoke, MA",8600000US01040,18648,01040,12253.0,325.7510331738682
"Holyoke, MA",8600000US01041,1467,01041,,
"Huntington, MA",8600000US01050,181,01050,12254.0,1.7487100727101088
"Leeds, MA",8600000US01053,998,01053,12255.0,85.0194313699382
"Leverett, MA",8600000US01054,103,01054,12256.0,1.8222256472987788
"Ludlow, MA",8600000US01056,4231,01056,12257.0,61.1739160263298
"Monson, MA",8600000US01057,960,01057,12258.0,8.31868789335858
"North Amherst, MA",8600000US01059,224,01059,,
"Northampton, MA",8600000US01060,11293,01060,12259.0,378.0550129130577
"Northampton, MA",8600000US01061,262,01061,,
"Florence, MA",8600000US01062,1297,01062,12260.0,27.4637288734948
"Northampton, MA",8600000US01063,0,01063,,
"North Hatfield, MA",8600000US01066,637,01066,,
"Oakham, MA",8600000US01068,91,01068,12261.0,1.6790475512355363
"Palmer, MA",8600000US01069,3496,01069,12262.0,45.96178277762041
"Plainfield, MA",8600000US01070,31,01070,12263.0,0.6222829320558574
