GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Agawam, MA",8610000US01001,9418,01001,142.0,317.7947299794213
"Holtsville, NY",8610000US00501,0,00501,,
"Greenfield, MA",8610000US01301,7854,01301,250.0,118.96320071657834
"Amherst, MA",8610000US01002,17263,01002,143.0,121.0928816703761
"Barre, MA",8610000US01005,844,01005,145.0,7.365588846843846
"Amherst, MA",8610000US01004,179,01004,,
"Amherst, MA",8610000US01003,184,01003,144.0,99.87054822960457
"Belchertown, MA",8610000US01007,1819,01007,146.0,13.34105877693515
"Bondsville, MA",8610000US01009,0,01009,148.0,0.0
"Brimfield, MA",8610000US01010,305,01010,149.0,3.3895361019768053
"Blandford, MA",8610000US01008,250,01008,147.0,1.7942824457797988
"Chester, MA",8610000US01011,34,01011,150.0,0.4152177906461641
"Chicopee, MA",8610000US01013,4278,01013,152.0,293.677006367258
"Chesterfield, MA",8610000US01012,0,01012,151.0,0.0
"Chicopee, MA",8610000US01014,0,01014,,
"Chicopee, MA",8610000US01020,7987,01020,153.0,247.28779134570132
"Chicopee, MA",8610000US01022,2523,01022,154.0,204.58805954996464
"Chicopee, MA",8610000US01021,224,01021,,
"Cummington, MA",8610000US01026,119,01026,155.0,1.914099154646955
"Easthampton, MA",8610000US01027,4080,01027,156.0,38.894895353856036
"East Longmeadow, MA",8610000US01028,7582,01028,157.0,225.07842715598832
"Feeding Hills, MA",8610000US01030,1074,01030,159.0,34.94200716714574
"East Otis, MA",8610000US01029,0,01029,158.0,0.0
"Goshen, MA",8610000US01032,90,01032,161.0,2.9526126340523042
"Gilbertville, MA",8610000US01031,73,01031,160.0,3.4831931872940176
"Granby, MA",8610000US01033,686,01033,162.0,9.51874924411973
"Hadley, MA",8610000US01035,5012,01035,164.0,83.82308458983502
"Granville, MA",8610000US01034,0,01034,163.0,0.0
"Hampden, MA",8610000US01036,630,01036,165.0,12.465890701246915
"Hardwick, MA",8610000US01037,0,01037,166.0,0.0
"Haydenville, MA",8610000US01039,258,01039,168.0,7.5423767561021045
"Hatfield, MA",8610000US01038,1441,01038,167.0,55.65016168862904
"Holyoke, MA",8610000US01040,17313,01040,169.0,314.1150604210198
"Huntington, MA",8610000US01050,151,01050,170.0,1.5210898094739316
"Holyoke, MA",8610000US01041,951,01041,,
"Leeds, MA",8610000US01053,1351,01053,171.0,101.65614489198565
"Ludlow, MA",8610000US01056,4197,01056,173.0,59.56471435143031
"Leverett, MA",8610000US01054,0,01054,172.0,0.0
"Monson, MA",8610000US01057,739,01057,174.0,6.3536921593160365
"Northampton, MA",8610000US01060,11406,01060,175.0,403.2707428101416
"North Amherst, MA",8610000US01059,108,01059,,
"Northampton, MA",8610000US01061,181,01061,,
"Florence, MA",8610000US01062,1662,01062,176.0,35.34740673388941
"Oakham, MA",8610000US01068,74,01068,179.0,1.3723002056540214
"Northampton, MA",8610000US01063,0,01063,177.0,0.0
"Palmer, MA",8610000US01069,2779,01069,180.0,38.231404497298094
"North Hatfield, MA",8610000US01066,0,01066,178.0,0.0
"Russell, MA",8610000US01071,81,01071,182.0,2.0074710140392855
"Shutesbury, MA",8610000US01072,58,01072,183.0,1.1149130071825772
"Plainfield, MA",8610000US01070,27,01070,181.0,0.5075114228133489
"Southampton, MA",8610000US01073,941,01073,184.0,12.90567218144371
"South Barre, MA",8610000US01074,0,01074,185.0,0.0
"South Hadley, MA",8610000US01075,4581,01075,186.0,99.82788896157639
"Southwick, MA",8610000US01077,2012,01077,187.0,25.204836271914083
"Three Rivers, MA",8610000US01080,313,01080,189.0,69.96825944677684
"Wales, MA",8610000US01081,40,01081,190.0,1.065305178240737
"Thorndike, MA",8610000US01079,58,01079,188.0,19.850111126397977
"Ware, MA",8610000US01082,2291,01082,191.0,19.185744926199533
"West Chesterfield, MA",8610000US01084,0,01084,193.0,0.0
"Westfield, MA",8610000US01085,13704,01085,194.0,88.35893928626713
"Warren, MA",8610000US01083,247,01083,192.0,6.0433763213126666
"Westfield, MA",8610000US01086,824,01086,195.0,8569.764539479158
"West Hatfield, MA",8610000US01088,316,01088,196.0,23.461443456399245
"West Springfield, MA",8610000US01089,16152,01089,197.0,373.1360868337019
"West Springfield, MA",8610000US01090,81,01090,,
"West Warren, MA",8610000US01092,0,01092,198.0,0.0
"Whately, MA",8610000US01093,0,01093,199.0,0.0
"Wheelwright, MA",8610000US01094,0,01094,200.0,0.0
"Wilbraham, MA",8610000US01095,3879,01095,201.0,66.22838353538141
"Williamsburg, MA",8610000US01096,371,01096,202.0,4.521128029486334
"Springfield, MA",8610000US01102,0,01102,,
"Worthington, MA",8610000US01098,176,01098,204.0,2.1674692398861484
"Springfield, MA",8610000US01101,966,01101,,
"Springfield, MA",8610000US01104,13971,01104,206.0,1034.1570886912396
"Springfield, MA",8610000US01103,6176,01103,205.0,5181.247173846111
"Springfield, MA",8610000US01105,5612,01105,207.0,1743.3779905673682
