GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  ,POP
00784,143875303.0,16278591,55.551,6.285,18.010714,-66.133615,44637.0
00786,666250.0,0,0.257,0.0,18.155424,-66.229907,357.0
00791,95737500.0,2852902,36.964,1.102,18.136782,-65.821476,53417.0
00794,91419778.0,77812,35.297,0.03,18.198955,-66.309833,30585.0
00795,119806335.0,958175,46.257,0.37,18.060494,-66.500624,48736.0
00801,2875853.0,1354,1.11,0.001,18.349871,-64.974016,
00802,71671243.0,8928497,27.672,3.447,18.340709,-64.923329,
00820,78982024.0,3075492,30.495,1.187,17.7431,-64.686556,
00823,1035362.0,0,0.4,0.0,17.723548,-64.745932,
00824,57053.0,0,0.022,0.0,17.744557,-64.682933,
00830,50003826.0,374670,19.307,0.145,18.338559,-64.73653,
00831,119891.0,0,0.046,0.0,18.327294,-64.78672,
00840,48724800.0,22578,18.813,0.009,17.747872,-64.880695,
00841,6600893.0,632642,2.549,0.244,17.768135,-64.807852,
00850,60060282.0,3028705,23.189,1.169,17.705253,-64.752556,
00851,19685283.0,71124,7.601,0.027,17.732228,-64.77076,
00901,2535590.0,30548,0.979,0.012,18.465369,-66.104613,7080.0
00906,8247.0,0,0.003,0.0,18.46446,-66.094995,4.0
00907,3130114.0,347421,1.209,0.134,18.452553,-66.077838,17458.0
00909,1578433.0,49304,0.609,0.019,18.44161,-66.067132,6230.0
00911,1232508.0,0,0.476,0.0,18.451159,-66.056199,8623.0
00912,865015.0,0,0.334,0.0,18.445328,-66.060135,6801.0
00913,834840.0,0,0.322,0.0,18.450002,-66.042656,9312.0
00915,3609908.0,820882,1.394,0.317,18.437179,-66.045571,32820.0
00917,3360011.0,46991,1.297,0.018,18.420674,-66.050105,21053.0
00918,5517327.0,101168,2.13,0.039,18.421022,-66.065789,18056.0
00920,7334195.0,135878,2.832,0.052,18.414292,-66.088042,17893.0
00921,6941063.0,0,2.68,0.0,18.392282,-66.088555,37763.0
00923,5283985.0,7301,2.04,0.003,18.409307,-66.038888,29086.0
00924,12148554.0,1369,4.691,0.001,18.399192,-66.012453,56691.0
00925,1158082.0,0,0.447,0.0,18.400296,-66.050602,8696.0
00926,62578667.0,1048115,24.162,0.405,18.3454,-66.051545,108862.0
00927,6803688.0,5830,2.627,0.002,18.388011,-66.072089,14936.0
00934,1940428.0,26786,0.749,0.01,18.411313,-66.124234,288.0
00936,417955.0,0,0.161,0.0,18.395463,-66.073772,681.0
00949,45529589.0,2117553,17.579,0.818,18.430696,-66.212833,82278.0
00950,6204979.0,1989343,2.396,0.768,18.459699,-66.233101,9.0
00951,1075640.0,29541,0.415,0.011,18.42753,-66.253789,35.0
00952,3204976.0,0,1.237,0.0,18.427448,-66.182026,10008.0
00953,69143798.0,1364964,26.697,0.527,18.360729,-66.251527,73014.0
00956,68564513.0,215367,26.473,0.083,18.321137,-66.170419,79304.0
00957,11967745.0,1407,4.621,0.001,18.368414,-66.187693,45680.0
