GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Becket, MA",8600000US01223,227,01223,12296.0,1.490559844559429
"Berkshire, MA",8600000US01224,0,01224,,
"Cheshire, MA",8600000US01225,254,01225,12297.0,4.674910152920176
"Dalton, MA",8600000US01226,2436,01226,12298.0,16.266348013627834
"Dalton, MA",8600000US01227,71,01227,,
"Glendale, MA",8600000US01229,17,01229,,
"Great Barrington, MA",8600000US01230,4124,01230,12299.0,14.936612785709396
"Hinsdale, MA",8600000US01235,348,01235,12300.0,3.259794828700826
"Housatonic, MA",8600000US01236,1471,01236,12301.0,52.597315134114034
"Lanesboro, MA",8600000US01237,2567,01237,12302.0,24.16580115693467
"Lee, MA",8600000US01238,2783,01238,12303.0,19.22739783285878
"Lenox, MA",8600000US01240,3235,01240,12304.0,47.15169990331934
"Lenox Dale, MA",8600000US01242,80,01242,12305.0,354.74201387041273
"Middlefield, MA",8600000US01243,60,01243,,
"Mill River, MA",8600000US01244,17,01244,12306.0,4.095473682486117
"Monterey, MA",8600000US01245,146,01245,12307.0,1.9830110822611673
"North Adams, MA",8600000US01247,5130,01247,12308.0,34.413560692436526
"North Egremont, MA",8600000US01252,44,01252,,
"Otis, MA",8600000US01253,106,01253,12309.0,2.374842336233673
"Richmond, MA",8600000US01254,78,01254,12310.0,2.3551312709408534
"Sandisfield, MA",8600000US01255,92,01255,12311.0,0.7621660507315617
"Savoy, MA",8600000US01256,16,01256,12312.0,0.167584497281858
"Sheffield, MA",8600000US01257,930,01257,12313.0,9.63023102240787
"South Egremont, MA",8600000US01258,173,01258,12314.0,3.0056584734906915
"Southfield, MA",8600000US01259,67,01259,12315.0,1.517834120485129
"South Lee, MA",8600000US01260,849,01260,,
"Stockbridge, MA",8600000US01262,816,01262,12316.0,63.14672187258508
"Tyringham, MA",8600000US01264,3,01264,12317.0,0.09788846105830609
"West Stockbridge, MA",8600000US01266,194,01266,12318.0,2.8780976972933745
"Williamstown, MA",8600000US01267,4784,01267,12319.0,31.122601608008022
"Windsor, MA",8600000US01270,79,01270,,
"Framingham, MA",8600000US01705,50,01705,,
"Greenfield, MA",8600000US01302,626,01302,,
"Ashfield, MA",8600000US01330,154,01330,12321.0,1.6482057455660295
"Athol, MA",8600000US01331,3684,01331,12322.0,25.3191532879271
"Bernardston, MA",8600000US01337,389,01337,12323.0,4.183148297844159
"Buckland, MA",8600000US01338,106,01338,12324.0,60.84666411034141
"Charlemont, MA",8600000US01339,172,01339,12325.0,0.9771880283899257
"Colrain, MA",8600000US01340,124,01340,12326.0,1.0323859815438028
"Conway, MA",8600000US01341,82,01341,12327.0,0.9013329802452982
"Deerfield, MA",8600000US01342,888,01342,12328.0,21.782766358342403
"Drury, MA",8600000US01343,0,01343,,
"Erving, MA",8600000US01344,343,01344,12329.0,10.109693415736471
"Heath, MA",8600000US01346,19,01346,12330.0,0.833122239158964
"Lake Pleasant, MA",8600000US01347,0,01347,,
"Turners Falls, MA",8600000US01349,279,01349,12331.0,11.97084674046715
"Monroe Bridge, MA",8600000US01350,0,01350,12332.0,0.0
"Montague, MA",8600000US01351,97,01351,12333.0,1.8698067082496257
"New Salem, MA",8600000US01355,62,01355,12334.0,0.5151201172459914
"Northfield, MA",8600000US01360,932,01360,12335.0,10.521725873727728
"Orange, MA",8600000US01364,1582,01364,12336.0,16.928362348621302
"Petersham, MA",8600000US01366,85,01366,12337.0,0.6231973786705272
"Rowe, MA",8600000US01367,54,01367,12338.0,0.8696600257387158
"Royalston, MA",8600000US01368,53,01368,12339.0,0.4592501573126753
"Shelburne Falls, MA",8600000US01370,921,01370,12340.0,7.011889149112962
"South Deerfield, MA",8600000US01373,2322,01373,12341.0,24.758696804135262
"Sunderland, MA",8600000US01375,440,01375,12342.0,12.088587919681773
"Turners Falls, MA",8600000US01376,1984,01376,12343.0,46.18756027924757
"Warwick, MA",8600000US01378,13,01378,12344.0,0.13581679851744055
"Wendell, MA",8600000US01379,132,01379,12345.0,1.950421237794057
"Wendell Depot, MA",8600000US01380,0,01380,12346.0,0.0
"Fitchburg, MA",8600000US01420,13360,01420,12347.0,190.43724234044234
"Ashburnham, MA",8600000US01430,632,01430,12348.0,6.59169022326764
"Ashby, MA",8600000US01431,154,01431,12349.0,2.498810103948391
"Ayer, MA",8600000US01432,4764,01432,12350.0,157.8669536814249
"Ft Devens, MA",8600000US01433,0,01433,,
"Baldwinville, MA",8600000US01436,465,01436,12351.0,17.953672112819795
"East Templeton, MA",8600000US01438,223,01438,12352.0,913.6797941557271
"Gardner, MA",8600000US01440,7159,01440,12353.0,109.99452101603656
"Gardner, MA",8600000US01441,0,01441,,
"Groton, MA",8600000US01450,1471,01450,12354.0,17.45163119067995
"Harvard, MA",8600000US01451,746,01451,12355.0,12.4804234269727
"Hubbardston, MA",8600000US01452,290,01452,12356.0,2.624663245523716
"Leominster, MA",8600000US01453,19143,01453,12357.0,239.12705172646784
"Littleton, MA",8600000US01460,6127,01460,12358.0,142.35623240325248
"Lunenburg, MA",8600000US01462,1771,01462,12359.0,25.877748460540634
"Pepperell, MA",8600000US01463,1495,01463,12360.0,25.58058692509299
"Shirley, MA",8600000US01464,849,01464,12361.0,19.343164901300987
"Still River, MA",8600000US01467,14,01467,12362.0,2.970182549541054
"Templeton, MA",8600000US01468,232,01468,12363.0,4.215876576869586
"Townsend, MA",8600000US01469,1422,01469,12364.0,27.489586579235862
"Groton, MA",8600000US01471,0,01471,,
"West Groton, MA",8600000US01472,269,01472,,
"Westminster, MA",8600000US01473,1869,01473,12365.0,20.208388819002295
"West Townsend, MA",8600000US01474,255,01474,12366.0,7.63253629899572
"Winchendon, MA",8600000US01475,1289,01475,12367.0,12.227204800273494
"Winchendon Springs, MA",8600000US01477,0,01477,,
"Auburn, MA",8600000US01501,9958,01501,12368.0,250.48237603185004
"Berlin, MA",8600000US01503,367,01503,12369.0,10.961258462382737
"Blackstone, MA",8600000US01504,725,01504,12370.0,25.672033644315498
"Boylston, MA",8600000US01505,1077,01505,12371.0,27.54571584959773
"Brookfield, MA",8600000US01506,390,01506,12372.0,9.51097377373369
"Charlton, MA",8600000US01507,1673,01507,12373.0,14.877253234699902
"Charlton City, MA",8600000US01508,240,01508,,
"Charlton Depot, MA",8600000US01509,10,01509,,
"Clinton, MA",8600000US01510,4438,01510,12374.0,301.942740961091
"East Brookfield, MA",8600000US01515,275,01515,12375.0,10.791438190664307
"Douglas, MA",8600000US01516,591,01516,12376.0,6.229743976918029
"Fiskdale, MA",8600000US01518,241,01518,12377.0,10.728438731711574
"Grafton, MA",8600000US01519,1082,01519,12378.0,39.58870482295799
"Holden, MA",8600000US01520,3212,01520,12379.0,68.82766536151956
"Holland, MA",8600000US01521,70,01521,12380.0,2.23388908025872
"Jefferson, MA",8600000US01522,109,01522,12381.0,2.5710628806971627
"Lancaster, MA",8600000US01523,1104,01523,12382.0,17.634862973999837
"Leicester, MA",8600000US01524,1143,01524,12383.0,28.419827033899235
"Linwood, MA",8600000US01525,255,01525,,
"Manchaug, MA",8600000US01526,41,01526,,
"Millbury, MA",8600000US01527,3432,01527,12384.0,84.2229918558919
"Millville, MA",8600000US01529,74,01529,12385.0,5.790607259418266
"New Braintree, MA",8600000US01531,23,01531,12386.0,0.44288106146035716
"Northborough, MA",8600000US01532,5598,01532,12387.0,122.97206207870454
"Northbridge, MA",8600000US01534,893,01534,12388.0,38.779974195032175
"North Brookfield, MA",8600000US01535,957,01535,12389.0,17.80774093008212
"North Grafton, MA",8600000US01536,1882,01536,12390.0,83.44624662817527
"North Oxford, MA",8600000US01537,804,01537,12391.0,52.64527099120503
"North Uxbridge, MA",8600000US01538,275,01538,,
"Oxford, MA",8600000US01540,2146,01540,12392.0,40.89871359252166
"Princeton, MA",8600000US01541,919,01541,12393.0,10.101620877067132
"Rochdale, MA",8600000US01542,419,01542,12394.0,38.6259095410698
"Rutland, MA",8600000US01543,613,01543,12395.0,6.460750566156205
"Shrewsbury, MA",8600000US01545,9885,01545,12396.0,183.86545906834024
"Shrewsbury, MA",8600000US01546,0,01546,,
"Southbridge, MA",8600000US01550,6355,01550,12397.0,121.65615006200922
"South Grafton, MA",8600000US01560,377,01560,12398.0,41.47047939874185
"South Lancaster, MA",8600000US01561,874,01561,,
"Spencer, MA",8600000US01562,3034,01562,12399.0,35.779561344228924
"Sterling, MA",8600000US01564,1718,01564,12400.0,21.649805127180443
"Sturbridge, MA",8600000US01566,3791,01566,12401.0,52.18019408031596
"Upton, MA",8600000US01568,570,01568,12402.0,10.241155495560351
"Uxbridge, MA",8600000US01569,1745,01569,12403.0,23.250505705161125
"Webster, MA",8600000US01570,6400,01570,12404.0,201.36229141226323
"Dudley, MA",8600000US01571,1944,01571,12405.0,35.286137265578844
"Westborough, MA",8600000US01580,0,01580,,
"Westborough, MA",8600000US01581,20181,01581,12406.0,362.7433904616876
"Westborough, MA",8600000US01582,0,01582,,
"West Boylston, MA",8600000US01583,2534,01583,12407.0,73.80947845360346
"West Brookfield, MA",8600000US01585,839,01585,12408.0,10.938638151284104
"West Millbury, MA",8600000US01586,0,01586,,
"Whitinsville, MA",8600000US01588,2724,01588,12409.0,117.57990005276851
"Sutton, MA",8600000US01590,991,01590,12410.0,11.815213025071763
"Worcester, MA",8600000US01601,202,01601,,
"Worcester, MA",8600000US01602,3235,01602,12411.0,183.2606182391844
"Worcester, MA",8600000US01603,7591,01603,12412.0,895.8387693198057
"Worcester, MA",8600000US01604,14230,01604,12413.0,773.3275365469268
"Worcester, MA",8600000US01605,19216,01605,12414.0,1376.9955184585906
"Worcester, MA",8600000US01606,9046,01606,12415.0,568.2026962304594
"Worcester, MA",8600000US01607,2300,01607,12416.0,410.128241751697
"Worcester, MA",8600000US01608,13798,01608,12417.0,11995.88255545857
"Worcester, MA",8600000US01609,10724,01609,12418.0,954.9373573916283
"Worcester, MA",8600000US01610,10344,01610,12419.0,1666.4733402930829
