GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Fort Worth, TX",8610000US76113,108,76113,,
"Almont, MI",8610000US48003,769,48003,15736.0,9.000675378376279
"Allenton, MI",8610000US48002,0,48002,15735.0,0.0
"Anchorville, MI",8610000US48004,222,48004,,
"Armada, MI",8610000US48005,1049,48005,15737.0,11.10386801601633
"Avoca, MI",8610000US48006,161,48006,15738.0,0.8700694065173894
"Birmingham, MI",8610000US48009,12285,48009,15739.0,938.8962355725429
"Troy, MI",8610000US48007,0,48007,,
"Birmingham, MI",8610000US48012,133,48012,,
"Capac, MI",8610000US48014,686,48014,15740.0,7.23880087596244
"Center Line, MI",8610000US48015,3498,48015,15741.0,790.6834076963016
"Clawson, MI",8610000US48017,2951,48017,15742.0,518.9462875644748
"Eastpointe, MI",8610000US48021,3738,48021,15743.0,282.0453250911913
"Fair Haven, MI",8610000US48023,789,48023,15745.0,17.885755045675776
"Emmett, MI",8610000US48022,118,48022,15744.0,1.2893726605398446
"Franklin, MI",8610000US48025,8715,48025,15746.0,419.0843562229531
"Fraser, MI",8610000US48026,6877,48026,15747.0,641.1802564963439
"Goodells, MI",8610000US48027,94,48027,15748.0,0.9711176089439767
"Hazel Park, MI",8610000US48030,2229,48030,15750.0,305.45184261871304
"Harsens Island, MI",8610000US48028,48,48028,15749.0,1.0447056992221775
"Jeddo, MI",8610000US48032,0,48032,15751.0,0.0
"Southfield, MI",8610000US48033,14354,48033,15752.0,618.2892581480845
"Southfield, MI",8610000US48034,31839,48034,15753.0,2845.6849382836103
"Clinton Township, MI",8610000US48035,9783,48035,15754.0,429.59225358616
"Clinton Township, MI",8610000US48036,7786,48036,15755.0,361.27819725056435
"Southfield, MI",8610000US48037,0,48037,,
"Clinton Township, MI",8610000US48038,15397,48038,15756.0,542.2421496300254
"Marine City, MI",8610000US48039,1397,48039,15757.0,23.442472164917003
"Marysville, MI",8610000US48040,4002,48040,15758.0,223.63026462914647
"Memphis, MI",8610000US48041,317,48041,15759.0,3.0598911037845755
"Macomb, MI",8610000US48042,5779,48042,15760.0,98.1918061308048
"Mount Clemens, MI",8610000US48043,7773,48043,15761.0,732.2344133594676
"Macomb, MI",8610000US48044,4984,48044,15762.0,142.5207517249043
"Harrison Township, MI",8610000US48045,2762,48045,15763.0,72.94929675240401
"New Baltimore, MI",8610000US48047,5150,48047,15764.0,110.28745536516776
"Mount Clemens, MI",8610000US48046,0,48046,,
"New Haven, MI",8610000US48048,899,48048,15765.0,18.247967756916772
"North Street, MI",8610000US48049,0,48049,15766.0,0.0
"New Baltimore, MI",8610000US48051,8695,48051,15768.0,222.90625145004427
"New Haven, MI",8610000US48050,344,48050,15767.0,7.148914422797689
"East China, MI",8610000US48054,0,48054,15769.0,0.0
"Fort Gratiot, MI",8610000US48059,5632,48059,15770.0,68.85624555672739
"Port Huron, MI",8610000US48060,17367,48060,15771.0,321.64982226286827
"Port Huron, MI",8610000US48061,0,48061,,
"Richmond, MI",8610000US48062,1818,48062,15772.0,17.77795666561456
"Columbus, MI",8610000US48063,250,48063,15773.0,2.6261148592889842
"Casco, MI",8610000US48064,425,48064,15774.0,4.43287049193629
"Romeo, MI",8610000US48065,5007,48065,15775.0,51.70886810496014
"Roseville, MI",8610000US48066,16547,48066,15776.0,648.4847435018866
"Royal Oak, MI",8610000US48067,8794,48067,15777.0,739.681427267211
"Pleasant Ridge, MI",8610000US48069,508,48069,15778.0,363.7686431429611
"Royal Oak, MI",8610000US48068,193,48068,,
"Huntington Woods, MI",8610000US48070,588,48070,15779.0,152.81519107746405
"Madison Heights, MI",8610000US48071,21618,48071,15780.0,1176.5158553443878
"Berkley, MI",8610000US48072,2808,48072,15781.0,451.4327201265041
"Royal Oak, MI",8610000US48073,0,48073,15782.0,0.0
"Smiths Creek, MI",8610000US48074,1160,48074,15783.0,12.080164555168455
"Southfield, MI",8610000US48075,34023,48075,15784.0,1776.1313381859936
"Southfield, MI",8610000US48076,17069,48076,15785.0,925.7455929189275
"Saint Clair, MI",8610000US48079,4120,48079,15786.0,38.1476405725972
"Saint Clair Shores, MI",8610000US48080,7146,48080,15787.0,630.9581106857339
"Saint Clair Shores, MI",8610000US48081,3351,48081,15788.0,329.23824233349444
"Saint Clair Shores, MI",8610000US48082,2124,48082,15789.0,248.6356062576572
"Troy, MI",8610000US48083,32866,48083,15790.0,1468.5510853006285
"Troy, MI",8610000US48084,44815,48084,15791.0,2799.5274130361463
"Troy, MI",8610000US48085,3620,48085,15792.0,150.20220245389737
"Southfield, MI",8610000US48086,0,48086,,
"Warren, MI",8610000US48088,2297,48088,15793.0,199.9021810833532
"Warren, MI",8610000US48089,15890,48089,15794.0,770.4659689933268
"Warren, MI",8610000US48090,0,48090,,
"Warren, MI",8610000US48091,13868,48091,15795.0,670.0077513732067
"Warren, MI",8610000US48092,12674,48092,15796.0,597.4130985249402
"Warren, MI",8610000US48093,11406,48093,15797.0,778.7086871692485
"Washington, MI",8610000US48094,2502,48094,15798.0,55.128176314978866
"Washington, MI",8610000US48095,1447,48095,15799.0,33.0313389336557
"Ray, MI",8610000US48096,376,48096,15800.0,3.9687043595700193
"Yale, MI",8610000US48097,718,48097,15801.0,3.6356090794627685
"Troy, MI",8610000US48098,21738,48098,15802.0,893.6820526912275
"Troy, MI",8610000US48099,156,48099,,
"Allen Park, MI",8610000US48101,8443,48101,15803.0,464.3371931671872
"Ann Arbor, MI",8610000US48103,23544,48103,15804.0,139.67300132334
"Ann Arbor, MI",8610000US48105,11892,48105,15806.0,92.03558474002331
"Ann Arbor, MI",8610000US48104,20938,48104,15805.0,1039.5997228263686
"Ann Arbor, MI",8610000US48106,2571,48106,,
"Ann Arbor, MI",8610000US48108,23251,48108,15807.0,528.8977650924609
"Ann Arbor, MI",8610000US48107,206,48107,,
"Azalia, MI",8610000US48110,0,48110,,
"Belleville, MI",8610000US48111,11313,48111,15809.0,64.7519163087234
"Ann Arbor, MI",8610000US48109,0,48109,15808.0,0.0
"Bridgewater, MI",8610000US48115,0,48115,,
"Brighton, MI",8610000US48114,3280,48114,15810.0,38.34928271817284
"Belleville, MI",8610000US48112,47,48112,,
"Brighton, MI",8610000US48116,16527,48116,15811.0,174.22864528926414
"Ann Arbor, MI",8610000US48113,12,48113,,
"Chelsea, MI",8610000US48118,5171,48118,15813.0,22.754236002896295
"Carleton, MI",8610000US48117,1546,48117,15812.0,10.879659989372698
"Dearborn, MI",8610000US48124,22866,48124,15816.0,997.0318397884162
"Melvindale, MI",8610000US48122,2239,48122,15815.0,317.3513816832833
"Dearborn, MI",8610000US48123,0,48123,,
"Dearborn, MI",8610000US48120,9059,48120,15814.0,1097.5855178322208
"Dearborn, MI",8610000US48121,0,48121,,
"Dearborn Heights, MI",8610000US48125,2161,48125,15817.0,206.02009596856522
"Dearborn, MI",8610000US48126,30150,48126,15818.0,1187.649157803121
"Dearborn Heights, MI",8610000US48127,4885,48127,15819.0,245.17486086891276
"Dexter, MI",8610000US48130,4447,48130,15821.0,27.59881850990882
"Dearborn, MI",8610000US48128,2241,48128,15820.0,365.9579123905576
"Garden City, MI",8610000US48135,5194,48135,15825.0,341.753785150173
"Dundee, MI",8610000US48131,3632,48131,15822.0,28.008922507547524
"Erie, MI",8610000US48133,1151,48133,15823.0,16.549584705354054
"Garden City, MI",8610000US48136,38,48136,,
"Gregory, MI",8610000US48137,155,48137,15826.0,1.4102669178530984
"Ida, MI",8610000US48140,254,48140,15829.0,3.6842995113864583
"Grosse Ile, MI",8610000US48138,931,48138,15827.0,39.07779591660958
"Hamburg, MI",8610000US48139,474,48139,15828.0,265.6405692554106
"La Salle, MI",8610000US48145,111,48145,15833.0,2.553118845129122
"Inkster, MI",8610000US48141,1961,48141,15830.0,121.09027684596447
"Lakeland, MI",8610000US48143,0,48143,15831.0,0.0
"Lambertville, MI",8610000US48144,1555,48144,15832.0,78.97256239251415
"Lincoln Park, MI",8610000US48146,4606,48146,15834.0,302.97564709901803
"Livonia, MI",8610000US48150,35172,48150,15835.0,1132.9921171168269
"Livonia, MI",8610000US48153,65,48153,,
"Livonia, MI",8610000US48151,0,48151,,
"Livonia, MI",8610000US48152,29202,48152,15836.0,930.9409915965696
"Milan, MI",8610000US48160,2641,48160,15841.0,12.665922019797993
"Luna Pier, MI",8610000US48157,0,48157,15838.0,0.0
"Maybee, MI",8610000US48159,127,48159,15840.0,1.605571165064511
"Manchester, MI",8610000US48158,1117,48158,15839.0,4.593478150113657
"Livonia, MI",8610000US48154,8157,48154,15837.0,271.13026118848586
"Monroe, MI",8610000US48162,8828,48162,15843.0,59.580071583687776
"Monroe, MI",8610000US48161,11241,48161,15842.0,96.96877306173151
"Newport, MI",8610000US48166,1172,48166,15846.0,17.022009836339766
"New Hudson, MI",8610000US48165,3381,48165,15845.0,140.28584620787566
"New Boston, MI",8610000US48164,2834,48164,15844.0,37.23110657640729
"Northville, MI",8610000US48167,7167,48167,15847.0,155.61273780256792
"Northville, MI",8610000US48168,1939,48168,15848.0,36.69728104375167
"Pinckney, MI",8610000US48169,1627,48169,15849.0,10.892705631050791
"Plymouth, MI",8610000US48170,28237,48170,15850.0,319.2317798068811
"Romulus, MI",8610000US48174,17327,48174,15852.0,162.42012757989943
"Rockwood, MI",8610000US48173,763,48173,15851.0,25.4082706151985
"Samaria, MI",8610000US48177,0,48177,15854.0,0.0
"Saline, MI",8610000US48176,7195,48176,15853.0,37.366421081944694
"South Lyon, MI",8610000US48178,3523,48178,15855.0,26.899527957187924
"Salem, MI",8610000US48175,29,48175,,
"Taylor, MI",8610000US48180,23086,48180,15857.0,377.7355908131681
"South Rockwood, MI",8610000US48179,158,48179,15856.0,2.9939349320920607
"Trenton, MI",8610000US48183,13726,48183,15859.0,285.1284313927109
"Temperance, MI",8610000US48182,2686,48182,15858.0,26.15729805122189
"Wayne, MI",8610000US48184,10169,48184,15860.0,558.4718794662922
"Westland, MI",8610000US48185,13188,48185,15861.0,418.4993200814049
