GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Waycross, GA",8600000US31503,1831,31503,5798.0,2.085206104083162
"Macon, GA",8600000US31211,2884,31211,5758.0,19.860869786545784
"Ellerslie, GA",8600000US31807,116,31807,5948.0,2.9597377937670526
"Fleming, GA",8600000US31309,32,31309,5768.0,0.40421106583119104
"Ludowici, GA",8600000US31316,495,31316,5773.0,0.6595058173422669
"Walthourville, GA",8600000US31333,96,31333,5786.0,5.645269273169817
"Savannah, GA",8600000US31421,0,31421,,
"Savannah, GA",8600000US31422,761,31422,,
"Darien, GA",8600000US31305,1337,31305,5765.0,4.1386050721716074
"Ambrose, GA",8600000US31512,136,31512,5800.0,0.5166534305882764
"Macon, GA",8600000US31217,6646,31217,5760.0,26.057314957973073
"Macon, GA",8600000US31294,0,31294,,
"Macon, GA",8600000US31295,0,31295,,
"Hinesville, GA",8600000US31310,246,31310,,
"Savannah, GA",8600000US31401,16298,31401,5787.0,919.7969042383517
"Savannah, GA",8600000US31414,140,31414,,
"Savannah, GA",8600000US31498,256,31498,,
"Macon, GA",8600000US31296,0,31296,,
"Macon, GA",8600000US31297,2022,31297,,
"Eden, GA",8600000US31307,68,31307,5766.0,9.076715195502434
"Waycross, GA",8600000US31502,1352,31502,,
"Macon, GA",8600000US31213,100,31213,,
"Savannah, GA",8600000US31404,10652,31404,5788.0,282.09736797753135
"Savannah, GA",8600000US31407,6906,31407,5791.0,78.55306036285144
"Savannah, GA",8600000US31409,250,31409,,
"Savannah, GA",8600000US31499,0,31499,,
"Baxley, GA",8600000US31513,3603,31513,5801.0,4.061049592841061
"Hinesville, GA",8600000US31313,6141,31313,5770.0,24.88726789015842
"Savannah, GA",8600000US31415,2188,31415,5795.0,139.98841320766365
"Savannah, GA",8600000US31418,837,31418,,
"Waycross, GA",8600000US31501,9426,31501,5797.0,269.72526224314754
"Springfield, GA",8600000US31329,1218,31329,5784.0,4.341257327921185
"Macon, GA",8600000US31216,2443,31216,5759.0,17.463418766241276
"Macon, GA",8600000US31298,0,31298,,
"Ellabell, GA",8600000US31308,179,31308,5767.0,0.4185412051665325
"Guyton, GA",8600000US31312,461,31312,5769.0,1.0725981745910023
"Townsend, GA",8600000US31331,358,31331,5785.0,0.6216703280791528
"Savannah, GA",8600000US31406,18342,31406,5790.0,262.3000782395572
"Savannah, GA",8600000US31408,10979,31408,5792.0,117.11192291217277
"Allenhurst, GA",8600000US31301,139,31301,5762.0,2.275084455145016
"Riceboro, GA",8600000US31323,1115,31323,5779.0,3.2444985082974354
"Sapelo Island, GA",8600000US31327,0,31327,5782.0,0.0
"Tybee Island, GA",8600000US31328,533,31328,5783.0,8.645660242714015
"Savannah, GA",8600000US31416,1168,31416,,
"Fort Stewart, GA",8600000US31314,1047,31314,5771.0,164.87236092024287
"Edgewater, FL",8600000US32141,1657,32141,4403.0,22.808497419274264
"Putnam Hall, FL",8600000US32185,0,32185,4420.0,0.0
"Hollister, FL",8600000US32147,111,32147,4405.0,2.4216623852693813
"New Smyrna Beach, FL",8600000US32170,174,32170,,
"San Mateo, FL",8600000US32187,148,32187,4421.0,2.369493463295994
"Sparr, FL",8600000US32192,93,32192,,
"Ocklawaha, FL",8600000US32179,255,32179,4415.0,1.0447622057509702
"Jacksonville, FL",8600000US32211,11195,32211,4434.0,484.2529966046922
"New Smyrna Beach, FL",8600000US32168,4989,32168,4410.0,10.67346192295516
"Ormond Beach, FL",8600000US32175,206,32175,,
"Edgar, FL",8600000US32149,0,32149,,
"New Smyrna Beach, FL",8600000US32169,2340,32169,4411.0,45.940458613389346
"Welaka, FL",8600000US32193,60,32193,4424.0,3.22842268898877
"Interlachen, FL",8600000US32148,523,32148,4406.0,1.9430822971069874
"Lake Como, FL",8600000US32157,10,32157,4407.0,0.6236856993297312
"Pomona Park, FL",8600000US32181,119,32181,4417.0,2.1632668776536605
"Jacksonville, FL",8600000US32201,2354,32201,,
"Jacksonville, FL",8600000US32208,4914,32208,4431.0,161.89200024550655
"Grandin, FL",8600000US32138,29,32138,4400.0,4.08785159576335
"Palm Coast, FL",8600000US32142,0,32142,,
"Hastings, FL",8600000US32145,372,32145,4404.0,1.554031384039776
