GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Las Vegas, NV",8600000US89121,18966,89121,16977.0,789.2885478876044
"Las Vegas, NV",8600000US89125,1794,89125,,
"Pasadena, CA",8600000US91115,22,91115,,
"Las Vegas, NV",8600000US89164,0,89164,,
"Las Vegas, NV",8600000US89185,0,89185,,
"Duckwater, NV",8600000US89314,0,89314,17002.0,0.0
"Las Vegas, NV",8600000US89123,6309,89123,16979.0,132.7435443746688
"Las Vegas, NV",8600000US89170,210,89170,,
"Nellis Afb, NV",8600000US89191,210,89191,16998.0,0.10907538621855546
"Ely, NV",8600000US89315,38,89315,,
"Ruth, NV",8600000US89319,0,89319,,
"Las Vegas, NV",8600000US89116,246,89116,,
"Las Vegas, NV",8600000US89141,56,89141,16988.0,1.7312339113109272
"Las Vegas, NV",8600000US89146,12448,89146,16993.0,1027.470557826213
"Crystal Bay, NV",8600000US89402,1207,89402,,
"Las Vegas, NV",8600000US89113,1170,89113,16971.0,37.31042834444541
"Las Vegas, NV",8600000US89135,641,89135,16986.0,59.27311191327595
"Las Vegas, NV",8600000US89138,0,89138,,
"Las Vegas, NV",8600000US89139,1640,89139,16987.0,63.23598590300217
"Las Vegas, NV",8600000US89143,29,89143,16990.0,0.01459007808431188
"Las Vegas, NV",8600000US89114,1015,89114,,
"Las Vegas, NV",8600000US89148,138,89148,16995.0,2.8435986144339087
"Eureka, NV",8600000US89316,0,89316,17003.0,0.0
"Las Vegas, NV",8600000US89145,2469,89145,16992.0,235.60131486336078
"Las Vegas, NV",8600000US89173,35,89173,,
"Las Vegas, NV",8600000US89193,2746,89193,,
"Las Vegas, NV",8600000US89195,0,89195,,
"Las Vegas, NV",8600000US89134,6375,89134,16985.0,133.6895788375625
"Las Vegas, NV",8600000US89142,379,89142,16989.0,28.916131088800675
"Las Vegas, NV",8600000US89144,2844,89144,16991.0,113.34646675070672
"Las Vegas, NV",8600000US89199,55,89199,,
"Dayton, NV",8600000US89403,1054,89403,17006.0,1.2897215279408276
"Las Vegas, NV",8600000US89110,4596,89110,16970.0,44.4735330853621
"Las Vegas, NV",8600000US89117,10625,89117,16973.0,441.9567490518416
"Las Vegas, NV",8600000US89132,111,89132,,
"Ely, NV",8600000US89301,1624,89301,16999.0,0.14609618700587432
"Las Vegas, NV",8600000US89129,3416,89129,16982.0,111.3521386537533
"Las Vegas, NV",8600000US89130,6976,89130,16983.0,342.99169292410005
"Las Vegas, NV",8600000US89158,0,89158,,
"Las Vegas, NV",8600000US89180,67,89180,,
"Las Vegas, NV",8600000US89111,3334,89111,,
"Las Vegas, NV",8600000US89122,5369,89122,16978.0,289.2146736180896
"Las Vegas, NV",8600000US89124,838,89124,16980.0,0.5155089479800911
"Los Angeles, CA",8600000US90081,0,90081,,
"Los Angeles, CA",8600000US90091,265,90091,,
"Compton, CA",8600000US90224,580,90224,,
"Los Angeles, CA",8600000US90067,36063,90067,1883.0,45698.47849144207
"Los Angeles, CA",8600000US90070,0,90070,,
"Los Angeles, CA",8600000US90071,32220,90071,1886.0,98971.88424405693
"Los Angeles, CA",8600000US90077,2093,90077,1887.0,92.95439443343075
"Los Angeles, CA",8600000US90083,0,90083,,
"Compton, CA",8600000US90220,24731,90220,1892.0,1388.5118623693972
"Los Angeles, CA",8600000US90086,383,90086,,
"Fallon, NV",8600000US89406,4798,89406,17009.0,0.5470129608578296
"West Hollywood, CA",8600000US90069,21233,90069,1885.0,3858.646298994295
"Los Angeles, CA",8600000US90093,46,90093,,
"Beverly Hills, CA",8600000US90209,112,90209,,
"Beverly Hills, CA",8600000US90211,14044,90211,1890.0,7908.828841207904
"Culver City, CA",8600000US90231,1121,90231,,
"Los Angeles, CA",8600000US90095,2194,90095,,
"Culver City, CA",8600000US90230,22535,90230,1895.0,1768.9789619849678
"Culver City, CA",8600000US90233,0,90233,,
"Compton, CA",8600000US90222,3921,90222,1894.0,547.9240720610287
"Downey, CA",8600000US90239,31,90239,,
"Los Angeles, CA",8600000US90078,292,90078,,
"Beverly Hills, CA",8600000US90213,808,90213,,
"Compton, CA",8600000US90221,16727,90221,1893.0,1186.8909396448182
"Downey, CA",8600000US90242,6066,90242,1899.0,502.2170490020941
"Los Angeles, CA",8600000US90096,0,90096,,
"Los Angeles, CA",8600000US90097,0,90097,,
"Downey, CA",8600000US90240,5830,90240,1897.0,690.2241061775412
"Downey, CA",8600000US90241,22425,90241,1898.0,1887.1338287147294
"Los Angeles, CA",8600000US90088,0,90088,,
"Los Angeles, CA",8600000US90101,0,90101,,
"Bell, CA",8600000US90201,13034,90201,1888.0,824.7542189399105
"Los Angeles, CA",8600000US90072,0,90072,,
"Los Angeles, CA",8600000US90073,0,90073,,
"Los Angeles, CA",8600000US90089,836,90089,,
"El Segundo, CA",8600000US90245,72838,90245,1900.0,5221.018430471744
"Gardena, CA",8600000US90247,12745,90247,1901.0,1288.4673728620364
"Beverly Hills, CA",8600000US90210,21037,90210,1889.0,868.6216468755922
"Los Angeles, CA",8600000US90068,4254,90068,1884.0,204.3416402004854
"Los Angeles, CA",8600000US90074,0,90074,,
"Culver City, CA",8600000US90232,19144,90232,1896.0,3300.3431191449035
"Los Angeles, CA",8600000US90075,0,90075,,
"Beverly Hills, CA",8600000US90212,15063,90212,1891.0,6387.853790537936
"Los Angeles, CA",8600000US90076,17,90076,,
"Los Angeles, CA",8600000US90079,1124,90079,,
"Bell Gardens, CA",8600000US90202,205,90202,,
"Compton, CA",8600000US90223,0,90223,,
"San Marino, CA",8600000US91118,25,91118,,
"Pasadena, CA",8600000US91129,0,91129,,
"Long Beach, CA",8600000US90844,0,90844,,
"South Pasadena, CA",8600000US91031,42,91031,,
"Sunland, CA",8600000US91041,78,91041,,
"Pasadena, CA",8600000US91121,0,91121,,
"Pasadena, CA",8600000US91182,0,91182,,
"Pasadena, CA",8600000US91184,0,91184,,
"Long Beach, CA",8600000US90846,175,90846,,
"La Canada Flintridge, CA",8600000US91012,82,91012,,
"South Pasadena, CA",8600000US91030,6255,91030,1996.0,697.1797712871388
"Tujunga, CA",8600000US91043,54,91043,,
"Pasadena, CA",8600000US91103,12930,91103,2000.0,1066.707674000605
"Pasadena, CA",8600000US91124,0,91124,,
"Pasadena, CA",8600000US91188,0,91188,,
"Arcadia, CA",8600000US91077,78,91077,,
"Pasadena, CA",8600000US91125,0,91125,,
"Glendale, CA",8600000US91201,11384,91201,2006.0,1853.5651006125688
"Long Beach, CA",8600000US90848,0,90848,,
"La Canada Flintridge, CA",8600000US91011,5049,91011,1992.0,50.93183468452495
"Tujunga, CA",8600000US91042,1646,91042,1998.0,16.199003119646537
"Pasadena, CA",8600000US91106,6593,91106,2003.0,873.311890632157
"Long Beach, CA",8600000US90853,12,90853,,
"Sunland, CA",8600000US91040,2011,91040,1997.0,53.113900819047515
"Verdugo City, CA",8600000US91046,71,91046,,
"Pasadena, CA",8600000US91101,25142,91101,1999.0,7469.555219508427
"Altadena, CA",8600000US91001,3850,91001,1988.0,167.2245669133468
"Monrovia, CA",8600000US91016,16053,91016,1993.0,704.2156207948253
"Monrovia, CA",8600000US91017,289,91017,,
"Glendale, CA",8600000US91202,3815,91202,2007.0,668.4882021031708
"Pasadena, CA",8600000US91104,3400,91104,2001.0,342.83244739715053
"Altadena, CA",8600000US91003,40,91003,,
"Duarte, CA",8600000US91009,15,91009,,
"Duarte, CA",8600000US91010,8768,91010,1991.0,357.1381438689955
"Montrose, CA",8600000US91021,50,91021,,
"Sierra Madre, CA",8600000US91025,42,91025,,
"Arcadia, CA",8600000US91066,339,91066,,
"Pasadena, CA",8600000US91105,19060,91105,2002.0,1817.4009754847293
"Arcadia, CA",8600000US91007,9411,91007,1990.0,662.6620127997769
"San Marino, CA",8600000US91108,2559,91108,2005.0,260.5480203543087
"Glendale, CA",8600000US91203,23363,91203,2008.0,9914.203922906594
"Pasadena, CA",8600000US91110,0,91110,,
"Pasadena, CA",8600000US91114,68,91114,,
"Arcadia, CA",8600000US91006,11932,91006,1989.0,768.4116110265907
"Pasadena, CA",8600000US91109,942,91109,,
"Long Beach, CA",8600000US90832,885,90832,,
"Mount Wilson, CA",8600000US91023,0,91023,,
"Newhall, CA",8600000US91321,7949,91321,2024.0,159.0323248155108
"Pasadena, CA",8600000US91116,67,91116,,
"Pasadena, CA",8600000US91117,104,91117,,
"Montrose, CA",8600000US91020,2656,91020,1994.0,1363.6197944610133
"Sierra Madre, CA",8600000US91024,1694,91024,1995.0,94.58911193331546
"Pasadena, CA",8600000US91107,19862,91107,2004.0,921.4253190624212
"Long Beach, CA",8600000US90840,0,90840,,
"Pasadena, CA",8600000US91102,33,91102,,
"Torrance, CA",8600000US90507,26,90507,,
"Inglewood, CA",8600000US90304,2817,90304,1927.0,625.3711545612467
"Whittier, CA",8600000US90609,241,90609,,
"Torrance, CA",8600000US90508,23,90508,,
"Whittier, CA",8600000US90602,4580,90602,1940.0,421.46089942516596
"Playa Del Rey, CA",8600000US90296,5,90296,,
"Santa Monica, CA",8600000US90403,8569,90403,1931.0,2337.473444621329
"Inglewood, CA",8600000US90306,100,90306,,
"Torrance, CA",8600000US90504,8339,90504,1937.0,713.045674684091
"Torrance, CA",8600000US90509,5884,90509,,
"Whittier, CA",8600000US90601,11679,90601,1939.0,477.5877854316956
"Whittier, CA",8600000US90606,8217,90606,1944.0,837.0268829565049
"Whittier, CA",8600000US90610,0,90610,,
"Whittier, CA",8600000US90612,0,90612,,
"Buena Park, CA",8600000US90620,17463,90620,1945.0,1040.6255743016075
"Inglewood, CA",8600000US90301,16265,90301,1924.0,2512.9999270743333
"Santa Monica, CA",8600000US90407,12,90407,,
"Whittier, CA",8600000US90608,282,90608,,
"Venice, CA",8600000US90294,14,90294,,
"Inglewood, CA",8600000US90307,0,90307,,
"Santa Monica, CA",8600000US90404,27094,90404,1932.0,5219.018075670561
"Santa Monica, CA",8600000US90408,67,90408,,
"Inglewood, CA",8600000US90308,13,90308,,
"Inglewood, CA",8600000US90305,1100,90305,1928.0,160.20088608566465
"Whittier, CA",8600000US90604,1666,90604,1942.0,152.12379333918759
"Inglewood, CA",8600000US90309,9,90309,,
"Santa Monica, CA",8600000US90405,15155,90405,1933.0,2208.959879429125
"Whittier, CA",8600000US90603,5175,90603,1941.0,586.8655742159277
"Marina Del Rey, CA",8600000US90295,134,90295,,
"Inglewood, CA",8600000US90303,4396,90303,1926.0,870.4231749576322
"Santa Monica, CA",8600000US90402,1936,90402,1930.0,379.8779288961132
"Santa Monica, CA",8600000US90406,567,90406,,
"Torrance, CA",8600000US90505,32901,90505,1938.0,2218.198572764073
"Whittier, CA",8600000US90607,207,90607,,
"Inglewood, CA",8600000US90302,4016,90302,1925.0,817.9994089058056
"Santa Monica, CA",8600000US90409,48,90409,,
"Inglewood, CA",8600000US90310,0,90310,,
"Inglewood, CA",8600000US90311,0,90311,,
"Torrance, CA",8600000US90502,14148,90502,1935.0,2432.443723949616
"Whittier, CA",8600000US90605,5299,90605,1943.0,387.60999777777096
"Santa Monica, CA",8600000US90401,33082,90401,1929.0,16420.750841587058
"Torrance, CA",8600000US90510,646,90510,,
"Santa Monica, CA",8600000US90411,0,90411,,
"Torrance, CA",8600000US90501,27559,90501,1934.0,1890.3236405003504
"Torrance, CA",8600000US90506,0,90506,,
"Torrance, CA",8600000US90503,30965,90503,1936.0,2222.482203634349
"Long Beach, CA",8600000US90809,749,90809,,
"Long Beach, CA",8600000US90815,10679,90815,1986.0,564.8825145931069
"Paramount, CA",8600000US90723,17827,90723,1967.0,1465.7995588376646
"Seal Beach, CA",8600000US90740,6079,90740,1970.0,209.84578906228103
"Wilmington, CA",8600000US90744,9665,90744,1973.0,373.1908353134521
"Long Beach, CA",8600000US90802,33325,90802,1976.0,1964.4176614263529
"Long Beach, CA",8600000US90813,12423,90813,1984.0,1283.8285144896008
"Long Beach, CA",8600000US90822,347,90822,1987.0,818.4425533520765
"San Pedro, CA",8600000US90731,10819,90731,1968.0,543.9702041690773
"Long Beach, CA",8600000US90801,1988,90801,,
"Carson, CA",8600000US90747,305,90747,,
"Long Beach, CA",8600000US90807,20385,90807,1981.0,1719.446693272472
"Long Beach, CA",8600000US90831,1775,90831,,
"Sunset Beach, CA",8600000US90742,342,90742,1971.0,657.3573082948113
"San Pedro, CA",8600000US90733,200,90733,,
"Wilmington, CA",8600000US90748,1122,90748,,
"Long Beach, CA",8600000US90803,8533,90803,1977.0,797.3903385035526
"Long Beach, CA",8600000US90804,13578,90804,1978.0,2164.874190802936
"Long Beach, CA",8600000US90810,19715,90810,1983.0,1139.2074525374048
"Long Beach, CA",8600000US90814,1319,90814,1985.0,386.94218279981857
"Long Beach, CA",8600000US90805,10566,90805,1979.0,551.763984130754
"San Pedro, CA",8600000US90732,3653,90732,1969.0,366.9496588864901
"Carson, CA",8600000US90749,1270,90749,,
"San Pedro, CA",8600000US90734,75,90734,,
"Long Beach, CA",8600000US90808,13169,90808,1982.0,788.9962079772196
"Surfside, CA",8600000US90743,22,90743,1972.0,93.58993993227492
"Carson, CA",8600000US90745,16757,90745,1974.0,804.3077527117248
"Los Alamitos, CA",8600000US90720,16534,90720,1966.0,1020.5591372787834
"Los Alamitos, CA",8600000US90721,54,90721,,
"Carson, CA",8600000US90746,12143,90746,1975.0,795.5145114412124
"Long Beach, CA",8600000US90806,29548,90806,1980.0,2193.1971549004497
"North Hollywood, CA",8600000US91603,61,91603,,
"Chino, CA",8600000US91708,1909,91708,,
"North Hollywood, CA",8600000US91616,0,91616,,
"Baldwin Park, CA",8600000US91706,30328,91706,2071.0,860.8865718073444
"North Hollywood, CA",8600000US91606,9205,91606,2066.0,997.6346142903978
"Valley Village, CA",8600000US91617,9,91617,,
"Covina, CA",8600000US91724,5427,91724,2078.0,357.4010836358708
"El Monte, CA",8600000US91731,19839,91731,2080.0,2064.2791062677647
"Chino, CA",8600000US91710,33912,91710,2073.0,364.31907221623277
"City Of Industry, CA",8600000US91716,0,91716,,
"Studio City, CA",8600000US91604,10414,91604,2064.0,806.2197367608175
"North Hollywood, CA",8600000US91609,33,91609,,
"North Hollywood, CA",8600000US91618,0,91618,,
"Corona, CA",8600000US91718,834,91718,,
"El Monte, CA",8600000US91732,5029,91732,2081.0,393.5878905473478
"Universal City, CA",8600000US91608,12638,91608,2068.0,9744.633242322767
"Rancho Cucamonga, CA",8600000US91701,3012,91701,2069.0,154.33934918601366
"Covina, CA",8600000US91723,8635,91723,2077.0,1466.7578485558508
"Toluca Lake, CA",8600000US91610,67,91610,,
"Claremont, CA",8600000US91711,14831,91711,2074.0,411.543736601797
"Studio City, CA",8600000US91614,113,91614,,
"Rancho Cucamonga, CA",8600000US91730,38205,91730,2079.0,1038.5174304026148
"Azusa, CA",8600000US91702,15032,91702,2070.0,269.3060812491359
"City Of Industry, CA",8600000US91714,0,91714,,
"Chino Hills, CA",8600000US91709,5333,91709,2072.0,46.02013426177854
"City Of Industry, CA",8600000US91715,4098,91715,,
"Corona, CA",8600000US91719,8380,91719,2075.0,938.4130069865856
"Rancho Cucamonga, CA",8600000US91729,1228,91729,,
"Valley Village, CA",8600000US91607,5313,91607,2067.0,873.8170658298549
"North Hollywood, CA",8600000US91615,46,91615,,
"North Hollywood, CA",8600000US91605,18854,91605,2065.0,1320.6087744485808
"Corona, CA",8600000US91720,13999,91720,,
"Covina, CA",8600000US91722,7534,91722,2076.0,689.7162248921643
"West Hills, CA",8600000US91308,48,91308,,
"Glendale, CA",8600000US91222,13,91222,,
"Pacoima, CA",8600000US91331,11857,91331,2028.0,492.7677183907088
"Glendale, CA",8600000US91204,14256,91204,2009.0,4670.204481967985
"La Crescenta, CA",8600000US91224,425,91224,,
"Canoga Park, CA",8600000US91305,170,91305,,
"Encino, CA",8600000US91316,8171,91316,2022.0,465.94636866627854
"Glendale, CA",8600000US91206,6868,91206,2011.0,500.09098189893456
"Canoga Park, CA",8600000US91309,0,91309,,
"Newbury Park, CA",8600000US91319,119,91319,,
"La Crescenta, CA",8600000US91214,3808,91214,2014.0,231.00320177231868
"Newhall, CA",8600000US91322,153,91322,,
"Castaic, CA",8600000US91384,1018,91384,2048.0,4.25229776543841
"Glendale, CA",8600000US91210,4110,91210,,
"Glendale, CA",8600000US91225,0,91225,,
"Canoga Park, CA",8600000US91304,12749,91304,2018.0,518.3233757296838
"Winnetka, CA",8600000US91306,2960,91306,2019.0,274.2207313837475
"Northridge, CA",8600000US91326,2687,91326,2027.0,120.98541290538387
"West Hills, CA",8600000US91307,5805,91307,2020.0,93.18418299222517
"Northridge, CA",8600000US91327,45,91327,,
"Calabasas, CA",8600000US91302,16654,91302,2016.0,222.123927279075
"Chatsworth, CA",8600000US91312,0,91312,,
"Glendale, CA",8600000US91207,979,91207,2012.0,85.83335773607548
"Glendale, CA",8600000US91226,42,91226,,
"Castaic, CA",8600000US91310,193,91310,,
