GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Chatham, PA",8600000US19318,0,19318,,
"Devon, PA",8600000US19333,2521,19333,6041.0,281.94525900267655
"Leesport, PA",8600000US19533,2842,19533,6115.0,61.25197748841116
"Cheyney, PA",8600000US19319,0,19319,6038.0,0.0
"Atglen, PA",8600000US19310,950,19310,6033.0,28.1631351083421
"Coatesville, PA",8600000US19320,10385,19320,6039.0,47.44420142749346
"Berwyn, PA",8600000US19312,7591,19312,6035.0,309.21487203367985
"Concordville, PA",8600000US19331,1989,19331,,
"Downingtown, PA",8600000US19335,12300,19335,6042.0,111.65866422031914
"Cochranville, PA",8600000US19330,415,19330,6040.0,4.755062709537854
"Immaculata, PA",8600000US19345,1762,19345,6047.0,3365.408490302963
"Glenmoore, PA",8600000US19343,1504,19343,6045.0,21.428737415799418
"Kelton, PA",8600000US19346,40,19346,,
"Kemblesville, PA",8600000US19347,33,19347,,
"Honey Brook, PA",8600000US19344,2329,19344,6046.0,27.5552811411857
"Kennett Square, PA",8600000US19348,10970,19348,6048.0,114.39902816930594
"Concordville, PA",8600000US19339,0,19339,,
"Exton, PA",8600000US19341,28033,19341,6043.0,839.0728444114465
"Glen Mills, PA",8600000US19342,8195,19342,6044.0,162.2446856154337
"Landenberg, PA",8600000US19350,694,19350,6049.0,9.616922368946188
"Lincoln Univer, TY",8600000US19352,599,19352,6050.0,12.050433821652856
"Parkesburg, PA",8600000US19365,2100,19365,6055.0,45.36820445868344
"Oxford, PA",8600000US19363,2547,19363,6054.0,19.761917388590252
"Lyndell, PA",8600000US19354,23,19354,,
"Nottingham, PA",8600000US19362,1037,19362,6053.0,13.265858681634615
"Wagontown, PA",8600000US19376,87,19376,,
"Malvern, PA",8600000US19355,42349,19355,6051.0,426.3027111841763
"Pocopson, PA",8600000US19366,0,19366,,
"Toughkenamon, PA",8600000US19374,726,19374,6059.0,162.968120876553
"Pomeroy, PA",8600000US19367,0,19367,6056.0,0.0
"West Chester, PA",8600000US19380,30114,19380,6061.0,368.54454557927613
"Mendenhall, PA",8600000US19357,0,19357,,
"Sadsburyville, PA",8600000US19369,0,19369,,
"Modena, PA",8600000US19358,59,19358,6052.0,72.63058116775203
"Suplee, PA",8600000US19371,0,19371,,
"Thorndale, PA",8600000US19372,1781,19372,6057.0,1176.9922791685583
"Thornton, PA",8600000US19373,0,19373,6058.0,0.0
"New London, PA",8600000US19360,98,19360,,
"Unionville, PA",8600000US19375,0,19375,6060.0,0.0
"Lewisville, PA",8600000US19351,0,19351,,
"Lionville, PA",8600000US19353,0,19353,,
"Pottstown, PA",8600000US19465,3156,19465,6088.0,34.04049183376583
"Sassamansville, PA",8600000US19472,25,19472,6090.0,57.264322952456865
"Royersford, PA",8600000US19468,7866,19468,6089.0,185.33273528616294
"Schwenksville, PA",8600000US19473,1211,19473,6091.0,19.046071755564192
"Spring House, PA",8600000US19477,2993,19477,6094.0,22639.254485492118
"Pottstown, PA",8600000US19464,20630,19464,6087.0,313.8275586476469
"Skippack, PA",8600000US19474,0,19474,6092.0,0.0
"Spring Mount, PA",8600000US19478,0,19478,,
"Spring City, PA",8600000US19475,1362,19475,6093.0,31.77993760538917
"Uwchland, PA",8600000US19480,742,19480,,
"Saint Peters, PA",8600000US19470,59,19470,,
"Bridgeport, PA",8600000US19405,1384,19405,6067.0,738.6967126928804
"Blue Bell, PA",8600000US19424,0,19424,,
"Chester Spring,  P",8600000US19425,2224,19425,6070.0,31.86962800090737
"Eagleville, PA",8600000US19408,0,19408,,
"Fairview Vill, E,",8600000US19409,190,19409,,
"Collegeville, PA",8600000US19426,14861,19426,6071.0,169.25138045052142
"King Of Prussi,  P",8600000US19406,55705,19406,6068.0,1555.6257184349006
"Arcola, PA",8600000US19420,0,19420,,
"Birchrunville, PA",8600000US19421,0,19421,,
"Norristown, PA",8600000US19404,0,19404,,
"Blue Bell, PA",8600000US19422,16954,19422,6069.0,515.8640048116474
"Cedars, PA",8600000US19423,44,19423,,
"Audubon, PA",8600000US19407,333,19407,,
"Devault, PA",8600000US19432,0,19432,,
"Harleysville, PA",8600000US19438,7109,19438,6076.0,123.04508422772663
"Kulpsville, PA",8600000US19443,1427,19443,,
"Frederick, PA",8600000US19435,287,19435,6073.0,142.77385218777297
"Gwynedd, PA",8600000US19436,575,19436,6074.0,633.1497382614039
"Kimberton, PA",8600000US19442,976,19442,6078.0,19107.656766968812
"Lansdale, PA",8600000US19446,15889,19446,6080.0,272.0161964082597
"Gwynedd Valley, PA",8600000US19437,0,19437,6075.0,0.0
"Conshohocken, PA",8600000US19428,24952,19428,6072.0,1267.5660669028198
"Hatfield, PA",8600000US19440,9532,19440,6077.0,326.56315473437263
"Lafayette Hill, PA",8600000US19444,3052,19444,6079.0,243.25646763712606
"Conshohocken, PA",8600000US19429,0,19429,,
"Creamery, PA",8600000US19430,0,19430,,
"Reading, PA",8600000US19605,15374,19605,6142.0,354.4061287225466
"Robesonia, PA",8600000US19551,2077,19551,6130.0,32.24469478906016
"Reading, PA",8600000US19603,2053,19603,,
"New Berlinvill,  P",8600000US19545,207,19545,6126.0,179.17579135974518
"Shartlesville, PA",8600000US19554,0,19554,6131.0,0.0
"Strausstown, PA",8600000US19559,157,19559,6133.0,214.248186737082
"Reading, PA",8600000US19602,4218,19602,6140.0,658.987643122414
"Virginville, PA",8600000US19564,31,19564,6136.0,58.021033560488796
"Shoemakersvill,  P",8600000US19555,852,19555,6132.0,24.122397042594123
"Wernersville, PA",8600000US19565,1845,19565,6137.0,37.30723231737281
"Reading, PA",8600000US19604,2527,19604,6141.0,444.35183451191193
"Temple, PA",8600000US19560,3010,19560,6134.0,143.00334290505543
"Reading, PA",8600000US19601,8032,19601,6139.0,835.6339623615149
"Oley, PA",8600000US19547,844,19547,6127.0,11.402713902652195
"Pine Forge, PA",8600000US19548,258,19548,,
"Port Clinton, PA",8600000US19549,43,19549,6128.0,11.919271604996448
"Womelsdorf, PA",8600000US19567,815,19567,6138.0,13.939639104967073
"Rehrersburg, PA",8600000US19550,0,19550,6129.0,0.0
"Topton, PA",8600000US19562,945,19562,6135.0,359.16140941778224
"Reading, PA",8600000US19607,7616,19607,6144.0,262.7991484010159
"Reading, PA",8600000US19611,11984,19611,6148.0,2286.097118685906
"Reading, PA",8600000US19612,5199,19612,,
"Reading, PA",8600000US19610,19159,19610,6147.0,1053.8875435597042
"Reading, PA",8600000US19606,8460,19606,6143.0,118.78268138396257
"Reading, PA",8600000US19608,5759,19608,6145.0,86.58201824834428
"Reading, PA",8600000US19609,2508,19609,6146.0,383.69504138414163
"Blandon, PA",8600000US19510,1412,19510,6103.0,97.52209614490734
"Birdsboro, PA",8600000US19508,2138,19508,6102.0,21.706293783538786
"Boyertown, PA",8600000US19512,3976,19512,6105.0,35.425148243241864
"Bernville, PA",8600000US19506,765,19506,6100.0,4.348199347558656
