GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Day, FL",8600000US32013,0,32013,,
"Fernandina Beach, FL",8600000US32035,212,32035,,
"Eglin Afb, FL",8600000US32542,3614,32542,10500.0,85.62336749359791
"Lee, FL",8600000US32059,296,32059,10295.0,0.9658233772360423
"Fort Benning, GA",8600000US31905,1393,31905,10272.0,13.959845311685665
"Columbus, GA",8600000US31917,66,31917,,
"Lake City, FL",8600000US32024,1194,32024,10280.0,3.223128505010529
"Lake City, FL",8600000US32056,313,32056,,
"Live Oak, FL",8600000US32060,3331,32060,10296.0,3.2469747231742034
"Weston, GA",8600000US31832,0,31832,10266.0,0.0
"Lulu, FL",8600000US32061,0,32061,10297.0,0.0
"Preston, GA",8600000US31824,328,31824,10259.0,1.1270478231303234
"Shiloh, GA",8600000US31826,177,31826,10261.0,1.3071407919870055
"Columbus, GA",8600000US31904,19881,31904,10271.0,266.24583727224774
"West Point, GA",8600000US31833,2910,31833,10267.0,11.456708068716186
"Columbus, GA",8600000US31993,0,31993,,
"Live Oak, FL",8600000US32064,3542,32064,10300.0,177.65172407687936
"Mayo, FL",8600000US32066,702,32066,10302.0,0.9788430834124354
"Fort Benning, GA",8600000US31995,232,31995,,
"Orange Park, FL",8600000US32065,4165,32065,10301.0,92.2070804101309
"Yulee, FL",8600000US32041,74,32041,,
"Orange Park, FL",8600000US32067,86,32067,,
"Hampton, FL",8600000US32044,0,32044,10288.0,0.0
"Jasper, FL",8600000US32052,1087,32052,10290.0,1.5206315625219264
"Woodland, GA",8600000US31836,66,31836,10268.0,0.3077810418993571
"Middleburg, FL",8600000US32068,3825,32068,10303.0,14.609135110899816
"Lake Butler, FL",8600000US32054,1752,32054,10292.0,3.160040465833253
"Talbotton, GA",8600000US31827,171,31827,10262.0,0.4365982825244848
"Columbus, GA",8600000US31999,0,31999,,
"Hilliard, FL",8600000US32046,1050,32046,10289.0,2.1001316152483276
"Waverly Hall, GA",8600000US31831,263,31831,10265.0,1.5249795064208422
"Columbus, GA",8600000US31900,0,31900,,
"Columbus, GA",8600000US31909,14732,31909,10275.0,312.4231838615739
"Fleming Island, FL",8600000US32003,4721,32003,10276.0,115.16924890792303
