GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Watrous, NM",8600000US87753,0,87753,18081.0,0.0
"San Acacia, NM",8600000US87831,0,87831,18092.0,0.0
"La Habra, CA",8600000US90631,15060,90631,1949.0,392.4586337264096
"Fort Bayard, NM",8600000US88036,0,88036,18126.0,0.0
"Gila, NM",8600000US88038,55,88038,18127.0,0.06482452648924626
"Pinos Altos, NM",8600000US88053,32,88053,18140.0,0.7045660836198844
"Clovis, NM",8600000US88102,653,88102,,
"Roswell, NM",8600000US88203,2351,88203,,
"Truchas, NM",8600000US87578,18,87578,18048.0,0.053314447381461655
"Cleveland, NM",8600000US87715,25,87715,18060.0,0.2764320848882684
"Roy, NM",8600000US87743,28,87743,18076.0,0.013042664262927243
"San Antonio, NM",8600000US87832,24,87832,18093.0,0.0038861997224321682
"Rincon, NM",8600000US87940,43,87940,18102.0,0.2851991648572548
"White Sands Missile Range, NM",8600000US88002,1137,88002,18107.0,1.5443776741291635
"Arenas Valley, NM",8600000US88022,127,88022,18117.0,93.21025665113896
"Buckhorn, NM",8600000US88025,0,88025,18120.0,0.0
"La Mesa, NM",8600000US88044,0,88044,18133.0,0.0
"Roswell, NM",8600000US88201,9690,88201,18165.0,1.531569264731128
"Santa Fe, NM",8600000US87594,43,87594,,
"Socorro, NM",8600000US87801,2017,87801,18082.0,0.9197248329397929
"Santa Clara, NM",8600000US88026,17,88026,18121.0,5.067396371744198
"Mesilla, NM",8600000US88046,500,88046,,
"Radium Springs, NM",8600000US88054,0,88054,,
"Vadito, NM",8600000US87579,11,87579,18049.0,0.022073790208402184
"Eagle Nest, NM",8600000US87718,61,87718,18061.0,0.17578278596062655
"Mosquero, NM",8600000US87733,0,87733,18070.0,0.0
"Sapello, NM",8600000US87745,0,87745,18077.0,0.0
"Truth Or Consequences, NM",8600000US87901,1509,87901,18094.0,0.3775232493458795
"Salem, NM",8600000US87941,10,87941,18103.0,0.029531111828080568
"Redrock, NM",8600000US88055,0,88055,18141.0,0.0
"Broadview, NM",8600000US88112,0,88112,18148.0,0.0
"Santa Cruz, NM",8600000US87567,106,87567,18042.0,12.354207242758891
"Tererro, NM",8600000US87573,0,87573,18045.0,0.0
"Raton, NM",8600000US87740,2680,87740,18074.0,0.7403280207604507
"Springer, NM",8600000US87747,228,87747,18078.0,0.11559624478926668
"Pie Town, NM",8600000US87827,16,87827,18088.0,0.012973582117717136
"Chamberino, NM",8600000US88027,0,88027,18122.0,0.0
"Dona Ana, NM",8600000US88032,91,88032,,
"Glenwood, NM",8600000US88039,23,88039,18128.0,0.006818745220374597
"Rodeo, NM",8600000US88056,0,88056,18142.0,0.0
"Causey, NM",8600000US88113,1,88113,18149.0,0.009026093044974693
"Grady, NM",8600000US88120,0,88120,18155.0,0.0
"Tesuque, NM",8600000US87574,143,87574,,
"Valdez, NM",8600000US87580,0,87580,18050.0,0.0
"Williamsburg, NM",8600000US87942,80,87942,18104.0,0.18952815574963286
"Las Cruces, NM",8600000US88006,273,88006,,
"Bayard, NM",8600000US88023,280,88023,18118.0,2.8696916085912827
"Cliff, NM",8600000US88028,46,88028,,
"Mesquite, NM",8600000US88048,191,88048,18136.0,1.8375581649693915
"San Miguel, NM",8600000US88058,0,88058,,
"Crossroads, NM",8600000US88114,0,88114,18150.0,0.0
"House, NM",8600000US88121,0,88121,18156.0,0.0
"Vallecitos, NM",8600000US87581,5,87581,18051.0,0.06951214541229016
"Las Vegas, NM",8600000US87701,4657,87701,18054.0,1.0908032279522264
"Polvadera, NM",8600000US87828,0,87828,18089.0,0.0
"Lordsburg, NM",8600000US88045,705,88045,18134.0,0.2868815249638738
"Silver City, NM",8600000US88061,4963,88061,18143.0,1.6504585172128439
"Dora, NM",8600000US88115,0,88115,18151.0,0.0
"Elida, NM",8600000US88116,25,88116,18152.0,0.005172702882981744
