[A]행정구역별(시군구),행정구역별(시군구),[V]직업별,시점,취업인구-현거주지,취업인구-근무지
23060,부평구,5,2015년,35042,27886
23060,부평구,6,2015년,449,218
23060,부평구,7,2015년,28455,19553
23060,부평구,8,2015년,36381,28349
23060,부평구,9,2015년,27697,21960
23060,부평구,10,2015년,873,643
23070,계양구,0,2015년,161330,101921
23070,계양구,1,2015년,1948,1156
23070,계양구,2,2015년,29907,19966
23070,계양구,3,2015년,28578,15419
23070,계양구,4,2015년,17538,12815
23070,계양구,5,2015년,20192,12860
23070,계양구,6,2015년,634,673
23070,계양구,7,2015년,19323,11903
23070,계양구,8,2015년,24593,13735
23070,계양구,9,2015년,18099,13094
23070,계양구,10,2015년,518,300
23080,서구,0,2015년,232999,194603
23080,서구,1,2015년,2500,2587
23080,서구,2,2015년,42548,33964
23080,서구,3,2015년,43829,31651
23080,서구,4,2015년,22625,17478
23080,서구,5,2015년,29472,20396
23080,서구,6,2015년,701,622
23080,서구,7,2015년,26917,24596
23080,서구,8,2015년,41402,41630
23080,서구,9,2015년,22353,21294
23080,서구,10,2015년,652,385
23310,강화군,0,2015년,32703,34066
23310,강화군,1,2015년,180,264
23310,강화군,2,2015년,3912,4028
23310,강화군,3,2015년,3331,3465
23310,강화군,4,2015년,3782,4034
23310,강화군,5,2015년,2532,2592
23310,강화군,6,2015년,9214,9339
23310,강화군,7,2015년,1832,2084
23310,강화군,8,2015년,2751,2746
23310,강화군,9,2015년,4966,5228
23310,강화군,10,2015년,203,286
23320,옹진군,0,2015년,11682,13132
23320,옹진군,1,2015년,59,83
23320,옹진군,2,2015년,893,1115
23320,옹진군,3,2015년,1033,1193
23320,옹진군,4,2015년,1546,1705
23320,옹진군,5,2015년,530,558
23320,옹진군,6,2015년,1455,1461
23320,옹진군,7,2015년,769,1049
23320,옹진군,8,2015년,1118,1565
23320,옹진군,9,2015년,3005,3128
23320,옹진군,10,2015년,1274,1275
24,광주광역시,0,2015년,649556,600516
24,광주광역시,1,2015년,9475,8094
24,광주광역시,2,2015년,148349,134427
24,광주광역시,3,2015년,113503,100579
24,광주광역시,4,2015년,71553,67607
24,광주광역시,5,2015년,86826,85457
24,광주광역시,6,2015년,11197,8755
24,광주광역시,7,2015년,61724,57799
24,광주광역시,8,2015년,79940,74303
24,광주광역시,9,2015년,65458,62182
24,광주광역시,10,2015년,1531,1313
24010,동구,0,2015년,41737,59825
24010,동구,1,2015년,782,883
24010,동구,2,2015년,10989,15381
24010,동구,3,2015년,6821,11715
24010,동구,4,2015년,5174,8058
24010,동구,5,2015년,6619,11255
24010,동구,6,2015년,338,247
24010,동구,7,2015년,3562,3989
24010,동구,8,2015년,3056,2849
24010,동구,9,2015년,4364,5422
24010,동구,10,2015년,32,26
24020,서구,0,2015년,135160,134971
24020,서구,1,2015년,2155,2185
24020,서구,2,2015년,31689,28402
24020,서구,3,2015년,25115,25063
24020,서구,4,2015년,14924,14976
24020,서구,5,2015년,20462,25773
24020,서구,6,2015년,1275,832
24020,서구,7,2015년,11830,11008
24020,서구,8,2015년,14229,13766
24020,서구,9,2015년,13276,12900
24020,서구,10,2015년,205,66
24030,남구,0,2015년,94875,65732
24030,남구,1,2015년,1409,1071
24030,남구,2,2015년,24095,18039
24030,남구,3,2015년,16276,9293
24030,남구,4,2015년,11069,8511
24030,남구,5,2015년,12421,7795
24030,남구,6,2015년,2456,1928
24030,남구,7,2015년,9179,6895
24030,남구,8,2015년,7665,3981
24030,남구,9,2015년,10239,8189
24030,남구,10,2015년,66,30
24040,북구,0,2015년,197477,158291
24040,북구,1,2015년,2834,1838
24040,북구,2,2015년,46505,38686
24040,북구,3,2015년,33272,25122
24040,북구,4,2015년,22587,18875
24040,북구,5,2015년,27538,22208
24040,북구,6,2015년,2330,1300
24040,북구,7,2015년,19168,16499
24040,북구,8,2015년,23005,16884
24040,북구,9,2015년,19793,16482
24040,북구,10,2015년,445,397
24050,광산구,0,2015년,180307,181613
24050,광산구,1,2015년,2295,2117
24050,광산구,2,2015년,35071,33890
24050,광산구,3,2015년,32019,29376
24050,광산구,4,2015년,17799,17187
24050,광산구,5,2015년,19786,18417
24050,광산구,6,2015년,4798,4448
24050,광산구,7,2015년,17985,19395
24050,광산구,8,2015년,31985,36800
24050,광산구,9,2015년,17786,19189
24050,광산구,10,2015년,783,794
25,대전광역시,0,2015년,686900,648616
25,대전광역시,1,2015년,10414,9598
25,대전광역시,2,2015년,176871,171301
25,대전광역시,3,2015년,124324,116100
25,대전광역시,4,2015년,78155,75851
25,대전광역시,5,2015년,89235,88162
25,대전광역시,6,2015년,6424,5075
25,대전광역시,7,2015년,58207,52897
25,대전광역시,8,2015년,68802,59748
25,대전광역시,9,2015년,71372,67330
25,대전광역시,10,2015년,3096,2554
25010,동구,0,2015년,105242,87431
25010,동구,1,2015년,1228,1113
25010,동구,2,2015년,18715,16979
25010,동구,3,2015년,17023,13762
25010,동구,4,2015년,12673,11514
25010,동구,5,2015년,14583,13096
25010,동구,6,2015년,1064,716
25010,동구,7,2015년,12456,9943
25010,동구,8,2015년,13293,9048
25010,동구,9,2015년,14101,11208
25010,동구,10,2015년,106,52
25020,중구,0,2015년,111192,93197
25020,중구,1,2015년,1237,1142
25020,중구,2,2015년,24170,20889
25020,중구,3,2015년,19409,15946
25020,중구,4,2015년,13701,12671
25020,중구,5,2015년,16000,15621
25020,중구,6,2015년,658,281
25020,중구,7,2015년,11737,8954
25020,중구,8,2015년,11162,6867
25020,중구,9,2015년,13015,10755
25020,중구,10,2015년,103,71
25030,서구,0,2015년,224234,194090
25030,서구,1,2015년,3485,2952
25030,서구,2,2015년,59543,51314
25030,서구,3,2015년,43635,39067
25030,서구,4,2015년,26790,24779
25030,서구,5,2015년,31961,30949
25030,서구,6,2015년,1724,1311
25030,서구,7,2015년,17018,13596
25030,서구,8,2015년,16912,10180
25030,서구,9,2015년,22643,19793
25030,서구,10,2015년,523,149
25040,유성구,0,2015년,156596,172334
25040,유성구,1,2015년,3704,3486
25040,유성구,2,2015년,59456,65641
25040,유성구,3,2015년,29757,30702
25040,유성구,4,2015년,15137,17797
25040,유성구,5,2015년,15451,16253
25040,유성구,6,2015년,2204,2091
25040,유성구,7,2015년,7596,9002
25040,유성구,8,2015년,10574,10918
25040,유성구,9,2015년,10449,14278
25040,유성구,10,2015년,2268,2166
25050,대덕구,0,2015년,89636,101507
25050,대덕구,1,2015년,760,905
25050,대덕구,2,2015년,14987,16473
25050,대덕구,3,2015년,14500,16599
25050,대덕구,4,2015년,9854,9089
25050,대덕구,5,2015년,11240,12233
25050,대덕구,6,2015년,774,676
25050,대덕구,7,2015년,9400,11402
25050,대덕구,8,2015년,16861,22725
25050,대덕구,9,2015년,11164,11289
25050,대덕구,10,2015년,96,116
26,울산광역시,0,2015년,544141,566412
26,울산광역시,1,2015년,4973,5335
26,울산광역시,2,2015년,95491,99589
26,울산광역시,3,2015년,84703,88403
26,울산광역시,4,2015년,51507,52236
26,울산광역시,5,2015년,48853,50092
26,울산광역시,6,2015년,8723,8691
26,울산광역시,7,2015년,82203,87150
26,울산광역시,8,2015년,117299,122497
26,울산광역시,9,2015년,50158,52202
26,울산광역시,10,2015년,231,217
26003,동부,0,2015년,443112,435504
26003,동부,1,2015년,3939,4014
26003,동부,2,2015년,78739,80766
26003,동부,3,2015년,70332,67221
26003,동부,4,2015년,41789,41343
26003,동부,5,2015년,40758,41568
26003,동부,6,2015년,2662,2252
26003,동부,7,2015년,69564,68932
26003,동부,8,2015년,95714,91032
26003,동부,9,2015년,39411,38197
26003,동부,10,2015년,204,179
26004,읍부,0,2015년,68746,72662
26004,읍부,1,2015년,724,747
26004,읍부,2,2015년,12619,11722
26004,읍부,3,2015년,10335,11585
26004,읍부,4,2015년,6240,5538
26004,읍부,5,2015년,5779,4491
26004,읍부,6,2015년,2141,2188
26004,읍부,7,2015년,9428,12026
26004,읍부,8,2015년,15015,17162
26004,읍부,9,2015년,6458,7191
26004,읍부,10,2015년,7,12
26005,면부,0,2015년,32283,42996
26005,면부,1,2015년,310,414
26005,면부,2,2015년,4133,5223
26005,면부,3,2015년,4036,7124
26005,면부,4,2015년,3478,3478
26005,면부,5,2015년,2316,2329
26005,면부,6,2015년,3920,4005
26005,면부,7,2015년,3211,4337
26005,면부,8,2015년,6570,11328
26005,면부,9,2015년,4289,4738
26005,면부,10,2015년,20,20
26010,중구,0,2015년,111022,65983
26010,중구,1,2015년,1037,814
26010,중구,2,2015년,19521,14782
26010,중구,3,2015년,18444,10559
26010,중구,4,2015년,10740,8583
26010,중구,5,2015년,12017,8634
26010,중구,6,2015년,593,351
26010,중구,7,2015년,13973,7227
26010,중구,8,2015년,23021,6957
26010,중구,9,2015년,11643,8048
26010,중구,10,2015년,33,28
26020,남구,0,2015년,160949,176677
26020,남구,1,2015년,2035,2167
26020,남구,2,2015년,30813,35339
26020,남구,3,2015년,30179,32906
26020,남구,4,2015년,17970,21038
26020,남구,5,2015년,16751,22315
26020,남구,6,2015년,395,362
26020,남구,7,2015년,17030,17466
26020,남구,8,2015년,29998,27049
26020,남구,9,2015년,15643,17928
26020,남구,10,2015년,135,107
26030,동구,0,2015년,83468,104471
26030,동구,1,2015년,360,477
26030,동구,2,2015년,13874,18293
26030,동구,3,2015년,8589,11644
26030,동구,4,2015년,6092,6768
26030,동구,5,2015년,5428,5715
26030,동구,6,2015년,356,344
26030,동구,7,2015년,27785,36602
26030,동구,8,2015년,15475,18431
26030,동구,9,2015년,5490,6173
26030,동구,10,2015년,19,24
26040,북구,0,2015년,87673,100347
26040,북구,1,2015년,507,660
26040,북구,2,2015년,14531,13822
26040,북구,3,2015년,13120,14047
26040,북구,4,2015년,6987,6470
26040,북구,5,2015년,6562,6267
26040,북구,6,2015년,1318,1372
26040,북구,7,2015년,10776,9066
26040,북구,8,2015년,27220,40986
26040,북구,9,2015년,6635,7631
26040,북구,10,2015년,17,26
26310,울주군,0,2015년,101029,118888
26310,울주군,1,2015년,1034,1217
26310,울주군,2,2015년,16752,17348
26310,울주군,3,2015년,14371,19241
26310,울주군,4,2015년,9718,9370
26310,울주군,5,2015년,8095,7148
26310,울주군,6,2015년,6061,6262
26310,울주군,7,2015년,12639,16786
26310,울주군,8,2015년,21585,29069
26310,울주군,9,2015년,10747,12415
26310,울주군,10,2015년,27,32
29,세종특별자치시,0,2015년,94092,103915
29,세종특별자치시,1,2015년,1555,1835
29,세종특별자치시,2,2015년,23836,23852
29,세종특별자치시,3,2015년,21068,22755
29,세종특별자치시,4,2015년,8207,8423
29,세종특별자치시,5,2015년,6431,5545
29,세종특별자치시,6,2015년,6570,6752
29,세종특별자치시,7,2015년,6375,8434
29,세종특별자치시,8,2015년,10655,14205
29,세종특별자치시,9,2015년,8590,11233
29,세종특별자치시,10,2015년,805,881
29003,동부,0,2015년,45865,37497
29003,동부,1,2015년,1054,892
29003,동부,2,2015년,17144,13772
29003,동부,3,2015년,14318,12069
29003,동부,4,2015년,3186,2499
29003,동부,5,2015년,2928,1388
29003,동부,6,2015년,276,158
29003,동부,7,2015년,2005,2135
29003,동부,8,2015년,2683,1604
29003,동부,9,2015년,2037,2927
29003,동부,10,2015년,234,53
29004,읍부,0,2015년,21905,21493
29004,읍부,1,2015년,308,281
29004,읍부,2,2015년,3787,4293
29004,읍부,3,2015년,4111,3540
29004,읍부,4,2015년,2724,2859
29004,읍부,5,2015년,2048,2084
29004,읍부,6,2015년,587,498
29004,읍부,7,2015년,1826,2039
29004,읍부,8,2015년,3749,3111
29004,읍부,9,2015년,2526,2670
29004,읍부,10,2015년,239,118
29005,면부,0,2015년,26322,41431
29005,면부,1,2015년,193,533
29005,면부,2,2015년,2905,5300
29005,면부,3,2015년,2639,6255
29005,면부,4,2015년,2297,2683
29005,면부,5,2015년,1455,1772
29005,면부,6,2015년,5707,5969
29005,면부,7,2015년,2544,4004
29005,면부,8,2015년,4223,8980
29005,면부,9,2015년,4027,5250
29005,면부,10,2015년,332,685
29010,세종시,0,2015년,94092,103749
29010,세종시,1,2015년,1555,1829
29010,세종시,2,2015년,23836,23809
29010,세종시,3,2015년,21068,22733
29010,세종시,4,2015년,8207,8415
29010,세종시,5,2015년,6431,5539
29010,세종시,6,2015년,6570,6752
29010,세종시,7,2015년,6375,8396
29010,세종시,8,2015년,10655,14183
29010,세종시,9,2015년,8590,11212
29010,세종시,10,2015년,805,881
31,경기도,0,2015년,5840805,5227324
31,경기도,1,2015년,84730,75805
31,경기도,2,2015년,1322789,1126514
31,경기도,3,2015년,1104022,897948
31,경기도,4,2015년,589591,533024
31,경기도,5,2015년,714199,606144
31,경기도,6,2015년,112298,112797
31,경기도,7,2015년,517975,501155
31,경기도,8,2015년,769237,765985
31,경기도,9,2015년,592178,573752
31,경기도,10,2015년,33786,34200
31003,동부,0,2015년,4822366,3793824
31003,동부,1,2015년,76334,58443
31003,동부,2,2015년,1169076,925887
31003,동부,3,2015년,955017,657053
31003,동부,4,2015년,484341,407742
31003,동부,5,2015년,613472,484295
31003,동부,6,2015년,29163,23989
31003,동부,7,2015년,419563,347955
31003,동부,8,2015년,594596,470631
31003,동부,9,2015년,462736,402864
31003,동부,10,2015년,18068,14965
31004,읍부,0,2015년,596180,608833
31004,읍부,1,2015년,5655,6530
31004,읍부,2,2015년,101735,102070
31004,읍부,3,2015년,100514,97693
31004,읍부,4,2015년,60745,53297
31004,읍부,5,2015년,67076,55835
31004,읍부,6,2015년,22354,21835
31004,읍부,7,2015년,59517,68147
31004,읍부,8,2015년,100045,124014
31004,읍부,9,2015년,70296,70864
31004,읍부,10,2015년,8243,8548
31005,면부,0,2015년,422259,630937
31005,면부,1,2015년,2741,6437
31005,면부,2,2015년,51978,79104
31005,면부,3,2015년,48491,99713
31005,면부,4,2015년,44505,50111
31005,면부,5,2015년,33651,41915
31005,면부,6,2015년,60781,63744
31005,면부,7,2015년,38895,66719
31005,면부,8,2015년,74596,138344
31005,면부,9,2015년,59146,74692
31005,면부,10,2015년,7475,10158
31010,수원시,0,2015년,559300,458213
31010,수원시,1,2015년,8630,7401
31010,수원시,2,2015년,155515,134209
31010,수원시,3,2015년,102230,78626
31010,수원시,4,2015년,58579,53125
31010,수원시,5,2015년,66502,58526
31010,수원시,6,2015년,1284,976
31010,수원시,7,2015년,45725,36262
31010,수원시,8,2015년,64711,40470
31010,수원시,9,2015년,54719,47592
31010,수원시,10,2015년,1405,1026
31011,장안구,0,2015년,136723,82667
31011,장안구,1,2015년,2929,1306
31011,장안구,2,2015년,36904,22796
31011,장안구,3,2015년,24516,13038
31011,장안구,4,2015년,14637,12069
31011,장안구,5,2015년,16032,9762
31011,장안구,6,2015년,250,173
31011,장안구,7,2015년,11627,6809
31011,장안구,8,2015년,15375,6793
31011,장안구,9,2015년,14310,9861
31011,장안구,10,2015년,143,60
31012,권선구,0,2015년,168189,119235
31012,권선구,1,2015년,1723,1335
31012,권선구,2,2015년,35176,23460
31012,권선구,3,2015년,28469,18174
31012,권선구,4,2015년,17947,13771
31012,권선구,5,2015년,22351,18187
31012,권선구,6,2015년,544,495
31012,권선구,7,2015년,16822,12980
31012,권선구,8,2015년,25235,14930
31012,권선구,9,2015년,19014,15100
31012,권선구,10,2015년,908,803
31013,팔달구,0,2015년,94958,91748
31013,팔달구,1,2015년,987,1315
31013,팔달구,2,2015년,22080,20868
31013,팔달구,3,2015년,16151,17074
31013,팔달구,4,2015년,12072,13243
31013,팔달구,5,2015년,12872,16574
31013,팔달구,6,2015년,216,125
31013,팔달구,7,2015년,8395,6810
31013,팔달구,8,2015년,10645,5676
31013,팔달구,9,2015년,11403,10017
31013,팔달구,10,2015년,137,46
31014,영통구,0,2015년,159430,164167
31014,영통구,1,2015년,2991,3432
31014,영통구,2,2015년,61355,66979
31014,영통구,3,2015년,33094,30263
31014,영통구,4,2015년,13923,14012
31014,영통구,5,2015년,15247,13958
31014,영통구,6,2015년,274,183
31014,영통구,7,2015년,8881,9613
31014,영통구,8,2015년,13456,13048
31014,영통구,9,2015년,9992,12562
31014,영통구,10,2015년,217,117
31020,성남시,0,2015년,453340,449027
31020,성남시,1,2015년,8740,9506
31020,성남시,2,2015년,133728,142411
31020,성남시,3,2015년,92995,85030
31020,성남시,4,2015년,45289,47199
31020,성남시,5,2015년,53654,54489
31020,성남시,6,2015년,1054,1045
31020,성남시,7,2015년,38119,34184
31020,성남시,8,2015년,33388,31286
31020,성남시,9,2015년,44979,42507
31020,성남시,10,2015년,1394,1370
31021,수정구,0,2015년,110307,74463
31021,수정구,1,2015년,641,823
31021,수정구,2,2015년,21485,15347
31021,수정구,3,2015년,17449,10915
31021,수정구,4,2015년,14298,11233
31021,수정구,5,2015년,15396,10815
31021,수정구,6,2015년,553,459
31021,수정구,7,2015년,13553,8232
31021,수정구,8,2015년,9718,5403
31021,수정구,9,2015년,16585,10635
31021,수정구,10,2015년,629,601
31022,중원구,0,2015년,125765,103393
31022,중원구,1,2015년,718,1479
31022,중원구,2,2015년,21616,20295
31022,중원구,3,2015년,21779,18099
31022,중원구,4,2015년,14745,11424
31022,중원구,5,2015년,15301,11720
31022,중원구,6,2015년,160,231
31022,중원구,7,2015년,16693,13150
31022,중원구,8,2015년,16391,15015
31022,중원구,9,2015년,18295,11949
31022,중원구,10,2015년,67,31
31023,분당구,0,2015년,217268,270833
31023,분당구,1,2015년,7381,7198
31023,분당구,2,2015년,90627,106716
31023,분당구,3,2015년,53767,55951
31023,분당구,4,2015년,16246,24486
31023,분당구,5,2015년,22957,31907
31023,분당구,6,2015년,341,355
31023,분당구,7,2015년,7873,12769
31023,분당구,8,2015년,7279,10837
31023,분당구,9,2015년,10099,19876
31023,분당구,10,2015년,698,738
31030,의정부시,0,2015년,193795,131590
31030,의정부시,1,2015년,1965,1491
31030,의정부시,2,2015년,36378,26796
31030,의정부시,3,2015년,35708,21109
31030,의정부시,4,2015년,24993,20409
31030,의정부시,5,2015년,31229,20515
31030,의정부시,6,2015년,826,575
31030,의정부시,7,2015년,19980,13364
31030,의정부시,8,2015년,20137,10730
31030,의정부시,9,2015년,21735,16143
31030,의정부시,10,2015년,844,458
31040,안양시,0,2015년,284434,238128
31040,안양시,1,2015년,5853,4907
31040,안양시,2,2015년,75295,62139
31040,안양시,3,2015년,60616,43824
31040,안양시,4,2015년,27774,25604
31040,안양시,5,2015년,36710,35711
31040,안양시,6,2015년,699,426
31040,안양시,7,2015년,22306,19494
31040,안양시,8,2015년,28543,22161
31040,안양시,9,2015년,25739,23195
31040,안양시,10,2015년,899,667
31041,만안구,0,2015년,119058,88050
31041,만안구,1,2015년,1718,1372
31041,만안구,2,2015년,25395,18954
31041,만안구,3,2015년,23741,14696
31041,만안구,4,2015년,12561,10757
31041,만안구,5,2015년,15686,12753
31041,만안구,6,2015년,319,151
31041,만안구,7,2015년,11672,8870
31041,만안구,8,2015년,14232,9976
31041,만안구,9,2015년,13181,10176
31041,만안구,10,2015년,553,345
31042,동안구,0,2015년,165376,149969
31042,동안구,1,2015년,4135,3535
31042,동안구,2,2015년,49900,43167
31042,동안구,3,2015년,36875,29105
31042,동안구,4,2015년,15213,14840
31042,동안구,5,2015년,21024,22945
31042,동안구,6,2015년,380,275
31042,동안구,7,2015년,10634,10601
31042,동안구,8,2015년,14311,12164
31042,동안구,9,2015년,12558,13015
31042,동안구,10,2015년,346,322
31050,부천시,0,2015년,411306,319584
31050,부천시,1,2015년,8301,5339
31050,부천시,2,2015년,87717,63107
31050,부천시,3,2015년,76876,53345
31050,부천시,4,2015년,42194,36268
31050,부천시,5,2015년,55222,46846
31050,부천시,6,2015년,689,609
31050,부천시,7,2015년,42445,32417
31050,부천시,8,2015년,56573,47671
31050,부천시,9,2015년,40957,33742
31050,부천시,10,2015년,332,240
31051,원미구,0,2015년,216372,182386
31051,원미구,1,2015년,6171,3322
31051,원미구,2,2015년,51227,38574
31051,원미구,3,2015년,42452,32260
31051,원미구,4,2015년,21629,21109
31051,원미구,5,2015년,28124,28306
31051,원미구,6,2015년,313,243
31051,원미구,7,2015년,19310,15530
31051,원미구,8,2015년,27513,24796
31051,원미구,9,2015년,19464,18159
31051,원미구,10,2015년,169,87
31052,소사구,0,2015년,106200,67952
31052,소사구,1,2015년,1124,857
31052,소사구,2,2015년,23229,14242
31052,소사구,3,2015년,21035,10523
31052,소사구,4,2015년,10746,8622
31052,소사구,5,2015년,15434,10722
31052,소사구,6,2015년,113,81
31052,소사구,7,2015년,11242,7159
31052,소사구,8,2015년,12362,7487
31052,소사구,9,2015년,10817,8173
31052,소사구,10,2015년,98,86
31053,오정구,0,2015년,88734,69184
31053,오정구,1,2015년,1006,1160
31053,오정구,2,2015년,13261,10283
31053,오정구,3,2015년,13389,10541
31053,오정구,4,2015년,9819,6537
31053,오정구,5,2015년,11664,7806
31053,오정구,6,2015년,263,285
31053,오정구,7,2015년,11893,9723
31053,오정구,8,2015년,16698,15381
31053,오정구,9,2015년,10676,7401
31053,오정구,10,2015년,65,67
31060,광명시,0,2015년,158096,101839
31060,광명시,1,2015년,2142,1429
31060,광명시,2,2015년,36438,20716
31060,광명시,3,2015년,32849,16318
31060,광명시,4,2015년,15703,11107
31060,광명시,5,2015년,22811,15068
31060,광명시,6,2015년,603,641
31060,광명시,7,2015년,14738,9891
31060,광명시,8,2015년,16927,14850
31060,광명시,9,2015년,15736,11477
31060,광명시,10,2015년,149,342
31070,평택시,0,2015년,215905,240047
31070,평택시,1,2015년,1690,2831
31070,평택시,2,2015년,31725,39790
31070,평택시,3,2015년,36332,41264
31070,평택시,4,2015년,19728,20401
31070,평택시,5,2015년,20636,22129
31070,평택시,6,2015년,7493,7710
31070,평택시,7,2015년,18979,23255
31070,평택시,8,2015년,50765,52656
31070,평택시,9,2015년,25908,27073
31070,평택시,10,2015년,2649,2938
31080,동두천시,0,2015년,42861,35533
31080,동두천시,1,2015년,662,567
31080,동두천시,2,2015년,6025,5219
31080,동두천시,3,2015년,6036,4533
31080,동두천시,4,2015년,6070,5600
31080,동두천시,5,2015년,5443,4385
31080,동두천시,6,2015년,528,463
31080,동두천시,7,2015년,4042,3488
31080,동두천시,8,2015년,7464,5734
31080,동두천시,9,2015년,5785,4933
31080,동두천시,10,2015년,806,611
31090,안산시,0,2015년,338478,330447
31090,안산시,1,2015년,2870,4011
31090,안산시,2,2015년,58951,60631
31090,안산시,3,2015년,58208,57960
31090,안산시,4,2015년,32437,30975
31090,안산시,5,2015년,39903,37095
31090,안산시,6,2015년,2203,2309
31090,안산시,7,2015년,36427,32970
31090,안산시,8,2015년,72243,70888
31090,안산시,9,2015년,35029,33484
31090,안산시,10,2015년,207,124
31091,상록구,0,2015년,177645,119816
31091,상록구,1,2015년,1809,1359
31091,상록구,2,2015년,32796,25019
31091,상록구,3,2015년,30419,17397
31091,상록구,4,2015년,17739,14119
31091,상록구,5,2015년,23058,14796
31091,상록구,6,2015년,695,788
31091,상록구,7,2015년,19730,13457
31091,상록구,8,2015년,33027,18500
31091,상록구,9,2015년,18274,14351
31091,상록구,10,2015년,98,30
31092,단원구,0,2015년,160833,210430
31092,단원구,1,2015년,1061,2644
31092,단원구,2,2015년,26155,35599
31092,단원구,3,2015년,27789,40525
31092,단원구,4,2015년,14698,16846
31092,단원구,5,2015년,16845,22272
31092,단원구,6,2015년,1508,1521
31092,단원구,7,2015년,16697,19507
31092,단원구,8,2015년,39216,52319
31092,단원구,9,2015년,16755,19103
31092,단원구,10,2015년,109,94
31100,고양시,0,2015년,456561,340758
31100,고양시,1,2015년,9409,5177
31100,고양시,2,2015년,121614,81324
31100,고양시,3,2015년,100079,59714
31100,고양시,4,2015년,48085,40385
31100,고양시,5,2015년,62527,49865
31100,고양시,6,2015년,4068,3902
31100,고양시,7,2015년,32954,29197
31100,고양시,8,2015년,35608,30030
31100,고양시,9,2015년,39002,37993
31100,고양시,10,2015년,3215,3171
31101,덕양구,0,2015년,198104,122138
31101,덕양구,1,2015년,2498,1584
31101,덕양구,2,2015년,45535,26226
31101,덕양구,3,2015년,41336,19321
31101,덕양구,4,2015년,22033,15365
31101,덕양구,5,2015년,26837,15616
31101,덕양구,6,2015년,2146,2059
31101,덕양구,7,2015년,17234,12384
31101,덕양구,8,2015년,18214,11457
31101,덕양구,9,2015년,19852,15601
31101,덕양구,10,2015년,2419,2525
31103,일산동구,0,2015년,130866,129256
31103,일산동구,1,2015년,4430,2528
31103,일산동구,2,2015년,38932,31904
31103,일산동구,3,2015년,28597,25046
31103,일산동구,4,2015년,13853,14347
31103,일산동구,5,2015년,17573,19684
31103,일산동구,6,2015년,1075,1118
31103,일산동구,7,2015년,7823,9935
31103,일산동구,8,2015년,8282,11340
31103,일산동구,9,2015년,9711,12787
31103,일산동구,10,2015년,590,567
31104,일산서구,0,2015년,127591,89176
31104,일산서구,1,2015년,2481,1065
31104,일산서구,2,2015년,37147,23165
31104,일산서구,3,2015년,30146,15320
31104,일산서구,4,2015년,12199,10645
31104,일산서구,5,2015년,18117,14522
31104,일산서구,6,2015년,847,725
31104,일산서구,7,2015년,7897,6858
31104,일산서구,8,2015년,9112,7216
31104,일산서구,9,2015년,9439,9581
31104,일산서구,10,2015년,206,79
31110,과천시,0,2015년,29603,34228
31110,과천시,1,2015년,706,819
31110,과천시,2,2015년,10207,9934
31110,과천시,3,2015년,8595,9413
31110,과천시,4,2015년,2253,2710
31110,과천시,5,2015년,3355,3863
31110,과천시,6,2015년,469,667
31110,과천시,7,2015년,993,1530
31110,과천시,8,2015년,948,1359
31110,과천시,9,2015년,1899,3239
31110,과천시,10,2015년,178,694
31120,구리시,0,2015년,85852,69617
31120,구리시,1,2015년,948,766
31120,구리시,2,2015년,19304,14107
31120,구리시,3,2015년,15409,9871
31120,구리시,4,2015년,10092,8881
31120,구리시,5,2015년,14029,13106
31120,구리시,6,2015년,553,405
31120,구리시,7,2015년,9520,8624
31120,구리시,8,2015년,6791,5296
31120,구리시,9,2015년,9127,8549
31120,구리시,10,2015년,79,12
31130,남양주시,0,2015년,289767,190999
31130,남양주시,1,2015년,3650,2117
31130,남양주시,2,2015년,61545,35760
31130,남양주시,3,2015년,52381,27665
31130,남양주시,4,2015년,31362,21696
31130,남양주시,5,2015년,45789,26478
31130,남양주시,6,2015년,4371,4007
31130,남양주시,7,2015년,30782,23915
31130,남양주시,8,2015년,28904,23294
31130,남양주시,9,2015년,29713,24803
31130,남양주시,10,2015년,1270,1264
31140,오산시,0,2015년,99824,69058
31140,오산시,1,2015년,1049,932
31140,오산시,2,2015년,17892,13577
31140,오산시,3,2015년,18437,12153
31140,오산시,4,2015년,8069,7252
31140,오산시,5,2015년,9936,7693
31140,오산시,6,2015년,944,722
31140,오산시,7,2015년,10012,6065
31140,오산시,8,2015년,22203,11392
31140,오산시,9,2015년,11162,9183
31140,오산시,10,2015년,120,89
31150,시흥시,0,2015년,196848,212594
31150,시흥시,1,2015년,1948,2814
31150,시흥시,2,2015년,30236,31098
31150,시흥시,3,2015년,34389,37696
31150,시흥시,4,2015년,17350,16459
31150,시흥시,5,2015년,23262,23153
31150,시흥시,6,2015년,1510,1724
31150,시흥시,7,2015년,22849,26439
31150,시흥시,8,2015년,46398,52643
31150,시흥시,9,2015년,18649,20334
31150,시흥시,10,2015년,257,234
31160,군포시,0,2015년,136012,96985
31160,군포시,1,2015년,1779,1511
31160,군포시,2,2015년,35219,22381
31160,군포시,3,2015년,29704,18959
31160,군포시,4,2015년,12421,9246
31160,군포시,5,2015년,17104,10323
31160,군포시,6,2015년,259,173
31160,군포시,7,2015년,10482,8846
31160,군포시,8,2015년,16206,14577
31160,군포시,9,2015년,12652,10929
31160,군포시,10,2015년,186,40
31170,의왕시,0,2015년,74008,52220
31170,의왕시,1,2015년,1514,1053
31170,의왕시,2,2015년,20356,14738
