[A]행정구역별(시군구),행정구역별(시군구),[V]직업별,시점,취업인구-현거주지,취업인구-근무지
11150,양천구,1,2015년,5977,2835
11150,양천구,2,2015년,61154,39540
11150,양천구,3,2015년,50847,25342
11150,양천구,4,2015년,20979,16257
11150,양천구,5,2015년,28642,18183
11150,양천구,6,2015년,267,133
11150,양천구,7,2015년,16281,12461
11150,양천구,8,2015년,15990,11395
11150,양천구,9,2015년,18641,15305
11150,양천구,10,2015년,339,263
11160,강서구,0,2015년,280164,216475
11160,강서구,1,2015년,7441,4791
11160,강서구,2,2015년,71563,50342
11160,강서구,3,2015년,61844,41146
11160,강서구,4,2015년,31503,31207
11160,강서구,5,2015년,38767,30135
11160,강서구,6,2015년,504,312
11160,강서구,7,2015년,21264,18865
11160,강서구,8,2015년,19845,16124
11160,강서구,9,2015년,26981,23194
11160,강서구,10,2015년,452,359
11170,구로구,0,2015년,204936,228709
11170,구로구,1,2015년,4053,5491
11170,구로구,2,2015년,53348,63584
11170,구로구,3,2015년,42695,49982
11170,구로구,4,2015년,20730,20254
11170,구로구,5,2015년,26926,34398
11170,구로구,6,2015년,162,180
11170,구로구,7,2015년,18496,18465
11170,구로구,8,2015년,17432,17386
11170,구로구,9,2015년,20991,18911
11170,구로구,10,2015년,103,58
11180,금천구,0,2015년,119876,189225
11180,금천구,1,2015년,1561,5106
11180,금천구,2,2015년,24555,55050
11180,금천구,3,2015년,20983,41368
11180,금천구,4,2015년,13410,12527
11180,금천구,5,2015년,14604,23971
11180,금천구,6,2015년,103,60
11180,금천구,7,2015년,17045,21038
11180,금천구,8,2015년,11902,15501
11180,금천구,9,2015년,15286,14374
11180,금천구,10,2015년,427,230
11190,영등포구,0,2015년,185518,359841
11190,영등포구,1,2015년,5443,10902
11190,영등포구,2,2015년,54016,103890
11190,영등포구,3,2015년,41133,102605
11190,영등포구,4,2015년,18251,28193
11190,영등포구,5,2015년,24279,49287
11190,영등포구,6,2015년,148,259
11190,영등포구,7,2015년,13664,21138
11190,영등포구,8,2015년,10092,17647
11190,영등포구,9,2015년,17516,25602
11190,영등포구,10,2015년,976,318
11200,동작구,0,2015년,192677,133246
11200,동작구,1,2015년,5481,3054
11200,동작구,2,2015년,56492,38804
11200,동작구,3,2015년,44347,26727
11200,동작구,4,2015년,19907,16694
11200,동작구,5,2015년,25692,18366
11200,동작구,6,2015년,194,117
11200,동작구,7,2015년,13177,9087
11200,동작구,8,2015년,9049,6167
11200,동작구,9,2015년,17552,13804
11200,동작구,10,2015년,786,426
11210,관악구,0,2015년,258981,152254
11210,관악구,1,2015년,5914,2953
11210,관악구,2,2015년,77409,42177
11210,관악구,3,2015년,49292,26104
11210,관악구,4,2015년,29538,20675
11210,관악구,5,2015년,31199,18260
11210,관악구,6,2015년,227,185
11210,관악구,7,2015년,22135,14961
11210,관악구,8,2015년,14861,8619
11210,관악구,9,2015년,27673,17705
11210,관악구,10,2015년,733,615
11220,서초구,0,2015년,196572,370658
11220,서초구,1,2015년,9571,12689
11220,서초구,2,2015년,79868,127109
11220,서초구,3,2015년,47946,102338
11220,서초구,4,2015년,15498,28837
11220,서초구,5,2015년,21896,45164
11220,서초구,6,2015년,404,426
11220,서초구,7,2015년,6095,17266
11220,서초구,8,2015년,4946,12160
11220,서초구,9,2015년,9639,23717
11220,서초구,10,2015년,709,952
11230,강남구,0,2015년,255532,730238
11230,강남구,1,2015년,15264,24444
11230,강남구,2,2015년,96813,246489
11230,강남구,3,2015년,57487,193531
11230,강남구,4,2015년,25951,70622
11230,강남구,5,2015년,29450,99255
11230,강남구,6,2015년,349,549
11230,강남구,7,2015년,8405,30493
11230,강남구,8,2015년,6988,20995
11230,강남구,9,2015년,14661,43696
11230,강남구,10,2015년,164,164
11240,송파구,0,2015년,307353,300016
11240,송파구,1,2015년,12231,8262
11240,송파구,2,2015년,99409,84845
11240,송파구,3,2015년,65162,59237
11240,송파구,4,2015년,29277,29961
11240,송파구,5,2015년,43410,48575
11240,송파구,6,2015년,532,432
11240,송파구,7,2015년,17016,21905
11240,송파구,8,2015년,13978,15715
11240,송파구,9,2015년,25101,30127
11240,송파구,10,2015년,1237,957
11250,강동구,0,2015년,218203,160448
11250,강동구,1,2015년,5107,2859
11250,강동구,2,2015년,56889,40355
11250,강동구,3,2015년,42834,27315
11250,강동구,4,2015년,24285,19720
11250,강동구,5,2015년,31714,23677
11250,강동구,6,2015년,508,428
11250,강동구,7,2015년,19744,16308
11250,강동구,8,2015년,13911,10869
11250,강동구,9,2015년,23105,18875
11250,강동구,10,2015년,106,42
21,부산광역시,0,2015년,1525412,1454981
21,부산광역시,1,2015년,15824,15112
21,부산광역시,2,2015년,295208,284773
21,부산광역시,3,2015년,277210,263797
21,부산광역시,4,2015년,176448,175330
21,부산광역시,5,2015년,212688,211398
21,부산광역시,6,2015년,10261,9781
21,부산광역시,7,2015년,166152,150273
21,부산광역시,8,2015년,197702,177978
21,부산광역시,9,2015년,171601,164233
21,부산광역시,10,2015년,2318,2306
21003,동부,0,2015년,1461139,1342686
21003,동부,1,2015년,15366,14001
21003,동부,2,2015년,283520,266790
21003,동부,3,2015년,267522,246603
21003,동부,4,2015년,168611,162143
21003,동부,5,2015년,204949,198321
21003,동부,6,2015년,7814,6636
21003,동부,7,2015년,159218,139182
21003,동부,8,2015년,187955,156665
21003,동부,9,2015년,163880,150156
21003,동부,10,2015년,2304,2189
21004,읍부,0,2015년,56815,56041
21004,읍부,1,2015년,384,518
21004,읍부,2,2015년,10755,10577
21004,읍부,3,2015년,8904,8326
21004,읍부,4,2015년,6885,5874
21004,읍부,5,2015년,7020,6203
21004,읍부,6,2015년,1476,1523
21004,읍부,7,2015년,6266,5818
21004,읍부,8,2015년,8655,10777
21004,읍부,9,2015년,6456,6425
21004,읍부,10,2015년,14,
21005,면부,0,2015년,7458,7767
21005,면부,1,2015년,74,53
21005,면부,2,2015년,933,981
21005,면부,3,2015년,784,736
21005,면부,4,2015년,952,1138
21005,면부,5,2015년,719,599
21005,면부,6,2015년,971,1072
21005,면부,7,2015년,668,671
21005,면부,8,2015년,1092,1213
21005,면부,9,2015년,1265,1304
21010,중구,0,2015년,20930,63237
21010,중구,1,2015년,109,678
21010,중구,2,2015년,2834,9445
21010,중구,3,2015년,3247,18839
21010,중구,4,2015년,3508,8358
21010,중구,5,2015년,4394,13426
21010,중구,6,2015년,42,148
21010,중구,7,2015년,2066,3226
21010,중구,8,2015년,1898,3653
21010,중구,9,2015년,2825,5460
21010,중구,10,2015년,7,4
21020,서구,0,2015년,47905,43178
