[A]행정구역별(시군구),행정구역별(시군구),취업인구-현거주지,취업인구-근무지
37100,경산시,120886,132002
37310,군위군,12160,15079
37320,의성군,29766,32180
37330,청송군,15670,17581
37340,영양군,10156,10706
37350,영덕군,18025,19546
37360,청도군,23128,25992
37370,고령군,16993,22799
37380,성주군,22771,30832
37390,칠곡군,57451,64102
37400,예천군,24048,25753
37410,봉화군,17312,19312
37420,울진군,24246,25879
37430,울릉군,5250,5250
38,경상남도,1574475,1617685
38030,진주시,158713,142020
38050,통영시,63483,58868
38060,사천시,54713,60430
38070,김해시,245917,245671
38080,밀양시,50197,52646
38090,거제시,130309,148665
38100,양산시,134736,141218
38110,창원시,490211,489248
38111,의창구,121231,119956
38112,성산구,114136,154553
38113,마산합포구,80342,71851
38114,마산회원구,95735,76326
38115,진해구,78767,66507
38310,의령군,13342,15228
38320,함안군,33908,47722
38330,창녕군,31243,34799
38340,고성군,27269,32245
38350,남해군,23851,24692
38360,하동군,23304,25797
38370,산청군,17878,20140
38380,함양군,20539,21372
38390,거창군,31401,31781
38400,합천군,23461,25127
