"[A]행정구역별(시군)","행정구역별(시군)","시점","취업자","- 성별(남자)","- 성별(여자)","- 연령별(15~29세)","- 연령별(30~49세)","- 연령별(50세 이상)",
"3237","화천군","2011. 1/4","10.3","5.5","4.8","1","4.6","4.7",
"3237","화천군","2011. 2/4","11","6","5",".8","4.8","5.3",
"3237","화천군","2011. 3/4","11.5","6.5","5",".8","4.8","5.9",
"3237","화천군","2011. 4/4","10.5","6.1","4.4","1","4.6","4.8",
"3237","화천군","2012. 1/4","10.1","5.4","4.7",".7","4.5","5",
"3237","화천군","2012. 2/4","12","6.4","5.6",".7","5.6","5.8",
"3237","화천군","2012. 3/4","11","5.7","5.3",".7","4.4","5.9",
"3237","화천군","2012. 4/4","9.5","5.3","4.3",".8","4.2","4.6",
"3238","양구군","2010. 4/4","9.7","5.8","3.9",".8","4.1","4.8",
"3238","양구군","2011. 1/4","9.3","5.4","3.9",".9","3.9","4.5",
"3238","양구군","2011. 2/4","10.4","5.7","4.7",".8","4.4","5.2",
"3238","양구군","2011. 3/4","10.2","5.5","4.7",".9","3.9","5.4",
"3238","양구군","2011. 4/4","9.9","6","3.8",".9","4.1","4.8",
"3238","양구군","2012. 1/4","9.9","5.9","4","1","3.8","5.1",
"3238","양구군","2012. 2/4","10.5","6.2","4.3","1.2","4","5.4",
"3238","양구군","2012. 3/4","10.5","6.1","4.5","1","3.9","5.6",
"3238","양구군","2012. 4/4","9.8","6.3","3.4","1.1","3.8","4.9",
"3239","인제군","2010. 4/4","13.8","7.9","5.9","1.3","6.5","6",
"3239","인제군","2011. 1/4","14.4","8.1","6.3","1.3","6.1","7",
"3239","인제군","2011. 2/4","15.3","8.3","7","1.1","6.5","7.7",
"3239","인제군","2011. 3/4","16.1","9","7.1","1.8","6.4","7.9",
"3239","인제군","2011. 4/4","14.5","8.6","5.9","1.4","6","7.1",
"3239","인제군","2012. 1/4","14.1","8.1","6","1.5","6","6.7",
"3239","인제군","2012. 2/4","16","9.3","6.7","1.6","6.3","8.1",
"3239","인제군","2012. 3/4","16.3","9.1","7.2","1.6","6","8.7",
"3239","인제군","2012. 4/4","14.9","8.4","6.4","1.5","6.1","7.3",
"3240","고성군","2010. 4/4","15.8","9.4","6.4","2.2","6.7","6.9",
"3240","고성군","2011. 1/4","15.8","9.3","6.5","2","6.5","7.3",
"3240","고성군","2011. 2/4","18.1","10.8","7.3","2.3","7","8.8",
"3240","고성군","2011. 3/4","17.6","10.6","7","2.1","7","8.6",
"3240","고성군","2011. 4/4","16.6","10.1","6.6","2.1","6.8","7.7",
"3240","고성군","2012. 1/4","15.7","8.9","6.8","1.5","6.1","8.1",
"3240","고성군","2012. 2/4","17.6","10","7.6","2","6.6","9.1",
"3240","고성군","2012. 3/4","17.8","10.3","7.5","1.9","6.5","9.3",
"3240","고성군","2012. 4/4","16.4","9.7","6.7","1.8","6.3","8.4",
"3241","양양군","2010. 4/4","12.9","7.5","5.4","1","5.6","6.3",
"3241","양양군","2011. 1/4","13","7.6","5.3","1.1","5.4","6.5",
"3241","양양군","2011. 2/4","15.9","9","7","1.2","5.7","9",
"3241","양양군","2011. 3/4","16","9.4","6.6","1.3","6.5","8.2",
"3241","양양군","2011. 4/4","14.4","8.5","5.8","1.1","5.8","7.6",
"3241","양양군","2012. 1/4","13.7","8.1","5.6","1.1","5.9","6.8",
"3241","양양군","2012. 2/4","16.1","8.9","7.2","1.2","6.2","8.8",
"3241","양양군","2012. 3/4","16.6","9.1","7.5",".9","6.5","9.2",
"3241","양양군","2012. 4/4","13.9","8.1","5.8","1.3","5.9","6.8",
"3301","청주시","2010. 4/4","246.5","137.8","108.7","40.7","139.3","66.5",
"3301","청주시","2011. 1/4","251.3","139","112.3","43.1","138.6","69.6",
"3301","청주시","2011. 2/4","252.5","142.8","109.7","40.6","136.8","75.1",
"3301","청주시","2011. 3/4","249.3","142.7","106.5","38.7","138.7","71.9",
"3301","청주시","2011. 4/4","251.6","145","106.6","41","140.8","69.8",
"3301","청주시","2012. 1/4","245","136.3","108.6","37.7","134.6","72.6",
"3301","청주시","2012. 2/4","263.8","142.8","121","38.3","140.9","84.6",
"3301","청주시","2012. 3/4","266","145.1","120.9","41.7","140","84.4",
"3301","청주시","2012. 4/4","260.1","146.5","113.6","38.4","142.1","79.7",
"3302","충주시","2010. 4/4","94.4","55.8","38.5","15.8","45.2","33.4",
"3302","충주시","2011. 1/4","98.3","57.3","41","16","45","37.3",
"3302","충주시","2011. 2/4","101.4","58.7","42.6","15.4","44.9","41.1",
"3302","충주시","2011. 3/4","97.4","56.7","40.7","13.3","45","39.1",
"3302","충주시","2011. 4/4","89.1","52.8","36.4","11.3","45.4","32.4",
"3302","충주시","2012. 1/4","97.4","58.3","39","14.1","46.4","36.9",
"3302","충주시","2012. 2/4","101.8","59.6","42.2","15.2","47.2","39.4",
"3302","충주시","2012. 3/4","103.9","61.1","42.7","14.7","46.5","42.7",
"3302","충주시","2012. 4/4","91.8","55.2","36.6","13.7","45","33.1",
"3303","제천시","2010. 4/4","54.3","33.1","21.2","6.4","26.6","21.3",
"3303","제천시","2011. 1/4","57","34.1","23","6.4","26.6","24",
"3303","제천시","2011. 2/4","63.8","37.1","26.7","7.7","29.6","26.5",
"3303","제천시","2011. 3/4","64.2","37.8","26.4","7.4","29.8","27",
"3303","제천시","2011. 4/4","61.4","36","25.4","7.7","29.2","24.6",
"3303","제천시","2012. 1/4","60.5","34.8","25.6","8.4","27.7","24.5",
"3303","제천시","2012. 2/4","61.6","35.1","26.5","7.9","26.4","27.3",
"3303","제천시","2012. 3/4","61.1","35","26.1","7.8","25.7","27.6",
"3303","제천시","2012. 4/4","56.7","32.6","24.1","7.7","25.8","23.2",
"3331","청원군","2010. 4/4","86.4","59.3","27.1","11.1","47.7","27.6",
"3331","청원군","2011. 1/4","97","62.6","34.4","12.8","50","34.1",
"3331","청원군","2011. 2/4","103.9","65.4","38.5","15.5","52.5","36",
"3331","청원군","2011. 3/4","99.5","64.6","35","14.3","48.5","36.8",
"3331","청원군","2011. 4/4","96.2","64.1","32.2","14","46.6","35.6",
"3331","청원군","2012. 1/4","95.2","66.6","28.6","12.7","49.9","32.7",
"3331","청원군","2012. 2/4","108.3","72.2","36.1","15.8","54.7","37.7",
"3331","청원군","2012. 3/4","106.4","69.4","36.9","14.2","55.3","36.9",
"3331","청원군","2012. 4/4","100","69.5","30.6","14.7","54.2","31",
"3332","보은군","2010. 4/4","20.1","12.4","7.7","1.3","8.4","10.4",
"3332","보은군","2011. 1/4","21.5","13.2","8.4","1.3","8.8","11.4",
"3332","보은군","2011. 2/4","22.1","13.1","9","2","8.1","12.1",
"3332","보은군","2011. 3/4","22","13.2","8.8","1.6","8","12.4",
"3332","보은군","2011. 4/4","19.9","12.2","7.6","1.6","7.5","10.8",
"3332","보은군","2012. 1/4","20.4","12.2","8.2","2","7.7","10.6",
"3332","보은군","2012. 2/4","22","13.1","8.9","1.9","7.4","12.7",
"3332","보은군","2012. 3/4","23.1","13.8","9.3","1.9","8.6","12.6",
"3332","보은군","2012. 4/4","20.4","12.9","7.5","1.5","8.2","10.7",
"3333","옥천군","2010. 4/4","29.2","17.9","11.3","2.3","13.1","13.8",
"3333","옥천군","2011. 1/4","31","18.9","12.1","2.7","11.8","16.5",
"3333","옥천군","2011. 2/4","34","20.4","13.6","4.1","12.3","17.6",
"3333","옥천군","2011. 3/4","34.7","20.4","14.3","3.8","12.9","18.1",
"3333","옥천군","2011. 4/4","32.2","19.8","12.4","3.9","13.7","14.6",
"3333","옥천군","2012. 1/4","33.6","19.9","13.7","3.9","13.1","16.6",
"3333","옥천군","2012. 2/4","37","21.2","15.8","4.5","14.4","18.1",
"3333","옥천군","2012. 3/4","35.7","20.3","15.4","3.4","14.2","18.1",
"3333","옥천군","2012. 4/4","31.8","19","12.8","3.6","13.2","15.1",
"3334","영동군","2010. 4/4","27.2","15.6","11.6","2.4","10.1","14.7",
"3334","영동군","2011. 1/4","28.9","16","12.9","2.5","10.8","15.6",
"3334","영동군","2011. 2/4","31.5","17.5","14","2.6","11.5","17.5",
"3334","영동군","2011. 3/4","30.9","17.2","13.7","2.2","11.1","17.6",
"3334","영동군","2011. 4/4","28.9","16.7","12.1","2.2","11.3","15.4",
"3334","영동군","2012. 1/4","29.9","17.5","12.5","2","11.7","16.2",
"3334","영동군","2012. 2/4","31.8","18","13.8","1.9","12.1","17.8",
"3334","영동군","2012. 3/4","31.7","17.7","14","1.7","11.7","18.3",
"3334","영동군","2012. 4/4","30.6","17.9","12.6","2.1","11.8","16.7",
"3335","진천군","2010. 4/4","44.7","30.5","14.2","7.5","23","14.2",
"3335","진천군","2011. 1/4","45.3","29.8","15.5","7.8","22.5","15",
"3335","진천군","2011. 2/4","49.6","32.9","16.7","8.7","24.3","16.6",
"3335","진천군","2011. 3/4","49.6","32.1","17.6","7.9","24.9","16.9",
"3335","진천군","2011. 4/4","47.8","32.3","15.5","7.3","25.6","14.9",
"3335","진천군","2012. 1/4","50.1","33.2","16.9","7.7","27.5","14.9",
"3335","진천군","2012. 2/4","52.1","33.8","18.4","8.2","25.9","18.1",
"3335","진천군","2012. 3/4","53.3","34.5","18.8","8.4","26.3","18.5",
"3335","진천군","2012. 4/4","51","34.8","16.1","8.7","26.9","15.3",
"3336","괴산군","2010. 4/4","21.1","12.8","8.2","2.1","9.9","9.1",
"3336","괴산군","2011. 1/4","25.1","14.9","10.2","2.9","9.1","13",
"3336","괴산군","2011. 2/4","26.9","15.2","11.7","2.4","9.5","15.1",
"3336","괴산군","2011. 3/4","26.7","15.6","11.1","2.1","9.2","15.4",
"3336","괴산군","2011. 4/4","22.9","14.3","8.6","2","8.9","12.1",
"3336","괴산군","2012. 1/4","22.6","13.8","8.8","2.2","7.3","13",
"3336","괴산군","2012. 2/4","24.3","13.7","10.6","2.4","7.5","14.4",
"3336","괴산군","2012. 3/4","24.6","14","10.6","2.6","7.4","14.6",
"3336","괴산군","2012. 4/4","21.2","12.9","8.3","2.2","7.3","11.7",
"3337","음성군","2010. 4/4","62.2","43.1","19.1","9.2","33.5","19.5",
"3337","음성군","2011. 1/4","63.9","43.4","20.5","9.5","32.7","21.6",
"3337","음성군","2011. 2/4","67.6","45.3","22.3","9.7","34.3","23.6",
"3337","음성군","2011. 3/4","65.9","44.2","21.6","9.1","33.4","23.3",
"3337","음성군","2011. 4/4","63.1","44.3","18.8","8.3","33.6","21.2",
"3337","음성군","2012. 1/4","66.4","43.9","22.5","9.6","32","24.8",
"3337","음성군","2012. 2/4","70.1","46.2","24","8.1","33","29",
"3337","음성군","2012. 3/4","66.2","43","23.2","8.8","30.3","27.1",
"3337","음성군","2012. 4/4","63.9","43.1","20.8","9.2","30.1","24.6",
"3338","단양군","2010. 4/4","16.5","10.5","5.9","1.5","7.4","7.6",
"3338","단양군","2011. 1/4","18.6","11.1","7.5","1.6","7.4","9.7",
"3338","단양군","2011. 2/4","19.2","11.3","7.9","1.6","7.4","10.1",
"3338","단양군","2011. 3/4","19.6","11.8","7.8","2.1","7.3","10.2",
"3338","단양군","2011. 4/4","16.2","10.1","6.1","1.7","6.7","7.8",
"3338","단양군","2012. 1/4","18.3","11.7","6.6","1.5","7.1","9.7",
"3338","단양군","2012. 2/4","19","12","7","1.4","7.3","10.3",
"3338","단양군","2012. 3/4","19","11.7","7.3","1.8","7.1","10",
"3338","단양군","2012. 4/4","17.5","11.1","6.4","2","7.2","8.4",
"3339","증평군","2010. 4/4","11.9","6.9","5","1.9","5.8","4.1",
"3339","증평군","2011. 1/4","13.9","8","6","1.4","6.4","6.2",
"3339","증평군","2011. 2/4","13.6","7.8","5.8","1.4","6.4","5.8",
"3339","증평군","2011. 3/4","13.5","7.1","6.4","1.5","6.7","5.3",
"3339","증평군","2011. 4/4","13.6","7.6","6","2.1","6.4","5",
"3339","증평군","2012. 1/4","16.1","9.2","6.9","3.1","7","5.9",
"3339","증평군","2012. 2/4","15.1","8.4","6.7","2.5","6.6","6",
"3339","증평군","2012. 3/4","15.8","8.9","7","2.4","7.2","6.2",
"3339","증평군","2012. 4/4","15.1","8.7","6.4","2.8","6.8","5.4",
"3401","천안시","2010. 4/4","267.7","169.6","98.1","52.1","150.1","65.5",
"3401","천안시","2011. 1/4","270.5","169.3","101.3","45.5","152.1","73",
"3401","천안시","2011. 2/4","282.3","173.7","108.6","50.3","153.3","78.7",
"3401","천안시","2011. 3/4","275.9","168.1","107.7","46.1","154.3","75.5",
"3401","천안시","2011. 4/4","273.8","170.4","103.4","48.9","158.2","66.7",
"3401","천안시","2012. 1/4","296.9","185.2","111.7","55.4","164.6","76.9",
"3401","천안시","2012. 2/4","293.9","182.6","111.3","51.4","163.2","79.3",
"3401","천안시","2012. 3/4","290.2","180.4","109.9","53","158.6","78.7",
"3401","천안시","2012. 4/4","288.5","178.2","110.3","51.6","160.1","76.9",
"3402","공주시","2010. 4/4","60.7","37.6","23.1","7.9","26.7","26.2",
"3402","공주시","2011. 1/4","63.4","38.8","24.6","6.3","26.7","30.4",
"3402","공주시","2011. 2/4","68.5","42.3","26.2","8.8","28.4","31.3",
"3402","공주시","2011. 3/4","67.5","40.9","26.6","7.9","28.2","31.3",
"3402","공주시","2011. 4/4","65.5","39.6","26","8.1","28","29.5",
"3402","공주시","2012. 1/4","59.1","35.9","23.2","7.9","25.8","25.5",
"3402","공주시","2012. 2/4","62.5","37.4","25.1","7.4","26.3","28.8",
"3402","공주시","2012. 3/4","60.9","36.2","24.7","7.4","24.5","28.9",
"3402","공주시","2012. 4/4","55.2","33.7","21.5","6.4","25.1","23.7",
"3403","보령시","2010. 4/4","51.3","32.9","18.4","6.9","22.7","21.8",
"3403","보령시","2011. 1/4","55.4","33.7","21.7","6.4","24","25",
"3403","보령시","2011. 2/4","56","32.9","23.1","6","23.6","26.4",
"3403","보령시","2011. 3/4","54.7","33.1","21.6","6.1","23.5","25.1",
"3403","보령시","2011. 4/4","53.5","34","19.5","6.5","23.9","23.2",
"3403","보령시","2012. 1/4","51.8","32.3","19.5","6.4","21.7","23.7",
"3403","보령시","2012. 2/4","56.8","33.5","23.3","6.5","23.2","27.1",
"3403","보령시","2012. 3/4","56.9","32.4","24.5","5.9","22.6","28.3",
"3403","보령시","2012. 4/4","52.7","31.9","20.8","5.3","22.8","24.6",
"3404","아산시","2010. 4/4","152.2","102.4","49.8","31.3","89.6","31.3",
"3404","아산시","2011. 1/4","160.1","106.6","53.5","33.8","89","37.3",
"3404","아산시","2011. 2/4","166","109.1","56.9","33.9","90.7","41.4",
"3404","아산시","2011. 3/4","168","109.8","58.2","33.2","90.8","44",
"3404","아산시","2011. 4/4","157.4","106.3","51.1","30.8","91.3","35.3",
"3404","아산시","2012. 1/4","157.2","103.4","53.8","32.7","85.2","39.4",
"3404","아산시","2012. 2/4","163.3","110.8","52.6","32.6","88.6","42.1",
"3404","아산시","2012. 3/4","167.5","111.1","56.4","34.3","91.9","41.2",
"3404","아산시","2012. 4/4","158.7","104.5","54.1","31.1","93","34.6",
"3405","서산시","2010. 4/4","81.7","51.9","29.8","9","38.4","34.3",
"3405","서산시","2011. 1/4","84.9","53.2","31.8","9.8","36.9","38.2",
"3405","서산시","2011. 2/4","83.7","50.3","33.5","9.3","36.2","38.2",
"3405","서산시","2011. 3/4","83.8","51.1","32.7","10","37.3","36.5",
"3405","서산시","2011. 4/4","78.6","53.1","25.5","9.4","37.3","32",
"3405","서산시","2012. 1/4","79.3","49.8","29.4","8.6","36.1","34.5",
"3405","서산시","2012. 2/4","83.1","50.6","32.5","9.1","37.7","36.3",
"3405","서산시","2012. 3/4","82.9","51.2","31.7","9.3","36.8","36.9",
"3405","서산시","2012. 4/4","75.6","49.9","25.7","8.4","36.8","30.4",
"3406","논산시","2010. 4/4","65.2","39.9","25.3","7.6","28.5","29",
"3406","논산시","2011. 1/4","64.5","36","28.5","6.3","26.9","31.2",
"3406","논산시","2011. 2/4","69.5","38","31.5","7","28.5","33.9",
"3406","논산시","2011. 3/4","69.3","38.8","30.5","6.5","29.8","33",
"3406","논산시","2011. 4/4","69.9","40.1","29.8","7.8","29.9","32.2",
"3406","논산시","2012. 1/4","66.8","39.2","27.6","7.5","28.3","31",
"3406","논산시","2012. 2/4","67.3","39.8","27.5","7.9","29","30.4",
"3406","논산시","2012. 3/4","69.9","40.4","29.5","8","29.5","32.3",
"3406","논산시","2012. 4/4","66","40.3","25.8","8.2","28.4","29.5",
"3407","계룡시","2010. 4/4","10.8","4.9","5.9","1.2","6.8","2.8",
"3407","계룡시","2011. 1/4","10.7","5.7","5",".7","7.2","2.8",
"3407","계룡시","2011. 2/4","13.5","7.3","6.2",".7","8.7","4.1",
"3407","계룡시","2011. 3/4","14.1","7.2","6.8",".7","9.1","4.2",
"3407","계룡시","2011. 4/4","12.8","6.5","6.3",".6","8.4","3.8",
"3407","계룡시","2012. 1/4","11.7","6.1","5.6",".8","7.2","3.7",
"3407","계룡시","2012. 2/4","13.3","6.2","7.1",".9","7.9","4.5",
"3407","계룡시","2012. 3/4","14.3","7.5","6.8","1.4","8.2","4.7",
"3407","계룡시","2012. 4/4","12.1","5.8","6.3",".8","7.3","4",
"3408","당진시","2010. 4/4","","","","","","",
"3408","당진시","2011. 1/4","","","","","","",
"3408","당진시","2011. 2/4","","","","","","",
"3408","당진시","2011. 3/4","","","","","","",
"3408","당진시","2011. 4/4","","","","","","",
"3408","당진시","2012. 1/4","85.1","58.3","26.7","10.2","40.3","34.6",
"3408","당진시","2012. 2/4","91.7","59.4","32.2","11.1","42.7","37.9",
"3408","당진시","2012. 3/4","90.4","60","30.4","10.1","41.2","39.1",
"3408","당진시","2012. 4/4","82.8","59.1","23.7","10.8","40.9","31",
"3431","금산군","2010. 4/4","38.1","24","14.1","3.9","16.8","17.4",
"3431","금산군","2011. 1/4","43.1","26.9","16.1","4.3","17.5","21.3",
"3431","금산군","2011. 2/4","44.5","26.7","17.8","5.1","18.7","20.7",
"3431","금산군","2011. 3/4","44.3","26.4","17.9","4.5","18.4","21.4",
"3431","금산군","2011. 4/4","42.3","26","16.3","5.3","17.9","19.1",
"3431","금산군","2012. 1/4","44.3","28.4","15.9","6","19.8","18.5",
"3431","금산군","2012. 2/4","44.3","27.3","17.1","4.9","19.4","20",
"3431","금산군","2012. 3/4","45.2","27","18.2","5.4","19.2","20.6",
"3431","금산군","2012. 4/4","40.8","25.4","15.4","4.5","18.3","17.9",
"3432","연기군","2010. 4/4","47","30.6","16.3","8.6","21.3","17.1",
"3432","연기군","2011. 1/4","48.3","30","18.3","7.9","21.2","19.1",
"3432","연기군","2011. 2/4","51.8","32.7","19.1","7.9","21.7","22.2",
"3432","연기군","2011. 3/4","49.2","31.5","17.6","7.8","20.4","20.9",
"3432","연기군","2011. 4/4","51.8","33.5","18.3","8.1","21","22.7",
"3432","연기군","2012. 1/4","45.4","28.4","17.1","8.1","21.8","15.6",
"3432","연기군","2012. 2/4","51.4","31.3","20.1","7.8","24","19.6",
"3432","연기군","2012. 3/4","58","35.4","22.6","7.4","25.4","25.2",
"3432","연기군","2012. 4/4","60.7","39.8","20.9","7.4","30.3","22.9",
"3433","부여군","2010. 4/4","35.1","21.1","14","2.9","14.6","17.6",
"3433","부여군","2011. 1/4","42","24","18","4.1","15","22.9",
"3433","부여군","2011. 2/4","43.1","25","18.1","4.2","14.8","24.1",
"3433","부여군","2011. 3/4","40.7","23.7","17","3.7","13.5","23.5",
"3433","부여군","2011. 4/4","36.5","23.1","13.4","3.3","13.1","20.1",
"3433","부여군","2012. 1/4","41.9","25.4","16.5","4.6","15.1","22.3",
"3433","부여군","2012. 2/4","43.8","25.2","18.7","4.3","15.6","23.9",
"3433","부여군","2012. 3/4","42.1","24.4","17.7","3.6","14.7","23.8",
"3433","부여군","2012. 4/4","40","23.2","16.9","3.9","14.1","22",
"3434","서천군","2010. 4/4","31.1","17.8","13.2","2.7","12.6","15.7",
"3434","서천군","2011. 1/4","32","18.1","13.8","3","11.3","17.6",
"3434","서천군","2011. 2/4","33.5","19.1","14.4","3.1","11.7","18.7",
"3434","서천군","2011. 3/4","33.2","19","14.2","3","11.6","18.7",
"3434","서천군","2011. 4/4","30.4","18.8","11.6","2.7","11.3","16.3",
"3434","서천군","2012. 1/4","30","18.4","11.6","2.9","11.6","15.6",
"3434","서천군","2012. 2/4","33.4","19.7","13.7","3.4","11.4","18.6",
"3434","서천군","2012. 3/4","34.9","20","14.9","3.4","12.6","18.9",
"3434","서천군","2012. 4/4","30","18.6","11.4","3.3","11.3","15.5",
"3435","청양군","2010. 4/4","14.9","9.6","5.3","2","6.4","6.5",
"3435","청양군","2011. 1/4","19.3","11.3","8","2.1","6.4","10.8",
"3435","청양군","2011. 2/4","21","11.7","9.2","1.5","6.5","13",
"3435","청양군","2011. 3/4","20.9","11.6","9.3","1.8","6.8","12.4",
"3435","청양군","2011. 4/4","14.7","9","5.6","1.6","6","7.1",
"3435","청양군","2012. 1/4","18.5","11","7.5","1.9","6.6","10",
"3435","청양군","2012. 2/4","20.8","12","8.8","1.8","6.6","12.4",
"3435","청양군","2012. 3/4","20.3","11.5","8.8","1.8","6.3","12.2",
"3435","청양군","2012. 4/4","13.5","8.6","4.9","1.6","5.5","6.5",
"3436","홍성군","2010. 4/4","36.8","21.5","15.3","4.5","17.7","14.6",
"3436","홍성군","2011. 1/4","47.3","26","21.3","6.2","18","23.1",
"3436","홍성군","2011. 2/4","49.6","27.7","21.9","5.4","18.6","25.7",
"3436","홍성군","2011. 3/4","48.3","27","21.3","5.8","17.5","25",
"3436","홍성군","2011. 4/4","40","23.8","16.2","6.3","17.6","16",
"3436","홍성군","2012. 1/4","46","27.2","18.8","5.6","18.5","21.8",
"3436","홍성군","2012. 2/4","50.8","29","21.9","5.3","19.8","25.7",
"3436","홍성군","2012. 3/4","51","28.4","22.6","5.9","18.5","26.7",
"3436","홍성군","2012. 4/4","39.2","23.5","15.6","6","18","15.2",
"3437","예산군","2010. 4/4","38.9","23.1","15.8","4.5","16.4","18.1",
"3437","예산군","2011. 1/4","43.9","25.7","18.2","5","17.2","21.7",
"3437","예산군","2011. 2/4","49.3","28.1","21.3","5.3","18.2","25.8",
"3437","예산군","2011. 3/4","47.4","26.5","20.9","4.5","17.2","25.7",
"3437","예산군","2011. 4/4","36.8","22.4","14.4","4.3","16.7","15.8",
"3437","예산군","2012. 1/4","41.3","24.8","16.5","3.8","16.2","21.3",
"3437","예산군","2012. 2/4","46.6","27","19.5","3.5","17.5","25.6",
"3437","예산군","2012. 3/4","48.8","28.1","20.7","4.2","18.5","26.2",
"3437","예산군","2012. 4/4","36.9","22.8","14","3.7","16.9","16.2",
"3438","태안군","2010. 4/4","35.5","20.6","14.9","2.6","12.9","19.9",
"3438","태안군","2011. 1/4","38.2","21.6","16.6","3.6","13.1","21.4",
"3438","태안군","2011. 2/4","37.4","20.8","16.6","3.2","13.2","21",
"3438","태안군","2011. 3/4","39.1","22.3","16.8","3.7","13.5","21.9",
"3438","태안군","2011. 4/4","34.9","20.6","14.3","3.4","12.4","19.1",
"3438","태안군","2012. 1/4","36","20.8","15.2","2.9","12.5","20.6",
"3438","태안군","2012. 2/4","40.4","22.1","18.2","3.7","13.6","23.1",
"3438","태안군","2012. 3/4","40.3","22.1","18.2","3.7","13.2","23.3",
"3438","태안군","2012. 4/4","37.7","21.9","15.8","3.2","13.4","21.1",
"3439","당진군","2010. 4/4","83.3","56.2","27.2","10.5","37.9","35",
"3439","당진군","2011. 1/4","85.4","56.1","29.3","11.1","37.9","36.3",
"3439","당진군","2011. 2/4","91.9","60.4","31.5","12","40.3","39.7",
"3439","당진군","2011. 3/4","89","57.2","31.8","10.7","39.3","39.1",
"3439","당진군","2011. 4/4","82.6","57.1","25.5","10.4","39.5","32.7",
"3501","전주시","2010. 4/4","219.3","123.2","96.2","30.4","123.6","65.3",
"3501","전주시","2011. 1/4","231.2","133.7","97.5","30.4","128.7","72.2",
"3501","전주시","2011. 2/4","237.9","129.5","108.5","32.3","127.2","78.5",
"3501","전주시","2011. 3/4","224","122.4","101.5","31.1","122.4","70.4",
"3501","전주시","2011. 4/4","227.4","124","103.4","30.8","124.6","71.9",
"3501","전주시","2012. 1/4","239.8","137.7","102","36.5","126.8","76.4",
"3501","전주시","2012. 2/4","248.5","141.5","107","37.4","131.7","79.4",
"3501","전주시","2012. 3/4","249.1","138.1","111","37.1","128.6","83.4",
"3501","전주시","2012. 4/4","253.4","145.6","107.8","37.1","131.8","84.5",
"3502","군산시","2010. 4/4","113.2","76.2","36.9","12.9","62.3","38",
"3502","군산시","2011. 1/4","118.9","77.3","41.6","14.8","63.7","40.4",
"3502","군산시","2011. 2/4","124.5","77.8","46.7","14.8","66.4","43.4",
"3502","군산시","2011. 3/4","121","78.1","42.9","14.7","63.4","43",
"3502","군산시","2011. 4/4","118.3","77.7","40.6","12.7","63.3","42.3",
"3502","군산시","2012. 1/4","124.6","83.6","41","16","65.3","43.3",
"3502","군산시","2012. 2/4","129.3","85.5","43.8","16","66","47.4",
"3502","군산시","2012. 3/4","130.2","85.6","44.6","15.2","66.9","48.2",
"3502","군산시","2012. 4/4","127.6","86","41.7","15.8","66.7","45.1",
"3503","익산시","2010. 4/4","128.4","76.5","51.9","17.2","65.4","45.8",
"3503","익산시","2011. 1/4","134.6","78.7","55.9","16.5","67.9","50.2",
"3503","익산시","2011. 2/4","141.1","82.5","58.6","18.5","69.5","53.1",
"3503","익산시","2011. 3/4","142.5","81.4","61.1","17.4","69.5","55.6",
"3503","익산시","2011. 4/4","136","79.9","56.1","15.9","69.4","50.7",
"3503","익산시","2012. 1/4","132.2","79.3","52.9","17.9","65.8","48.4",
"3503","익산시","2012. 2/4","134","80.9","53","15.3","65.8","52.9",
"3503","익산시","2012. 3/4","136","81.4","54.6","14.4","67.6","54",
"3503","익산시","2012. 4/4","129.7","78.7","51","15.5","65.5","48.6",
"3504","정읍시","2010. 4/4","56.3","33.8","22.6","5.5","24.2","26.7",
"3504","정읍시","2011. 1/4","58","34","24","4.9","24.8","28.3",
"3504","정읍시","2011. 2/4","63.2","36.2","27.1","5.9","26.9","30.4",
"3504","정읍시","2011. 3/4","58.5","34.5","24","5","25.5","28",
"3504","정읍시","2011. 4/4","54","33.3","20.7","4.4","24.8","24.8",
"3504","정읍시","2012. 1/4","54.7","33.5","21.2","4.4","24.5","25.8",
"3504","정읍시","2012. 2/4","58.7","33.9","24.8","5.5","25.1","28",
"3504","정읍시","2012. 3/4","59.7","34.1","25.6","6","24.9","28.8",
"3504","정읍시","2012. 4/4","53.8","34","19.8","5.6","24.9","23.3",
"3505","남원시","2010. 4/4","42.9","25.5","17.4","4.4","18.5","20.1",
"3505","남원시","2011. 1/4","43.9","24.6","19.3","4","18.5","21.4",
"3505","남원시","2011. 2/4","46","24.5","21.4","4.5","18.7","22.8",
"3505","남원시","2011. 3/4","45.4","24","21.4","3.9","18.4","23.1",
"3505","남원시","2011. 4/4","43.4","25.5","17.9","4.5","18.3","20.6",
"3505","남원시","2012. 1/4","44.5","25.2","19.3","3.6","18.6","22.3",
"3505","남원시","2012. 2/4","46.6","25.2","21.3","4","18.3","24.3",
"3505","남원시","2012. 3/4","45.4","24.2","21.3","4","17.9","23.6",
"3505","남원시","2012. 4/4","41.7","24.8","17","3.6","17.9","20.2",
"3506","김제시","2010. 4/4","52","29.3","22.7","3.9","20","28.1",
"3506","김제시","2011. 1/4","51.9","28.7","23.1","4.2","19.8","27.9",
"3506","김제시","2011. 2/4","53","29.3","23.7","4.6","20.5","28",
"3506","김제시","2011. 3/4","54.4","30.3","24.1","4.9","19.7","29.8",
"3506","김제시","2011. 4/4","52.9","31.3","21.6","4.8","19.5","28.6",
