"[A]행정구역별(시군)","행정구역별(시군)","시점","취업자 (천명)","- 성별(남자)","- 성별(여자)","- 연령별(15~29세)","- 연령별(30~49세)","- 연령별(50세 이상)",
"1101","서울 종로구","2021. 1/2","279.2","162.6","116.5","43.6","154.5","81",
"1102","서울 중구","2021. 1/2","361.1","202.9","158.2","54","187.4","119.7",
"1103","서울 용산구","2021. 1/2","163.2","89.2","73.9","35","77.4","50.7",
"1104","서울 성동구","2021. 1/2","171.8","101.4","70.5","31.6","82.1","58.2",
"1105","서울 광진구","2021. 1/2","124.9","66","58.9","21.3","52.3","51.3",
"1106","서울 동대문구","2021. 1/2","194.1","107","87.2","29.6","86.4","78.2",
"1107","서울 중랑구","2021. 1/2","104.9","58.2","46.7","12.4","41.1","51.5",
"1108","서울 성북구","2021. 1/2","137.2","67.1","70.1","21.7","54","61.4",
"1109","서울 강북구","2021. 1/2","89.6","44.3","45.3","14.3","34.7","40.5",
"1110","서울 도봉구","2021. 1/2","82.1","43.5","38.7","10.7","32.1","39.4",
"1111","서울 노원구","2021. 1/2","141.7","63.9","77.8","23","53.7","65",
"1112","서울 은평구","2021. 1/2","113.9","56.3","57.6","12.3","48.6","53",
"1113","서울 서대문구","2021. 1/2","133.2","71.7","61.5","24.5","59.7","49",
"1114","서울 마포구","2021. 1/2","274.8","146.9","127.9","69","133.3","72.5",
"1115","서울 양천구","2021. 1/2","136.1","68.5","67.6","21.4","55.2","59.4",
"1116","서울 강서구","2021. 1/2","250.2","140.6","109.6","35.1","129.2","85.9",
"1117","서울 구로구","2021. 1/2","241","142.2","98.7","41","116.2","83.8",
"1118","서울 금천구","2021. 1/2","200.8","118.2","82.6","34.6","104.8","61.4",
"1119","서울 영등포구","2021. 1/2","369.7","217","152.7","61.7","188.9","119.1",
"1120","서울 동작구","2021. 1/2","113.7","59.1","54.5","20.2","50.5","43",
"1121","서울 관악구","2021. 1/2","129.4","66.6","62.8","21.3","55.4","52.8",
"1122","서울 서초구","2021. 1/2","349","203.6","145.4","59.2","181.7","108",
"1123","서울 강남구","2021. 1/2","801.6","436.5","365","173.8","433.8","194.1",
"1124","서울 송파구","2021. 1/2","322.2","186.7","135.6","48.4","161.6","112.3",
"1125","서울 강동구","2021. 1/2","163.3","86.8","76.6","19.2","75.7","68.4",
"2101","부산 중구","2021. 1/2","56.8","31.7","25.1","7.9","25.6","23.3",
"2102","부산 서구","2021. 1/2","51.6","25.2","26.4","7.5","21.1","23",
"2103","부산 동구","2021. 1/2","56.7","28.1","28.6","6.2","24.2","26.3",
"2104","부산 영도구","2021. 1/2","43","25.6","17.4","5.3","15.3","22.5",
"2105","부산 부산진구","2021. 1/2","169","81.5","87.5","28.6","67.2","73.2",
"2106","부산 동래구","2021. 1/2","89.9","45.1","44.9","11.5","37.3","41.2",
"2107","부산 남구","2021. 1/2","90.3","49.9","40.3","11.9","36.3","42",
"2108","부산 북구","2021. 1/2","65.3","34","31.3","8.8","24.7","31.9",
"2109","부산 해운대구","2021. 1/2","162.7","81.9","80.8","26.1","72.4","64.3",
"2110","부산 사하구","2021. 1/2","129","74.8","54.2","15.2","53.9","59.9",
"2111","부산 금정구","2021. 1/2","86","45.8","40.2","12.1","33.6","40.3",
"2112","부산 강서구","2021. 1/2","146","107.4","38.6","17.9","78.6","49.4",
"2113","부산 연제구","2021. 1/2","88.2","45.6","42.7","10.8","36.3","41.2",
"2114","부산 수영구","2021. 1/2","53.2","26.6","26.6","7.3","22.9","22.9",
"2115","부산 사상구","2021. 1/2","123.3","75.3","48.1","12.6","49.6","61.2",
"2131","부산 기장군","2021. 1/2","78.1","43.1","35","8.2","37","33",
"2201","대구 중구","2021. 1/2","90","41.4","48.6","15.7","36.8","37.4",
"2202","대구 동구","2021. 1/2","145.3","83.6","61.7","20.5","57.3","67.4",
"2203","대구 서구","2021. 1/2","75.8","45.7","30.1","7.2","28.5","40.2",
"2204","대구 남구","2021. 1/2","59","29.7","29.3","9","22.8","27.2",
"2205","대구 북구","2021. 1/2","178.8","106.5","72.3","22.6","80.1","76.1",
"2206","대구 수성구","2021. 1/2","142","72.7","69.3","19.3","61.9","60.7",
"2207","대구 달서구","2021. 1/2","238.6","131.9","106.8","34.9","104.3","99.4",
"2231","대구 달성군","2021. 1/2","113","71.7","41.3","10.9","48.9","53.2",
"2301","인천 중구","2021. 1/2","133.8","85.2","48.6","15.1","66.6","52.1",
"2302","인천 동구","2021. 1/2","37.9","24.3","13.7","2.9","13","22.1",
"2304","인천 연수구","2021. 1/2","141.9","74.6","67.3","24.4","64.5","53",
"2305","인천 남동구","2021. 1/2","262.4","148.1","114.2","34.2","110.7","117.4",
"2306","인천 부평구","2021. 1/2","193.1","104.4","88.7","27.6","76.9","88.6",
"2307","인천 계양구","2021. 1/2","95.9","52.5","43.3","10.3","38.8","46.8",
"2308","인천 서구","2021. 1/2","258.3","159.3","99","33.1","119.3","105.8",
"2309","인천 미추홀구","2021. 1/2","153.4","84.9","68.4","22.6","59.5","71.3",
"2331","인천 강화군","2021. 1/2","38.9","22.9","15.9","2.2","9.7","26.9",
"2332","인천 옹진군","2021. 1/2","12.6","7.3","5.3",".9","3.5","8.2",
"2401","광주 동구","2021. 1/2","72.5","37.3","35.2","13.6","26.4","32.5",
"2402","광주 서구","2021. 1/2","159.4","85.4","74.1","19","72.9","67.5",
"2403","광주 남구","2021. 1/2","66.5","33.2","33.3","9.9","25.7","30.9",
"2404","광주 북구","2021. 1/2","169","92.2","76.9","22.6","72.9","73.5",
"2405","광주 광산구","2021. 1/2","199.6","122.1","77.5","30.4","96.9","72.2",
"2501","대전 동구","2021. 1/2","85.3","48.6","36.8","10.5","35.1","39.8",
"2502","대전 중구","2021. 1/2","106.7","52.8","53.9","16.3","41.2","49.2",
"2503","대전 서구","2021. 1/2","204.6","105.3","99.3","36.1","94.1","74.4",
"2504","대전 유성구","2021. 1/2","194.5","119","75.5","39","92.3","63.2",
"2505","대전 대덕구","2021. 1/2","110.8","72.5","38.3","14.2","48.8","47.7",
"2601","울산 중구","2021. 1/2","59.9","30.5","29.4","6.6","25.9","27.4",
"2602","울산 남구","2021. 1/2","172.8","101.5","71.3","20.3","80.5","72",
"2603","울산 동구","2021. 1/2","76.2","51.7","24.5","6.6","38.5","31",
"2604","울산 북구","2021. 1/2","116.4","78.7","37.7","14.2","52.3","50",
"2631","울산 울주군","2021. 1/2","126.8","88.5","38.2","12.3","58.5","55.9",
"3101","수원시","2013. 1/2","468.2","284","184.3","72.4","256.1","139.7",
"3101","수원시","2013. 2/2","457.3","270.5","186.8","69","244.7","143.5",
"3101","수원시","2014. 1/2","473.4","280.9","192.6","74.3","260.5","138.6",
"3101","수원시","2014. 2/2","491.7","289.3","202.4","84.6","259.7","147.4",
"3101","수원시","2015. 1/2","492.1","290.5","201.6","85.9","261.2","145.1",
"3101","수원시","2015. 2/2","485.7","280.3","205.4","83.4","251.4","150.8",
"3101","수원시","2016. 1/2","493.1","287.3","205.8","89.9","248.6","154.6",
"3101","수원시","2016. 2/2","498.9","296.1","202.8","88","250.5","160.4",
"3101","수원시","2017. 1/2","495.9","294.5","201.4","87.4","245.7","162.8",
"3101","수원시","2017. 2/2","492.3","280.5","211.8","78.6","250.9","162.8",
"3101","수원시","2018. 1/2","502.7","286.2","216.5","81.5","254.4","166.8",
"3101","수원시","2018. 2/2","524.3","296.1","228.2","88.6","249.5","186.2",
"3101","수원시","2019. 1/2","516.1","286.7","229.4","92.9","246","177.2",
"3101","수원시","2019. 2/2","528","291.3","236.7","89.6","253.2","185.2",
"3101","수원시","2020. 1/2","514.8","292.2","222.6","82.3","243.8","188.7",
"3101","수원시","2020. 2/2","499.7","282.6","217.1","74.2","237.1","188.4",
"3101","수원시","2021. 1/2","485.6","270.3","215.4","78","228.2","179.4",
"3102","성남시","2013. 1/2","453.6","271.2","182.4","76.8","252.3","124.5",
"3102","성남시","2013. 2/2","457.8","279.9","177.9","71.1","257.7","128.9",
"3102","성남시","2014. 1/2","459.6","271.6","188","72.8","263.7","123.1",
"3102","성남시","2014. 2/2","458.8","272.1","186.7","64","263.7","131.2",
"3102","성남시","2015. 1/2","466.1","273.6","192.6","74.3","254.7","137.2",
"3102","성남시","2015. 2/2","492.2","291.3","200.9","80.6","272.5","139.1",
"3102","성남시","2016. 1/2","502.2","297.7","204.5","90.7","264.5","147.1",
"3102","성남시","2016. 2/2","511.6","301.9","209.6","84","270.7","156.9",
"3102","성남시","2017. 1/2","517.5","302.3","215.2","88.6","272.9","156",
"3102","성남시","2017. 2/2","500.3","286.9","213.4","82.6","260.9","156.7",
"3102","성남시","2018. 1/2","494.9","286.2","208.7","82.2","267.4","145.2",
"3102","성남시","2018. 2/2","484","274.9","209.1","75.1","255.4","153.5",
"3102","성남시","2019. 1/2","482.1","278.3","203.8","76.7","243.6","161.8",
"3102","성남시","2019. 2/2","495.6","284.8","210.8","84.2","249","162.4",
"3102","성남시","2020. 1/2","462.4","271.7","190.6","74.6","235.8","151.9",
"3102","성남시","2020. 2/2","504.6","293.1","211.5","83.1","247.7","173.8",
"3102","성남시","2021. 1/2","526.5","307.4","219.1","90.9","259.3","176.2",
"3103","의정부시","2013. 1/2","128","72.8","55.2","16.5","68.9","42.6",
"3103","의정부시","2013. 2/2","128.3","71.3","57","17.1","68.2","43",
"3103","의정부시","2014. 1/2","129.6","71.4","58.1","18.8","67.3","43.5",
"3103","의정부시","2014. 2/2","130","73.4","56.6","19.2","66.1","44.7",
"3103","의정부시","2015. 1/2","136.5","75.4","61.2","20.6","67.2","48.8",
"3103","의정부시","2015. 2/2","139","74.6","64.3","18.3","68.7","52",
"3103","의정부시","2016. 1/2","145.9","80","65.9","19.9","70.2","55.8",
"3103","의정부시","2016. 2/2","142.2","81.3","60.8","19","65.3","57.8",
"3103","의정부시","2017. 1/2","141.1","80.5","60.6","21.4","63.5","56.2",
"3103","의정부시","2017. 2/2","142.4","75.6","66.8","19.4","68.1","55",
"3103","의정부시","2018. 1/2","152.7","80.7","72.1","19.2","75.2","58.2",
"3103","의정부시","2018. 2/2","151.5","80.7","70.8","19.8","73.6","58.1",
"3103","의정부시","2019. 1/2","152.2","80.7","71.5","20.5","69.1","62.6",
"3103","의정부시","2019. 2/2","146.7","75.9","70.8","18","69.7","59.1",
"3103","의정부시","2020. 1/2","138.2","69.2","69","18.5","65.5","54.3",
"3103","의정부시","2020. 2/2","153.1","77.5","75.6","18","70.5","64.6",
"3103","의정부시","2021. 1/2","146.6","76.1","70.5","17.4","64.4","64.8",
"3104","안양시","2013. 1/2","240.7","139.2","101.5","36","128.2","76.5",
"3104","안양시","2013. 2/2","245.8","143.1","102.7","37","131.9","77",
"3104","안양시","2014. 1/2","251.1","146.2","104.8","37.6","135.7","77.8",
"3104","안양시","2014. 2/2","243.2","147.5","95.7","36.7","127.8","78.7",
"3104","안양시","2015. 1/2","240.2","143.8","96.4","34.1","124.2","82",
"3104","안양시","2015. 2/2","249.5","142.8","106.7","35.6","126","87.8",
"3104","안양시","2016. 1/2","243.2","147","96.1","36.1","120.6","86.5",
"3104","안양시","2016. 2/2","248.9","143.4","105.5","34.5","117.1","97.3",
"3104","안양시","2017. 1/2","259.1","149.9","109.3","35.5","127.8","95.8",
"3104","안양시","2017. 2/2","250.7","142.9","107.8","34.9","122.5","93.2",
"3104","안양시","2018. 1/2","257.7","148.3","109.4","38.1","124.2","95.5",
"3104","안양시","2018. 2/2","254.4","145","109.4","39.2","117.2","98.1",
"3104","안양시","2019. 1/2","255.5","146.1","109.4","40.1","115.6","99.7",
"3104","안양시","2019. 2/2","254.1","146.5","107.6","41.5","115","97.6",
"3104","안양시","2020. 1/2","247.5","140.4","107","37","117.2","93.3",
"3104","안양시","2020. 2/2","257.2","147.5","109.7","40.4","113.9","102.9",
"3104","안양시","2021. 1/2","255.2","143.9","111.3","36.9","112.3","106.1",
"3105","부천시","2013. 1/2","328.9","176.5","152.4","47.6","173.7","107.7",
"3105","부천시","2013. 2/2","323.7","179.5","144.2","42.2","164.7","116.8",
"3105","부천시","2014. 1/2","336.4","180.3","156.1","46.1","170.2","120.1",
"3105","부천시","2014. 2/2","338.8","188.9","149.9","47.1","170.9","120.7",
"3105","부천시","2015. 1/2","330.3","180.5","149.8","48.2","166.5","115.5",
"3105","부천시","2015. 2/2","332.7","177","155.7","47.4","162.2","123.2",
"3105","부천시","2016. 1/2","324.7","172.9","151.8","45.6","151.7","127.5",
"3105","부천시","2016. 2/2","345.2","182.3","162.9","47.1","158.8","139.3",
"3105","부천시","2017. 1/2","345.3","184.3","161","51.7","159.2","134.5",
"3105","부천시","2017. 2/2","348.5","188.3","160.2","55.9","164.4","128.1",
"3105","부천시","2018. 1/2","336.4","177.8","158.6","52.1","152","132.2",
"3105","부천시","2018. 2/2","340.6","179.4","161.2","48.2","160.2","132.2",
"3105","부천시","2019. 1/2","351.8","185.3","166.5","48.7","164.1","139",
"3105","부천시","2019. 2/2","355.6","186.6","169.1","53","162.4","140.1",
"3105","부천시","2020. 1/2","356.4","191.5","164.9","51.3","158.4","146.8",
"3105","부천시","2020. 2/2","347.8","188.8","159","48.3","149.8","149.6",
"3105","부천시","2021. 1/2","329.3","179.3","150","45.4","139.7","144.2",
"3106","광명시","2013. 1/2","91.4","49.8","41.6","12.5","48.9","30",
"3106","광명시","2013. 2/2","98","53.5","44.5","14","49.5","34.5",
"3106","광명시","2014. 1/2","103.2","60.1","43.1","13.7","49.3","40.2",
"3106","광명시","2014. 2/2","106.6","59.5","47.1","11.3","53.5","41.8",
"3106","광명시","2015. 1/2","105.2","59.1","46.1","10.1","52.5","42.5",
"3106","광명시","2015. 2/2","105.1","60.1","45","9.3","54.3","41.6",
"3106","광명시","2016. 1/2","109.1","66.7","42.4","10.3","55.3","43.5",
"3106","광명시","2016. 2/2","110.2","65.6","44.6","9.2","56.8","44.2",
"3106","광명시","2017. 1/2","103.8","62","41.7","7.7","51.7","44.3",
"3106","광명시","2017. 2/2","115.4","62.5","52.8","14.4","50.8","50.2",
"3106","광명시","2018. 1/2","117.3","65.1","52.2","15.4","52.9","49",
"3106","광명시","2018. 2/2","107.4","58.5","48.9","13.8","45.3","48.3",
"3106","광명시","2019. 1/2","119","66","53","16.4","45.1","57.5",
"3106","광명시","2019. 2/2","115.8","63.2","52.6","13","44.4","58.3",
"3106","광명시","2020. 1/2","110.5","63.8","46.7","11.4","44.6","54.6",
"3106","광명시","2020. 2/2","110.2","62.3","47.9","12.2","43","55.1",
"3106","광명시","2021. 1/2","103.8","56.9","46.9","12.1","42.7","49.1",
"3107","평택시","2013. 1/2","241.4","157.2","84.2","34.6","136.2","70.6",
"3107","평택시","2013. 2/2","243.9","161.5","82.4","33.7","132.9","77.2",
"3107","평택시","2014. 1/2","241.9","158.3","83.7","32.1","129.4","80.5",
"3107","평택시","2014. 2/2","240.1","153.9","86.2","34","124.8","81.3",
"3107","평택시","2015. 1/2","249.4","165.2","84.2","32.4","134.1","82.9",
"3107","평택시","2015. 2/2","244.9","164.1","80.8","33.5","129.9","81.5",
"3107","평택시","2016. 1/2","249.6","169.2","80.4","31.4","131.8","86.4",
"3107","평택시","2016. 2/2","262.1","174.3","87.8","35.7","135.2","91.2",
"3107","평택시","2017. 1/2","270.2","180.9","89.3","35.3","136","98.9",
"3107","평택시","2017. 2/2","276.5","183.3","93.2","40","142.3","94.2",
"3107","평택시","2018. 1/2","278.9","189.6","89.3","42.3","142.8","93.7",
"3107","평택시","2018. 2/2","284.5","188.5","95.9","40.4","148.9","95.1",
"3107","평택시","2019. 1/2","297.1","195.1","102","44.8","149.1","103.2",
"3107","평택시","2019. 2/2","303.8","200","103.8","43.1","148.8","111.8",
"3107","평택시","2020. 1/2","295.8","198.4","97.4","40.1","147.8","107.9",
"3107","평택시","2020. 2/2","307","203.2","103.8","41.2","146.3","119.5",
"3107","평택시","2021. 1/2","316.2","210.6","105.7","46.2","155.9","114.1",
"3108","동두천시","2013. 1/2","33","19.9","13.1","4.2","16.3","12.4",
"3108","동두천시","2013. 2/2","36.1","21.9","14.2","4.5","17.9","13.8",
"3108","동두천시","2014. 1/2","35.9","20.8","15.1","5.1","15.7","15.1",
"3108","동두천시","2014. 2/2","37.2","21.1","16","4.9","17.7","14.6",
"3108","동두천시","2015. 1/2","36.6","21.9","14.7","3.5","17.2","15.9",
"3108","동두천시","2015. 2/2","36.9","22","14.9","4.1","17.6","15.2",
"3108","동두천시","2016. 1/2","36.5","21.6","14.9","4.5","17.2","14.7",
"3108","동두천시","2016. 2/2","37.6","22.4","15.2","4","16.2","17.4",
"3108","동두천시","2017. 1/2","37.1","21.6","15.4","4.2","16.6","16.3",
"3108","동두천시","2017. 2/2","35.7","20","15.7","4.1","15.5","16.1",
"3108","동두천시","2018. 1/2","36.6","20.1","16.5","4.2","16.1","16.2",
"3108","동두천시","2018. 2/2","37","20.7","16.2","4.3","15.8","16.8",
"3108","동두천시","2019. 1/2","36","19.8","16.1","4.2","15.6","16.2",
"3108","동두천시","2019. 2/2","35.6","20.7","14.9","3.8","15.6","16.2",
"3108","동두천시","2020. 1/2","32.5","19.3","13.2","2.5","15.1","14.9",
"3108","동두천시","2020. 2/2","32.7","18.4","14.3","3.2","13.6","15.9",
"3108","동두천시","2021. 1/2","33.4","19.8","13.6","2.5","14.9","16",
"3109","안산시","2013. 1/2","387","247.2","139.8","61.3","219.5","106.1",
"3109","안산시","2013. 2/2","371.6","247.8","123.8","54.9","211.7","105",
"3109","안산시","2014. 1/2","381.3","245","136.3","50.7","217.6","113",
"3109","안산시","2014. 2/2","378.8","246","132.8","56.6","207","115.2",
"3109","안산시","2015. 1/2","384.4","245.6","138.8","51.7","211.9","120.8",
"3109","안산시","2015. 2/2","380.2","243.2","137","50.6","206.8","122.8",
"3109","안산시","2016. 1/2","379.9","240.2","139.8","52.5","197.7","129.8",
"3109","안산시","2016. 2/2","368.8","237","131.9","51","186.2","131.7",
"3109","안산시","2017. 1/2","381.5","243.8","137.7","53.9","196.5","131",
"3109","안산시","2017. 2/2","376.1","240","136.2","50.7","189.1","136.3",
"3109","안산시","2018. 1/2","366.6","232.2","134.4","53.4","185.6","127.6",
"3109","안산시","2018. 2/2","366.1","226.5","139.7","51.8","177.5","136.9",
"3109","안산시","2019. 1/2","362.9","226.8","136.1","52.4","166.4","144.1",
"3109","안산시","2019. 2/2","354.1","217.1","137","53.2","162.2","138.7",
"3109","안산시","2020. 1/2","343.5","217.6","126","43.6","165.4","134.5",
"3109","안산시","2020. 2/2","355.2","217.1","138.1","45.4","163.8","146.1",
"3109","안산시","2021. 1/2","358.1","219.7","138.3","49.8","166.2","142",
"3110","고양시","2013. 1/2","331.7","185.3","146.4","49.6","183.1","99",
"3110","고양시","2013. 2/2","341.1","187.5","153.6","51.5","182.4","107.2",
"3110","고양시","2014. 1/2","339.1","189","150.2","45.6","177.5","116.1",
"3110","고양시","2014. 2/2","350.9","192.6","158.3","46.9","184","119.9",
"3110","고양시","2015. 1/2","350.4","187","163.4","56.8","175.4","118.2",
"3110","고양시","2015. 2/2","351.3","193.7","157.6","49.3","177.4","124.7",
"3110","고양시","2016. 1/2","365.7","200.8","164.9","49.1","182.7","133.9",
"3110","고양시","2016. 2/2","364.3","203.2","161","55.1","180.1","129.1",
"3110","고양시","2017. 1/2","342.4","188.7","153.7","50.8","160","131.6",
"3110","고양시","2017. 2/2","360.3","205.4","154.9","54","173.7","132.6",
"3110","고양시","2018. 1/2","365.8","203.5","162.3","59.4","170.3","136.1",
"3110","고양시","2018. 2/2","373.5","211.5","162","61.9","169","142.5",
"3110","고양시","2019. 1/2","363.9","197.4","166.5","55.1","167.1","141.7",
"3110","고양시","2019. 2/2","378.2","209.5","168.7","57.7","172.9","147.7",
"3110","고양시","2020. 1/2","373.8","204.6","169.2","52.3","172.7","148.8",
"3110","고양시","2020. 2/2","382.4","208.7","173.7","60.5","163.1","158.8",
"3110","고양시","2021. 1/2","385","201.4","183.6","61.4","165.4","158.2",
"3111","과천시","2013. 1/2","34.2","20.4","13.8","7.5","19","7.7",
"3111","과천시","2013. 2/2","36.6","22","14.6","6.4","20.4","9.7",
"3111","과천시","2014. 1/2","41.5","22.5","19","9.3","21.4","10.9",
"3111","과천시","2014. 2/2","40.1","22.3","17.8","8","19.3","12.9",
"3111","과천시","2015. 1/2","30.5","18.5","11.9","4.6","16.6","9.3",
"3111","과천시","2015. 2/2","38.6","23.3","15.2","6","20.1","12.4",
"3111","과천시","2016. 1/2","35.5","21.3","14.2","5.4","20.7","9.4",
"3111","과천시","2016. 2/2","33.2","18","15.1","4.4","16.8","12",
"3111","과천시","2017. 1/2","38.5","24.8","13.7","5.2","20","13.3",
"3111","과천시","2017. 2/2","38.7","24.5","14.2","6.5","19.5","12.8",
"3111","과천시","2018. 1/2","35.3","19.9","15.4","4.1","18.5","12.7",
"3111","과천시","2018. 2/2","34.7","18.5","16.2","4.1","19.5","11.1",
"3111","과천시","2019. 1/2","33.1","19","14.1","4.5","15.4","13.1",
"3111","과천시","2019. 2/2","37","21.8","15.2","5.1","16.4","15.6",
"3111","과천시","2020. 1/2","36","23.8","12.3","3.8","17.7","14.5",
"3111","과천시","2020. 2/2","39.2","22.9","16.4","4.1","19.5","15.6",
"3111","과천시","2021. 1/2","37.9","22","15.8","5.2","18.3","14.4",
"3112","구리시","2013. 1/2","72.2","42.9","29.3","9.8","39.8","22.6",
"3112","구리시","2013. 2/2","72.9","42.9","30","8.9","40","24",
"3112","구리시","2014. 1/2","76.5","43.4","33.1","10.4","39.5","26.6",
"3112","구리시","2014. 2/2","69.4","41.2","28.2","8.8","35.8","24.7",
"3112","구리시","2015. 1/2","75.1","43.8","31.3","10.7","36.5","28",
"3112","구리시","2015. 2/2","72.5","39.7","32.8","10","33","29.5",
"3112","구리시","2016. 1/2","79.2","46.7","32.5","10.4","38.1","30.7",
"3112","구리시","2016. 2/2","78.6","44.1","34.5","9.7","35.7","33.1",
"3112","구리시","2017. 1/2","78","42.9","35.1","10.2","35.9","31.9",
"3112","구리시","2017. 2/2","67.9","36.2","31.8","7.8","31.2","28.9",
"3112","구리시","2018. 1/2","74.2","41.5","32.7","11.4","30.7","32.1",
"3112","구리시","2018. 2/2","73.4","39.2","34.2","8.6","30.8","34",
"3112","구리시","2019. 1/2","81.1","42.7","38.4","12.5","35.3","33.3",
"3112","구리시","2019. 2/2","76.8","41","35.7","9.3","34","33.4",
"3112","구리시","2020. 1/2","66.1","34.8","31.3","8.5","27.1","30.6",
"3112","구리시","2020. 2/2","69.3","36.3","33","9.6","27.6","32.1",
"3112","구리시","2021. 1/2","74.8","41.5","33.3","9.8","29.7","35.2",
"3113","남양주시","2013. 1/2","186.4","106.5","79.9","17.7","97","71.8",
"3113","남양주시","2013. 2/2","191.1","112.8","78.3","16.9","100","74.2",
"3113","남양주시","2014. 1/2","190","111.3","78.6","21.1","99","69.8",
"3113","남양주시","2014. 2/2","191.6","113.3","78.3","19.6","97.1","74.9",
"3113","남양주시","2015. 1/2","197.9","114.1","83.7","22","102.6","73.3",
"3113","남양주시","2015. 2/2","193.6","111.6","82","19.9","99.7","74",
"3113","남양주시","2016. 1/2","207.3","119.9","87.4","19.2","103.5","84.6",
"3113","남양주시","2016. 2/2","216.1","128.6","87.5","22.3","107.3","86.5",
"3113","남양주시","2017. 1/2","215.3","128.3","87","19.4","105.8","90.1",
"3113","남양주시","2017. 2/2","211.8","128.1","83.7","24.6","99.4","87.8",
"3113","남양주시","2018. 1/2","211.9","130.4","81.5","22.3","100.5","89.1",
"3113","남양주시","2018. 2/2","221","136.1","84.9","23.6","105.9","91.5",
"3113","남양주시","2019. 1/2","220.7","131","89.7","23.4","105.9","91.4",
"3113","남양주시","2019. 2/2","228.6","134.1","94.4","28.3","102.4","97.8",
"3113","남양주시","2020. 1/2","233.2","136.8","96.3","27.9","109.5","95.8",
"3113","남양주시","2020. 2/2","251","153.2","97.8","30.3","111.4","109.3",
"3113","남양주시","2021. 1/2","255.1","149.4","105.7","29.6","114.8","110.6",
"3114","오산시","2013. 1/2","61.8","35.1","26.7","9.8","33","19.1",
"3114","오산시","2013. 2/2","61.3","33","28.3","8.9","33.3","19.1",
"3114","오산시","2014. 1/2","64.2","33.9","30.3","11.1","36","17.2",
"3114","오산시","2014. 2/2","71.5","39.9","31.6","10.9","41","19.7",
"3114","오산시","2015. 1/2","69.9","40.7","29.3","11.2","36","22.7",
"3114","오산시","2015. 2/2","67.8","39.8","28","9.8","38.1","19.9",
"3114","오산시","2016. 1/2","66.6","38.1","28.5","9.4","35.1","22",
"3114","오산시","2016. 2/2","72.4","42.9","29.5","10.2","39.5","22.7",
"3114","오산시","2017. 1/2","70","41.1","28.9","10.4","36.3","23.3",
"3114","오산시","2017. 2/2","71.4","41.2","30.2","11.3","39.6","20.5",
"3114","오산시","2018. 1/2","73.8","44.7","29.1","13.3","35.2","25.4",
"3114","오산시","2018. 2/2","71.5","41.6","30","12.2","35.3","24.1",
"3114","오산시","2019. 1/2","82.5","47.1","35.4","14.1","39.7","28.7",
"3114","오산시","2019. 2/2","76.8","40.7","36","10.7","39.7","26.4",
"3114","오산시","2020. 1/2","75.9","40.5","35.4","10.7","39.4","25.8",
"3114","오산시","2020. 2/2","86.9","46.5","40.4","12.7","43","31.2",
"3114","오산시","2021. 1/2","89.9","51.4","38.6","12.9","43.3","33.7",
"3115","시흥시","2013. 1/2","216.9","147.8","69.2","26.9","129.7","60.4",
"3115","시흥시","2013. 2/2","208","139","69","21.8","122.5","63.6",
"3115","시흥시","2014. 1/2","207.1","142.3","64.8","24.4","121.7","61",
"3115","시흥시","2014. 2/2","214.2","145.9","68.3","23.4","119.9","70.9",
"3115","시흥시","2015. 1/2","213.3","140.5","72.8","21.7","122.2","69.4",
"3115","시흥시","2015. 2/2","222.9","152.1","70.8","26.2","121.4","75.3",
"3115","시흥시","2016. 1/2","225.6","155.9","69.7","29.6","120","75.9",
"3115","시흥시","2016. 2/2","233","160.3","72.7","29.2","123.6","80.1",
"3115","시흥시","2017. 1/2","228.4","152.4","76","24.5","123.6","80.3",
"3115","시흥시","2017. 2/2","234.2","159.1","75.1","24.6","121.5","88.1",
"3115","시흥시","2018. 1/2","244.1","157.9","86.2","28.6","122.2","93.4",
"3115","시흥시","2018. 2/2","251.5","163","88.6","26.8","129.4","95.4",
"3115","시흥시","2019. 1/2","258.6","165.9","92.7","29.8","129.6","99.3",
"3115","시흥시","2019. 2/2","260.5","168.1","92.4","29.7","123.5","107.3",
"3115","시흥시","2020. 1/2","255.7","167.8","87.9","30.2","121","104.5",
"3115","시흥시","2020. 2/2","256","165.8","90.2","29.7","118","108.3",
"3115","시흥시","2021. 1/2","264.1","168.7","95.4","31.7","119.3","113",
"3116","군포시","2013. 1/2","93","57","36","15.8","49.7","27.4",
"3116","군포시","2013. 2/2","100.3","61.3","38.9","14.8","53","32.5",
"3116","군포시","2014. 1/2","91.8","56.2","35.7","14.3","48.9","28.6",
"3116","군포시","2014. 2/2","97.8","58.4","39.4","14.5","50.2","33.1",
"3116","군포시","2015. 1/2","101.3","58.2","43.2","14.7","52.9","33.7",
"3116","군포시","2015. 2/2","99.4","57.8","41.5","14.3","51.5","33.6",
"3116","군포시","2016. 1/2","103.8","58.7","45.2","14.8","52.8","36.3",
"3116","군포시","2016. 2/2","106.5","61","45.4","15.5","54.3","36.7",
"3116","군포시","2017. 1/2","100.1","53.8","46.3","14.8","51.9","33.4",
"3116","군포시","2017. 2/2","97.9","56","41.9","12.2","52.2","33.6",
"3116","군포시","2018. 1/2","92.7","54.3","38.3","11","47.4","34.2",
"3116","군포시","2018. 2/2","101.1","55.2","45.9","12.9","50.5","37.7",
"3116","군포시","2019. 1/2","108.5","60.8","47.7","16","52.8","39.8",
