"[A]행정구역별(시군)","행정구역별(시군)","시점","취업자","- 성별(남자)","- 성별(여자)","- 연령별(15~29세)","- 연령별(30~49세)","- 연령별(50세 이상)",
"3101","수원시","2010 년","418.9","238.8","180.1","90.4","228.3","100.2",
"3102","성남시","2010 년","370.2","213.5","156.8","73","210.5","86.7",
"3103","의정부시","2010 년","130.1","73","57.1","16.7","72.7","40.8",
"3104","안양시","2010 년","216.6","130.4","86.2","38.7","125.1","52.8",
"3105","부천시","2010 년","322.1","178.4","143.7","54.6","182.9","84.6",
"3106","광명시","2010 년","92.3","51.4","40.9","11.9","51.1","29.2",
"3107","평택시","2010 년","215.1","142.4","72.7","36.2","120.5","58.4",
"3108","동두천시","2010 년","34.5","20.2","14.3","4.1","18.4","12",
"3109","안산시","2010 년","327.6","208.7","118.9","53.4","196.5","77.8",
"3110","고양시","2010 년","292.4","169.6","122.7","41.3","168.4","82.7",
"3111","과천시","2010 년","43.7","26.1","17.6","8.7","24.9","10.1",
"3112","구리시","2010 년","65.5","37.1","28.4","9.7","39.6","16.2",
"3113","남양주시","2010 년","161.3","100.2","61.1","18.3","92.5","50.5",
"3114","오산시","2010 년","63.6","39.4","24.2","10.2","35.2","18.2",
"3115","시흥시","2010 년","204.1","139.8","64.3","27","131.1","46",
"3116","군포시","2010 년","92.6","54.6","38.1","14.5","55.1","23",
"3117","의왕시","2010 년","46.5","29.7","16.8","5.7","29.2","11.6",
"3118","하남시","2010 년","59.5","40.3","19.2","7.2","34.1","18.2",
"3119","용인시","2010 년","296","179.5","116.5","47.4","174.9","73.7",
"3120","파주시","2010 년","170.3","109.7","60.5","31.3","92.5","46.4",
"3121","이천시","2010 년","115.6","73.5","42.1","21.6","62.6","31.5",
"3122","안성시","2010 년","97","61.1","35.8","14.2","52","30.8",
"3123","김포시","2010 년","132.8","91.3","41.5","16.2","75.4","41.2",
"3124","화성시","2010 년","310.3","220","90.3","46.8","192.8","70.7",
"3125","광주시","2010 년","124.3","81.5","42.8","16.5","70.8","37",
"3126","양주시","2010 년","86.6","56.9","29.8","9.4","48","29.2",
"3127","포천시","2010 년","102.5","71.9","30.5","14.5","52.9","35.1",
"3132","여주군","2010 년","56","34.9","21.1","6.6","27.9","21.5",
"3135","연천군","2010 년","23.3","14.3","9.1","2.2","9","12.1",
"3137","가평군","2010 년","32","19.5","12.5","3.7","14.2","14.1",
"3138","양평군","2010 년","44.7","25.8","18.8","4.7","18.5","21.5",
"3201","춘천시","2010 년","107.9","65.9","42","14.5","57.4","35.9",
"3202","원주시","2010 년","127.6","72.2","55.4","17.9","69.1","40.6",
"3203","강릉시","2010 년","97.7","57","40.6","13.5","48.6","35.6",
"3204","동해시","2010 년","36.3","22.1","14.2","4.1","18.5","13.7",
"3205","태백시","2010 년","19.3","11.9","7.4","1.9","10.3","7.1",
"3206","속초시","2010 년","33.6","19.8","13.9","3.8","19.5","10.4",
"3207","삼척시","2010 년","32.1","20","12.1","3.3","15.4","13.3",
"3231","홍천군","2010 년","39.3","22.7","16.6","4.3","15.7","19.2",
"3232","횡성군","2010 년","28","16.1","11.9","2.2","12.4","13.4",
"3233","영월군","2010 년","22.6","13.4","9.2","1.7","9.5","11.3",
"3234","평창군","2010 년","26","14.9","11.1","2.2","10.9","12.9",
"3235","정선군","2010 년","23.4","14.3","9.1","2.8","10.6","10",
"3236","철원군","2010 년","23.9","14.1","9.8","2.8","10.5","10.7",
"3237","화천군","2010 년","11.7","6.8","4.9","1.6","5.1","5",
"3238","양구군","2010 년","10.3","5.6","4.7",".8","4.3","5.2",
"3239","인제군","2010 년","14.4","7.9","6.5","1.1","6.6","6.7",
"3240","고성군","2010 년","16.7","9.5","7.2","2.2","6.7","7.8",
"3241","양양군","2010 년","15.4","9.1","6.3","1","6.3","8.1",
"3301","청주시","2010 년","248.7","138.5","110.2","42.9","138.8","67",
"3302","충주시","2010 년","98.7","58","40.7","15.7","47.1","35.9",
"3303","제천시","2010 년","58.3","34.6","23.8","6.5","28","23.9",
"3331","청원군","2010 년","94.1","61","33.1","12.5","48.5","33.1",
"3332","보은군","2010 년","20.4","11.8","8.6","1.5","8.3","10.6",
"3333","옥천군","2010 년","30.5","17.8","12.8","2.2","12.5","15.9",
"3334","영동군","2010 년","29.2","15.9","13.2","2.4","11.4","15.4",
"3335","진천군","2010 년","46.5","29.9","16.6","7","23.9","15.6",
"3336","괴산군","2010 년","25.4","14.9","10.5","2.8","9.8","12.9",
"3337","음성군","2010 년","62.5","43","19.5","8.8","32","21.7",
"3338","단양군","2010 년","18.6","11","7.6","1.6","7.3","9.6",
"3339","증평군","2010 년","12.1","6.9","5.2","1.3","5.7","5.1",
"3401","천안시","2010 년","274","171.6","102.5","51.8","149.8","72.5",
"3402","공주시","2010 년","65.7","39","26.7","7.6","27.5","30.7",
"3403","보령시","2010 년","54.1","33.2","20.9","6.3","23.4","24.4",
"3404","아산시","2010 년","152.9","100.8","52.1","27.2","87","38.7",
"3405","서산시","2010 년","83.8","51.3","32.5","8.9","37.6","37.4",
"3406","논산시","2010 년","66.3","37.6","28.7","6.8","27.8","31.7",
"3407","계룡시","2010 년","11.6","5.7","5.9","1","7","3.6",
"3431","금산군","2010 년","41.9","25","16.9","4.7","17","20.2",
"3432","연기군","2010 년","42.6","26.9","15.8","7.1","18.9","16.6",
"3433","부여군","2010 년","40.4","23.7","16.7","3","15.1","22.4",
"3434","서천군","2010 년","33","18.8","14.2","2.8","12","18.2",
"3435","청양군","2010 년","19.8","11.6","8.2","1.7","6.8","11.3",
"3436","홍성군","2010 년","44.1","25.2","18.9","5","17.6","21.5",
"3437","예산군","2010 년","43.8","26.7","17.1","4.5","16.6","22.7",
"3438","태안군","2010 년","37.3","21.1","16.2","2.8","13.1","21.3",
"3439","당진군","2010 년","83.3","54.6","28.7","9.7","37.7","35.9",
"3501","전주시","2010 년","217.7","123.4","94.3","33.4","123.6","60.7",
"3502","군산시","2010 년","121.6","78.9","42.7","14.6","64","43",
"3503","익산시","2010 년","136","78.8","57.2","16.5","68.8","50.7",
"3504","정읍시","2010 년","57.9","33.5","24.4","4.7","23.4","29.8",
"3505","남원시","2010 년","45.6","25.6","19.9","4.2","19.5","21.8",
"3506","김제시","2010 년","53.1","29.5","23.6","3.9","21.4","27.8",
"3531","완주군","2010 년","57.4","36.9","20.5","7","26.8","23.7",
"3532","진안군","2010 년","15.2","8.5","6.7",".9","5","9.3",
"3533","무주군","2010 년","14.3","7.2","7",".9","5","8.3",
"3534","장수군","2010 년","14.1","7.4","6.6",".8","5.4","7.8",
"3535","임실군","2010 년","17.3","9.6","7.7","1.4","6.3","9.6",
"3536","순창군","2010 년","17.8","9.9","7.9","1.6","5.7","10.4",
"3537","고창군","2010 년","33","17.2","15.9","2.8","11.4","18.9",
"3538","부안군","2010 년","32.7","17.7","15","2.7","11.8","18.1",
"3601","목포시","2010 년","83.3","48","35.3","11.6","43.5","28.1",
"3602","여수시","2010 년","119.3","76","43.3","13.6","61.1","44.7",
"3603","순천시","2010 년","97.4","53.9","43.5","10.1","50.1","37.1",
"3604","나주시","2010 년","56.1","32.3","23.8","3.8","23.2","29.2",
"3606","광양시","2010 년","74.4","49.2","25.3","7.3","43.5","23.6",
"3631","담양군","2010 년","30.2","17.5","12.7","3","11.1","16.1",
"3632","곡성군","2010 년","20.7","12","8.8","1.3","7.9","11.5",
"3633","구례군","2010 년","15.3","8","7.3","1.1","5.2","9.1",
"3635","고흥군","2010 년","42.6","22","20.7","2.4","12.4","27.8",
"3636","보성군","2010 년","29.8","15.3","14.5","2.2","9.7","17.9",
"3637","화순군","2010 년","34.8","19.4","15.4","2.7","15.6","16.5",
"3638","장흥군","2010 년","22.4","12.4","10","1.6","7.5","13.3",
"3639","강진군","2010 년","22.1","11.5","10.6","1.6","7.1","13.4",
"3640","해남군","2010 년","48.3","25.1","23.1","3.2","17.4","27.7",
"3641","영암군","2010 년","52.8","36.3","16.4","6.9","26.2","19.7",
"3642","무안군","2010 년","36.9","20.5","16.4","3","14.7","19.2",
"3643","함평군","2010 년","24.9","13.6","11.3","1.6","9.1","14.2",
"3644","영광군","2010 년","33.3","18.3","15","2.2","11.4","19.7",
"3645","장성군","2010 년","30.1","17.7","12.4","2","12.9","15.2",
"3646","완도군","2010 년","29.6","16.3","13.3","2.1","10.1","17.4",
"3647","진도군","2010 년","20.4","11","9.4","1.6","6.4","12.3",
"3648","신안군","2010 년","27.6","14.4","13.2","2.2","7.7","17.8",
"3701","포항시","2010 년","226","143.7","82.3","29.3","114.2","82.5",
"3702","경주시","2010 년","139.8","84.7","55","15.9","69.5","54.4",
"3703","김천시","2010 년","68.4","39","29.4","7.7","27.5","33.2",
"3704","안동시","2010 년","82.9","44.9","38","8.7","32.3","41.9",
"3705","구미시","2010 년","214.4","139.9","74.5","40.6","123.9","49.9",
"3706","영주시","2010 년","49.2","28.5","20.6","3.9","20.8","24.5",
"3707","영천시","2010 년","58.7","33.2","25.5","5.4","24.7","28.6",
"3708","상주시","2010 년","56","29.7","26.2","4.6","20.1","31.3",
"3709","문경시","2010 년","36.6","20.1","16.5","3.4","14.6","18.5",
"3710","경산시","2010 년","118.8","71.7","47.1","15.5","62.3","41",
"3731","군위군","2010 년","17.5","9.4","8.1","1.2","5.2","11",
"3732","의성군","2010 년","36.3","19.2","17.1","2.4","9.9","24",
"3733","청송군","2010 년","17.1","9.6","7.5","1.4","5.8","9.9",
"3734","영양군","2010 년","11.1","5.9","5.2",".8","3.5","6.8",
"3735","영덕군","2010 년","21.4","11.6","9.7","2","7.2","12.2",
"3736","청도군","2010 년","28.6","14.8","13.8","1.9","10.1","16.6",
"3737","고령군","2010 년","25.3","15.4","9.9","2.3","10.7","12.4",
"3738","성주군","2010 년","32.6","18.6","14.1","3.4","12.1","17.2",
"3739","칠곡군","2010 년","53.5","32.7","20.8","5.5","29.6","18.4",
"3740","예천군","2010 년","28.2","15.2","13","2.7","8.1","17.4",
"3741","봉화군","2010 년","21","11.4","9.6","1.2","6.8","13",
"3742","울진군","2010 년","25.7","15.5","10.1","2.5","10.6","12.5",
"3743","울릉군","2010 년","5.7","3.6","2.1",".6","2.5","2.6",
"3811","통합 창원시","2010 년","471","296.7","174.2","69.1","266.1","135.8",
"3803","진주시","2010 년","137.3","75.7","61.6","18.9","69.8","48.6",
"3805","통영시","2010 년","59.9","38.1","21.7","8.1","29.9","21.9",
"3806","사천시","2010 년","60.7","36.2","24.5","6.1","29","25.6",
"3807","김해시","2010 년","226.7","143.1","83.6","29.7","138.6","58.3",
"3808","밀양시","2010 년","55.6","32.1","23.5","5.9","22.6","27.1",
"3809","거제시","2010 년","113","83","30","19.1","66.1","27.9",
"3810","양산시","2010 년","124.8","80.4","44.3","15","73.8","35.9",
"3831","의령군","2010 년","19.7","10.9","8.8","2.7","6.3","10.7",
"3832","함안군","2010 년","43.2","28.9","14.3","4.8","20.4","18",
"3833","창녕군","2010 년","33.4","18.9","14.5","2.7","11.6","19.1",
"3834","고성군","2010 년","37.3","23.3","14","4.4","15.6","17.2",
"3835","남해군","2010 년","29.5","15.5","14","1.9","10","17.6",
"3836","하동군","2010 년","29.3","15.1","14.2","2.4","11","15.9",
"3837","산청군","2010 년","24.7","13","11.7","1.7","8.8","14.2",
"3838","함양군","2010 년","23.2","12.3","10.9","1.7","7.8","13.7",
"3839","거창군","2010 년","32.7","17.5","15.2","3","11.8","17.9",
"3840","합천군","2010 년","27.7","14.7","13","2","9.1","16.6",
"3901","제주시","2010 년","201.5","110","91.5","27.7","107.9","65.9",
"3902","서귀포시","2010 년","82.6","45.8","36.8","8.9","39.5","34.2",
